,measure,vehicle_type,drive,year,value,unit,new_vehicles,medium
0,travel_km,lcv,ice_d,2021,,billion miles,False,road
0,travel_km,lcv,ice_d,2022,54.392624,billion miles,False,road
0,travel_km,lcv,ice_d,2023,53.187412,billion miles,False,road
0,travel_km,lcv,ice_d,2024,52.529724,billion miles,False,road
0,travel_km,lcv,ice_d,2025,52.479733,billion miles,False,road
0,travel_km,lcv,ice_d,2026,52.720959,billion miles,False,road
0,travel_km,lcv,ice_d,2027,52.851051,billion miles,False,road
0,travel_km,lcv,ice_d,2028,52.993168,billion miles,False,road
0,travel_km,lcv,ice_d,2029,53.175175,billion miles,False,road
0,travel_km,lcv,ice_d,2030,53.566818,billion miles,False,road
0,travel_km,lcv,ice_d,2031,54.220245,billion miles,False,road
0,travel_km,lcv,ice_d,2032,55.079853,billion miles,False,road
0,travel_km,lcv,ice_d,2033,55.840675,billion miles,False,road
0,travel_km,lcv,ice_d,2034,56.638935,billion miles,False,road
0,travel_km,lcv,ice_d,2035,57.504395,billion miles,False,road
0,travel_km,lcv,ice_d,2036,58.304447,billion miles,False,road
0,travel_km,lcv,ice_d,2037,59.176174,billion miles,False,road
0,travel_km,lcv,ice_d,2038,60.063702,billion miles,False,road
0,travel_km,lcv,ice_d,2039,61.000946,billion miles,False,road
0,travel_km,lcv,ice_d,2040,62.044392,billion miles,False,road
0,travel_km,lcv,ice_d,2041,63.120777,billion miles,False,road
0,travel_km,lcv,ice_d,2042,64.186768,billion miles,False,road
0,travel_km,lcv,ice_d,2043,65.249405,billion miles,False,road
0,travel_km,lcv,ice_d,2044,66.318535,billion miles,False,road
0,travel_km,lcv,ice_d,2045,67.468948,billion miles,False,road
0,travel_km,lcv,ice_d,2046,68.816582,billion miles,False,road
0,travel_km,lcv,ice_d,2047,70.243614,billion miles,False,road
0,travel_km,lcv,ice_d,2048,71.603302,billion miles,False,road
0,travel_km,lcv,ice_d,2049,73.056641,billion miles,False,road
0,travel_km,lcv,ice_d,2050,74.77961,billion miles,False,road
0,travel_km,lcv,ice_g,2021,,billion miles,False,road
0,travel_km,lcv,ice_g,2022,16.846205,billion miles,False,road
0,travel_km,lcv,ice_g,2023,17.761892,billion miles,False,road
0,travel_km,lcv,ice_g,2024,18.76346,billion miles,False,road
0,travel_km,lcv,ice_g,2025,19.899122,billion miles,False,road
0,travel_km,lcv,ice_g,2026,21.083855,billion miles,False,road
0,travel_km,lcv,ice_g,2027,22.151054,billion miles,False,road
0,travel_km,lcv,ice_g,2028,23.138805,billion miles,False,road
0,travel_km,lcv,ice_g,2029,24.075592,billion miles,False,road
0,travel_km,lcv,ice_g,2030,25.031351,billion miles,False,road
0,travel_km,lcv,ice_g,2031,26.026825,billion miles,False,road
0,travel_km,lcv,ice_g,2032,27.096857,billion miles,False,road
0,travel_km,lcv,ice_g,2033,28.109198,billion miles,False,road
0,travel_km,lcv,ice_g,2034,29.09211,billion miles,False,road
0,travel_km,lcv,ice_g,2035,30.063576,billion miles,False,road
0,travel_km,lcv,ice_g,2036,30.988947,billion miles,False,road
0,travel_km,lcv,ice_g,2037,31.943773,billion miles,False,road
0,travel_km,lcv,ice_g,2038,32.87841,billion miles,False,road
0,travel_km,lcv,ice_g,2039,33.782879,billion miles,False,road
0,travel_km,lcv,ice_g,2040,34.707161,billion miles,False,road
0,travel_km,lcv,ice_g,2041,35.65567,billion miles,False,road
0,travel_km,lcv,ice_g,2042,36.558773,billion miles,False,road
0,travel_km,lcv,ice_g,2043,37.368587,billion miles,False,road
0,travel_km,lcv,ice_g,2044,38.121651,billion miles,False,road
0,travel_km,lcv,ice_g,2045,38.871418,billion miles,False,road
0,travel_km,lcv,ice_g,2046,39.695541,billion miles,False,road
0,travel_km,lcv,ice_g,2047,40.532322,billion miles,False,road
0,travel_km,lcv,ice_g,2048,41.299179,billion miles,False,road
0,travel_km,lcv,ice_g,2049,42.100204,billion miles,False,road
0,travel_km,lcv,ice_g,2050,43.049957,billion miles,False,road
0,travel_km,lcv,lpg,2021,,billion miles,False,road
0,travel_km,lcv,lpg,2022,0.000585,billion miles,False,road
0,travel_km,lcv,lpg,2023,0.007631,billion miles,False,road
0,travel_km,lcv,lpg,2024,0.014685,billion miles,False,road
0,travel_km,lcv,lpg,2025,0.021224,billion miles,False,road
0,travel_km,lcv,lpg,2026,0.027498,billion miles,False,road
0,travel_km,lcv,lpg,2027,0.033387,billion miles,False,road
0,travel_km,lcv,lpg,2028,0.038968,billion miles,False,road
0,travel_km,lcv,lpg,2029,0.044345,billion miles,False,road
0,travel_km,lcv,lpg,2030,0.049704,billion miles,False,road
0,travel_km,lcv,lpg,2031,0.055248,billion miles,False,road
0,travel_km,lcv,lpg,2032,0.061056,billion miles,False,road
0,travel_km,lcv,lpg,2033,0.066844,billion miles,False,road
0,travel_km,lcv,lpg,2034,0.072697,billion miles,False,road
0,travel_km,lcv,lpg,2035,0.078774,billion miles,False,road
0,travel_km,lcv,lpg,2036,0.085074,billion miles,False,road
0,travel_km,lcv,lpg,2037,0.091911,billion miles,False,road
0,travel_km,lcv,lpg,2038,0.099268,billion miles,False,road
0,travel_km,lcv,lpg,2039,0.107287,billion miles,False,road
0,travel_km,lcv,lpg,2040,0.116186,billion miles,False,road
0,travel_km,lcv,lpg,2041,0.125999,billion miles,False,road
0,travel_km,lcv,lpg,2042,0.136618,billion miles,False,road
0,travel_km,lcv,lpg,2043,0.148055,billion miles,False,road
0,travel_km,lcv,lpg,2044,0.160189,billion miles,False,road
0,travel_km,lcv,lpg,2045,0.173373,billion miles,False,road
0,travel_km,lcv,lpg,2046,0.188008,billion miles,False,road
0,travel_km,lcv,lpg,2047,0.203789,billion miles,False,road
0,travel_km,lcv,lpg,2048,0.220242,billion miles,False,road
0,travel_km,lcv,lpg,2049,0.237737,billion miles,False,road
0,travel_km,lcv,lpg,2050,0.256857,billion miles,False,road
0,travel_km,lcv,cng,2021,,billion miles,False,road
0,travel_km,lcv,cng,2022,0.015418,billion miles,False,road
0,travel_km,lcv,cng,2023,0.013986,billion miles,False,road
0,travel_km,lcv,cng,2024,0.012747,billion miles,False,road
0,travel_km,lcv,cng,2025,0.011705,billion miles,False,road
0,travel_km,lcv,cng,2026,0.010794,billion miles,False,road
