,date,vehicle_type,measure,transport_type,frequency,medium,unit,fuel,economy,scope,comment,dataset,drive,value,source
0,2020,lcv,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,bev,0.0,
1,2020,2w,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,bev,0.0,
2,2020,bus,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,bev,0.0,
3,2020,2w,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_g,10505.0,
4,2020,bus,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_d,117678.0,
5,2020,bus,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_g,12483.0,
6,2020,lcv,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_d,1007.0,
7,2020,lcv,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_g,9161.0,
9,2020,lcv,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,cng,0.0,
10,2020,lcv,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,fcev,0.0,
11,2020,lcv,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,lpg,0.0,
12,2020,lcv,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_g,0.0,
15,2020,bus,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,cng,0.0,
16,2020,bus,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,fcev,0.0,
17,2020,bus,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,lpg,0.0,
18,2020,bus,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_d,0.0,
19,2020,ht,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,bev,0.0,
20,2020,mt,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,bev,0.0,
21,2020,ht,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_d,46570.2,
22,2020,ht,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_g,4917.0,
24,2020,ht,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,cng,0.0,
25,2020,ht,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,fcev,0.0,
26,2020,ht,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,lpg,0.0,
27,2020,ht,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_d,0.0,
28,2020,mt,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_d,31046.8,
29,2020,mt,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_g,3278.0,
31,2020,mt,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,cng,0.0,
32,2020,mt,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,fcev,0.0,
33,2020,mt,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,lpg,0.0,
34,2020,mt,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_d,0.0,
35,2020,car,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,bev,0.0,
36,2020,suv,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,bev,0.0,
37,2020,lt,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,bev,0.0,
38,2020,car,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_d,8153.1,
39,2020,car,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_g,165707.1,
41,2020,car,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,cng,0.0,
42,2020,car,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,fcev,0.0,
43,2020,car,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,lpg,0.0,
44,2020,car,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_g,0.0,
45,2020,suv,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_d,679.425,
46,2020,suv,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_g,13808.925,
48,2020,suv,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,cng,0.0,
49,2020,suv,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,fcev,0.0,
50,2020,suv,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,lpg,0.0,
51,2020,suv,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_g,0.0,
52,2020,lt,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_d,226.475,
53,2020,lt,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_g,4602.975,
55,2020,lt,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,cng,0.0,
56,2020,lt,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,fcev,0.0,
57,2020,lt,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,lpg,0.0,
58,2020,lt,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_g,0.0,
62,2020,lcv,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_d,0.0,
64,2020,2w,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,ice_d,0.0,
65,2020,2w,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_g,0.0,
66,2020,2w,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_d,0.0,
69,2020,bus,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_g,0.0,
73,2020,ht,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_g,0.0,
77,2020,mt,stocks,freight,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_g,0.0,
82,2020,car,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_d,0.0,
86,2020,lt,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_d,0.0,
90,2020,suv,stocks,passenger,yearly,road,stocks,all,13_PNG,national,no_comment,2017_8th_carried_to_2020_png,phev_d,0.0,
