transport_type,passenger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
measure,stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of value,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ice_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_d Total,ice_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_g Total,Grand Total
,2w,,,,,,,,,2w Total,bus,,,,,,,,,,bus Total,car,,,,,,,,,,,,car Total,lt,,,,,,,,,,,lt Total,suv,,,,,,,,suv Total,,2w,,,,,,,,,,2w Total,bus,,,,,,,,,bus Total,car,,,,,,,,,,,car Total,lt,,,,,,,,,,,lt Total,suv,,,,,,,,suv Total,,
Row Labels,2017_8th_carried_to_2020_png,2019_ato_carried_to_2020_bd,8th_-_new_vtypes_and_drives  reference,9th_model_first_iteration,ato  country_official_statistics,aus_census,bug_fix_china,ct_national_stats,singapore_annual_stocks,,2017_8th_carried_to_2020_png,2019_ato_carried_to_2020_bd,8th_-_new_vtypes_and_drives,8th_-_new_vtypes_and_drives  reference,9th_model_first_iteration,ato  country_official_statistics,aus_census,ct_national_stats,nz_fleet_stats,singapore_annual_stocks,,2017_8th_carried_to_2020_png,2019_ato_carried_to_2020_bd,8th_-_new_vtypes_and_drives,8th_-_new_vtypes_and_drives  reference,9th_model_first_iteration,9th_model_first_iteration vehicle_dist_split,ato  country_official_statistics,aus_census,ct_national_stats,nz_fleet_stats,singapore_annual_stocks,statistics_korea_stocks,,2017_8th_carried_to_2020_png,2019_ato_carried_to_2020_bd,8th_-_new_vtypes_and_drives,8th_-_new_vtypes_and_drives  reference,9th_model_first_iteration,9th_model_first_iteration vehicle_dist_split,ato  country_official_statistics,aus_census,nz_fleet_stats,nz_fleet_stats vehicle_dist_split,statistics_korea_stocks,,2017_8th_carried_to_2020_png,2019_ato_carried_to_2020_bd,8th_-_new_vtypes_and_drives  reference,9th_model_first_iteration,9th_model_first_iteration vehicle_dist_split,ato  country_official_statistics,aus_census,nz_fleet_stats,,,2017_8th_carried_to_2020_png,2019_ato_carried_to_2020_bd,8th_-_new_vtypes_and_drives,8th_-_new_vtypes_and_drives  reference,9th_model_first_iteration,ato  country_official_statistics,aus_census,bug_fix_china,ct_national_stats,singapore_annual_stocks,,2017_8th_carried_to_2020_png,2019_ato_carried_to_2020_bd,8th_-_new_vtypes_and_drives  reference,9th_model_first_iteration,ato  country_official_statistics,aus_census,ct_national_stats,nz_fleet_stats,singapore_annual_stocks,,2017_8th_carried_to_2020_png,2019_ato_carried_to_2020_bd,8th_-_new_vtypes_and_drives  reference,9th_model_first_iteration,9th_model_first_iteration vehicle_dist_split,ato  country_official_statistics,aus_census,ct_national_stats,nz_fleet_stats,singapore_annual_stocks,statistics_korea_stocks,,2017_8th_carried_to_2020_png,2019_ato_carried_to_2020_bd,8th_-_new_vtypes_and_drives,8th_-_new_vtypes_and_drives  reference,9th_model_first_iteration,9th_model_first_iteration vehicle_dist_split,ato  country_official_statistics,aus_census,nz_fleet_stats,nz_fleet_stats vehicle_dist_split,statistics_korea_stocks,,2017_8th_carried_to_2020_png,2019_ato_carried_to_2020_bd,8th_-_new_vtypes_and_drives  reference,9th_model_first_iteration,9th_model_first_iteration vehicle_dist_split,ato  country_official_statistics,aus_census,nz_fleet_stats,,,
2010,,,,,0,,,,,0,,,,,,4641888.185,,,7900,,4649788.185,,,,,,,3550875.221,,,,,,3550875.221,,,,,,,160369.2616,,,11922.4,,172291.6616,,,,,,301509.0528,,,301509.0528,8674464.121,,,,,,119806160,,,,,119806160,,,,,3086076.767,,,249,,3086325.767,,,,,,105410193.7,,,,,,105410193.7,,,,,,,2806203.776,,,130625.7,,2936829.476,,,,,,9004042.485,,,9004042.485,240243551.5,248918015.6
2011,,,,,0,,,0,,0,,,,,,4049632.862,,4294.265498,8103,,4062030.128,,,,,,,2922972.53,,182354.018,,,,3105326.548,,,,,,,123385.5704,,,,,123385.5704,,,,,,263477.436,,,263477.436,7554219.682,,,,,,118619539,,,15173602,,133793141,,,,,2937399.637,,25696.7345,235,,2963331.372,,,,,,83890486.22,,5777733.982,,,,89668220.21,,,,,,,2386975.537,,,131436.15,,2518411.687,,,,,,7642865.053,,,7642865.053,236585969.3,244140189
2012,,,,,0,,,,,0,,,,,,3707460.064,,,8262,,3715722.064,,,,,,,3576277.838,,,,,,3576277.838,,,,,,,138110.7189,,,,,138110.7189,,,,,,304319.5915,,,304319.5915,7734430.212,,,,,,146908242,,,,,146908242,,,,,2889004.286,,,212,,2889216.286,,,,,,102800924.1,,,,,,102800924.1,,,,,,,2765977.087,,,131620.5,,2897597.587,,,,,,8788506.393,,,8788506.393,264284486.4,272018916.6
2013,,,,,0,,,0,,0,,,,,,3639180.667,,4576.197036,8474,,3652230.864,,,,,,,3968785.532,,190822.6767,,,,4159608.209,,,,,,,156032.4757,,,,,156032.4757,,,,,,351447.5208,,,351447.5208,8319319.069,,,,,,142709220,,,14195123,,156904343,,,,,2842702.213,,27383.80296,199,,2870285.016,,,,,,113265266.5,,6046056.323,,,,119311322.9,,,,,,,3204475.668,,,134177.1,,3338652.768,,,,,,10118730.73,,,10118730.73,292543334.4,300862653.4
2014,,,,,0,,,0,,0,,,,,,3659261.78,,4714.80025,8657,,3672633.58,,,,,,,4568058.237,,195990.2868,,,,4764048.524,,,,,,,175110.4911,,,,,175110.4911,,,,,,401959.5878,,,401959.5878,9013752.183,,,,,,154060325,,,13735960,,167796285,,,,,2844028.999,,28213.19975,192,,2872434.199,,,,,,130126209.7,,6209787.713,,,,136335997.4,,,,,,,3672974.336,,,138474.5,,3811448.836,,,,,,11543314.5,,,11543314.5,322359480,331373232.1
2015,,,,,0,,,0,,0,,,,,,4250327.098,,4852.544354,8890,,4264069.642,,,,,,,6852738.269,,201129.4123,,,,7053867.681,,,,,,,305630.7932,,,,,305630.7932,,,,,,591725.6205,,,591725.6205,12215293.74,,,,,,163870991,,,13661719,,177532710,,,,,3174275.806,,29037.45565,187,,3203500.262,,,,,,200369409.7,,6372616.588,,,,206742026.3,,,,,,,5559566.898,,,143335.3,,5702902.198,,,,,,17417985.64,,,17417985.64,410599124.4,422814418.1
2016,,,,,0,0,,0,,0,,,,,,3614938.545,26343.86632,4944.326028,9457,,3655683.737,,,,,,,6387077.18,781967.3972,203952.1863,,,,7372996.764,,,,,,,249370.8404,4442.278311,,,,253813.1187,,,,,,554224.8046,62855.96574,,617080.7703,11899574.39,,,,,,174241356,828965,,13668227,,188738548,,,,,3098146.081,70238.13368,29586.67397,184,,3198154.888,,,,,,183013584.8,24775980.55,6462053.814,,,,214251619.2,,,,,,,5121054.727,56457.72169,,148210.05,,5325722.498,,,,,,15986422.3,2009410.084,,17995832.38,429509877,441409451.4
2017,,,0,0,0,,,0,,0,,,262484,3958986.353,247459,,,4895.213525,10004,,4483828.567,,,1914726.7,8050510.659,170789,956329.2,,,206932.7126,,,551782.2609,11851070.53,,,160035,179919.9993,379909,26564.7,63673.82472,,,,52533.25997,862635.784,,,1352221.246,105383,79694.1,471754.9229,,14529.44968,2023582.718,19221117.6,,,2262091,316606563,11685647,,,,13755582,,344309883,,,843294.237,50440,430528.5858,,29292.78647,181,,1353736.609,,,434947048.8,9883094,54313994.7,1304333.27,,6556489.287,,,17482757.74,524487717.8,,,11814969,5401346.891,3443800,1508722.075,1121320.809,,,,667654.74,23957813.51,,,56395392.9,6612488,4526166.225,,,,67534047.12,961643198,980864315.6
