fuel_code,Emissions factor (MT/PJ),simple_name
01_coal,0.096154,coal
01_x_thermal_coal,0.096154,thermal_coal
02_coal_products,0.096154,coal_products
01_01_coking_coal,0.094686,coking_coal
01_05_lignite,0.101292,lignite
03_peat,0.106063,peat
04_peat_products,0.106063,peat_products
05_oil_shale_and_oil_sands,0.106797,oil_sands
06_crude_oil_and_ngl,0.0734,and_ngl
06_01_crude_oil,0.0734,crude_oil
06_02_natural_gas_liquids,0.063124,gas_liquids
06_x_other_hydrocarbons,0.0734,other_hydrocarbons
07_petroleum_products,0.0734,petroleum_products
07_x_other_petroleum_products,0.0734,petroleum_products
07_01_motor_gasoline,0.069363,petrol
07_02_aviation_gasoline,0.070097,aviation_gasoline
07_03_naphtha,0.0734,naphtha
07_x_jet_fuel,0.071565,jet_fuel
07_06_kerosene,0.071932,kerosene
07_07_gas_diesel_oil,0.074134,diesel
07_08_fuel_oil,0.077437,fuel_oil
07_09_lpg,0.063124,lpg
07_10_refinery_gas_not_liquefied,0.057619,not_liquefied
07_11_ethane,0.061656,ethane
08_gas,0.056151,gas
08_01_natural_gas,0.056151,natural_gas
08_02_lng,0.056151,lng
08_03_gas_works_gas,0.044407,works_gas
09_nuclear,0,nuclear
10_hydro,0,hydro
11_geothermal,0,geothermal
12_solar,0,solar
12_01_of_which_photovoltaics,0,which_photovoltaics
12_x_other_solar,0,other_solar
13_tide_wave_ocean,0,wave_ocean
14_wind,0,wind
16_x_hydrogen,0,hydrogen
17_electricity,0,electricity
18_heat,0,heat
15_solid_biomass,0,solid_biomass
15_01_fuelwood_and_woodwaste,0,and_woodwaste
15_02_bagasse,0,bagasse
16_09_other_sources,0,other_sources
15_03_charcoal,0,charcoal
15_04_black_liquor,0,black_liquor
15_05_other_biomass,0,other_biomass
16_others,0,others
16_01_biogas,0,biogas
16_02_industrial_waste,0.14313,industrial_waste
16_03_municipal_solid_waste_renewable,0,waste_renewable
16_04_municipal_solid_waste_nonrenewable,0.09175,waste_nonrenewable
16_05_biogasoline,0,ethanol
16_06_biodiesel,0,biodiesel
16_07_bio_jet_kerosene,0,biojet
16_08_other_liquid_biofuels,0,liquid_biofuels
16_x_ammonia,0,x_ammonia
16_x_efuel,0,x_efuel
16_x_hydrogen,0,methanol
