,Vehicle Type,Drive,Transport Type,Measure
6384,2w,ice_d,passenger,Turnover_rate
6385,bus,fcev,passenger,Turnover_rate
6386,bus,phev_g,passenger,Turnover_rate
6387,car,phev_d,passenger,Turnover_rate
6388,lt,phev_d,passenger,Turnover_rate
6389,suv,phev_d,passenger,Turnover_rate
6390,ht,fcev,freight,Turnover_rate
6391,ht,phev_d,freight,Turnover_rate
6392,ht,phev_g,freight,Turnover_rate
6393,lcv,fcev,freight,Turnover_rate
6394,mt,fcev,freight,Turnover_rate
6395,mt,phev_d,freight,Turnover_rate
6396,mt,phev_g,freight,Turnover_rate
6397,2w,bev,freight,Turnover_rate
6398,2w,ice_d,freight,Turnover_rate
6399,2w,ice_g,freight,Turnover_rate
6720,2w,bev,passenger,New_vehicle_efficiency
6721,2w,ice_d,passenger,New_vehicle_efficiency
6722,2w,ice_g,passenger,New_vehicle_efficiency
6723,bus,bev,passenger,New_vehicle_efficiency
6724,bus,cng,passenger,New_vehicle_efficiency
6725,bus,fcev,passenger,New_vehicle_efficiency
6726,bus,ice_d,passenger,New_vehicle_efficiency
6727,bus,ice_g,passenger,New_vehicle_efficiency
6728,bus,lpg,passenger,New_vehicle_efficiency
6729,bus,phev_d,passenger,New_vehicle_efficiency
6730,bus,phev_g,passenger,New_vehicle_efficiency
6731,car,bev,passenger,New_vehicle_efficiency
6732,car,cng,passenger,New_vehicle_efficiency
6733,car,fcev,passenger,New_vehicle_efficiency
6734,car,ice_d,passenger,New_vehicle_efficiency
6735,car,ice_g,passenger,New_vehicle_efficiency
6736,car,lpg,passenger,New_vehicle_efficiency
6737,car,phev_d,passenger,New_vehicle_efficiency
6738,car,phev_g,passenger,New_vehicle_efficiency
6739,lt,bev,passenger,New_vehicle_efficiency
6740,lt,cng,passenger,New_vehicle_efficiency
6741,lt,fcev,passenger,New_vehicle_efficiency
6742,lt,ice_d,passenger,New_vehicle_efficiency
6743,lt,ice_g,passenger,New_vehicle_efficiency
6744,lt,lpg,passenger,New_vehicle_efficiency
6745,lt,phev_d,passenger,New_vehicle_efficiency
6746,lt,phev_g,passenger,New_vehicle_efficiency
6747,suv,bev,passenger,New_vehicle_efficiency
6748,suv,cng,passenger,New_vehicle_efficiency
