Economy,Scenario,Drive,Medium,Transport Type,Vehicle Type,Measure,Fuel,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
01_AUS,Carbon Neutral,bev,road,freight,ht,Stocks,Nonspecified,,6e-06,4.6e-05,8.3e-05,0.000127,0.000193,0.00029,0.000552,0.001306,0.002964,0.006902,0.014202,0.024689,0.037094,0.050201,0.063327,0.076197,0.088738,0.10096,0.112917,0.125185,0.137808,0.150838,0.164325,0.178313,0.192846,0.207972,0.22374,0.240198,0.257399,0.275393,0.294234,0.313977,0.33468,0.36098,0.366654,0.372398,0.378216,0.384113,0.39009,0.396147,0.402282,0.408493,0.414775,0.421129,0.427554,0.434049,0.440611,0.447237,0.453928,0.460683,0.467501,0.47438,0.48132
01_AUS,Carbon Neutral,cng,road,freight,ht,Stocks,Nonspecified,3.4e-05,7.3e-05,0.000319,0.000571,0.000875,0.001306,0.001716,0.002128,0.002519,0.002834,0.003109,0.003334,0.003505,0.003631,0.003729,0.00381,0.00388,0.00394,0.003991,0.004033,0.004055,0.004057,0.004043,0.004012,0.003965,0.003905,0.00383,0.003743,0.003644,0.003534,0.003414,0.003284,0.003145,0.002997,0.002848,0.002855,0.002862,0.002869,0.002876,0.002883,0.00289,0.002898,0.002905,0.002913,0.002921,0.002928,0.002936,0.002944,0.002952,0.00296,0.002969,0.002977,0.002985,0.002994
01_AUS,Carbon Neutral,d,road,freight,ht,Stocks,Nonspecified,0.636547,0.652715,0.666325,0.664616,0.662963,0.67768,0.692553,0.711541,0.730043,0.736457,0.740168,0.739747,0.734823,0.726514,0.716474,0.705892,0.695296,0.684801,0.674378,0.663929,0.652865,0.641157,0.628782,0.615707,0.601881,0.587249,0.571757,0.555352,0.537979,0.519579,0.500091,0.479453,0.457601,0.434472,0.411294,0.412727,0.414177,0.415646,0.417134,0.418643,0.420172,0.421721,0.423289,0.424875,0.426479,0.428101,0.429741,0.431397,0.43307,0.434759,0.436465,0.438186,0.439922,0.441674
01_AUS,Carbon Neutral,fcev,road,freight,ht,Stocks,Nonspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-06,2.4e-05,0.000178,0.00089,0.002829,0.006192,0.010495,0.015151,0.019822,0.024388,0.028825,0.033145,0.037476,0.041832,0.04623,0.050682,0.055202,0.059801,0.06449,0.069283,0.074191,0.079225,0.084397,0.089718,0.095199,0.100852,0.108001,0.109622,0.111263,0.112925,0.11461,0.116318,0.118048,0.119801,0.121576,0.123371,0.125186,0.127022,0.128878,0.130752,0.132646,0.134557,0.136487,0.138435,0.140401,0.142383
01_AUS,Carbon Neutral,g,road,freight,ht,Stocks,Nonspecified,0.02192,0.022685,0.024626,0.02576,0.026799,0.028516,0.030186,0.031997,0.033739,0.034863,0.03578,0.036404,0.036711,0.036769,0.036683,0.03653,0.036343,0.036135,0.035904,0.035641,0.035273,0.034807,0.034251,0.03361,0.03289,0.032095,0.031231,0.030303,0.029313,0.028267,0.027168,0.026019,0.024825,0.023588,0.022369,0.022436,0.022504,0.022573,0.022642,0.022713,0.022784,0.022857,0.02293,0.023004,0.023079,0.023155,0.023231,0.023309,0.023387,0.023466,0.023546,0.023626,0.023707,0.023789
01_AUS,Carbon Neutral,lpg,road,freight,ht,Stocks,Nonspecified,0.002384,0.002475,0.002863,0.003148,0.003414,0.003753,0.004081,0.00442,0.004747,0.004992,0.0052,0.005356,0.005457,0.005512,0.005541,0.005555,0.005562,0.005563,0.005558,0.005547,0.005516,0.005467,0.005401,0.00532,0.005223,0.005112,0.004989,0.004852,0.004705,0.004546,0.004377,0.004199,0.004012,0.003816,0.00362,0.003628,0.003636,0.003645,0.003653,0.003662,0.00367,0.003679,0.003688,0.003697,0.003706,0.003715,0.003724,0.003734,0.003743,0.003753,0.003762,0.003772,0.003782,0.003792
01_AUS,Carbon Neutral,phevd,road,freight,ht,Stocks,Nonspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_AUS,Carbon Neutral,bev,road,freight,lt,Stocks,Nonspecified,7e-06,3.5e-05,0.000136,0.00021,0.00029,0.000438,0.000665,0.001262,0.00276,0.005316,0.010386,0.01846,0.029048,0.041166,0.053994,0.06707,0.0802,0.093326,0.106454,0.119633,0.132966,0.14645,0.160086,0.173859,0.189619,0.214148,0.238217,0.261483,0.282301,0.292996,0.303519,0.313737,0.32351,0.33269,0.347959,0.356004,0.364148,0.372397,0.380758,0.389232,0.39782,0.406519,0.415323,0.42423,0.433239,0.442349,0.451558,0.460861,0.470256,0.479742,0.48932,0.498987,0.50874,0.518578
01_AUS,Carbon Neutral,cng,road,freight,lt,Stocks,Nonspecified,0.000756,0.000756,0.000703,0.000654,0.000608,0.000566,0.000526,0.000489,0.000455,0.000423,0.000394,0.000366,0.00034,0.000317,0.000294,0.000274,0.000255,0.000237,0.00022,0.000205,0.00019,0.000177,0.000165,0.000153,0.000142,0.000133,0.000123,0.000115,0.000107,9.9e-05,9.2e-05,8.6e-05,8e-05,7.4e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05,6.9e-05
01_AUS,Carbon Neutral,d,road,freight,lt,Stocks,Nonspecified,0.175734,0.179574,0.182392,0.18145,0.180538,0.184424,0.188628,0.194103,0.199497,0.201637,0.202648,0.202203,0.200482,0.197976,0.195133,0.192213,0.189304,0.186397,0.18345,0.180392,0.177088,0.173513,0.169648,0.165475,0.160285,0.150966,0.141716,0.132685,0.124351,0.119211,0.113685,0.107805,0.101609,0.095145,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485,0.088485
01_AUS,Carbon Neutral,fcev,road,freight,lt,Stocks,Nonspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,1.1e-05,6.3e-05,0.000241,0.000641,0.001271,0.00205,0.002895,0.003757,0.004617,0.005474,0.006356,0.007375,0.008548,0.009894,0.011437,0.012846,0.0128,0.012657,0.012428,0.012689,0.01659,0.020788,0.0253,0.030136,0.035301,0.042469,0.04448,0.046516,0.048579,0.050669,0.052787,0.054934,0.057109,0.05931,0.061537,0.063789,0.066067,0.068369,0.070694,0.073043,0.075415,0.077809,0.080226,0.082664,0.085124
01_AUS,Carbon Neutral,g,road,freight,lt,Stocks,Nonspecified,0.111676,0.115677,0.120024,0.120237,0.120356,0.125233,0.130258,0.136429,0.142382,0.144978,0.146603,0.147031,0.146425,0.145172,0.143616,0.141952,0.140243,0.13848,0.13663,0.134635,0.1324,0.129913,0.127164,0.124143,0.120137,0.113153,0.106216,0.099443,0.093292,0.089412,0.085236,0.080794,0.076121,0.071259,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271,0.066271
01_AUS,Carbon Neutral,lpg,road,freight,lt,Stocks,Nonspecified,0.010173,0.010481,0.011106,0.011405,0.011679,0.012315,0.012958,0.013685,0.014388,0.014812,0.015119,0.015283,0.015318,0.015269,0.015178,0.01507,0.014951,0.014824,0.014685,0.014528,0.014343,0.014126,0.013877,0.013594,0.013221,0.012466,0.011712,0.010973,0.010287,0.009888,0.00945,0.008977,0.008471,0.007937,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381,0.007381
01_AUS,Carbon Neutral,phevg,road,freight,lt,Stocks,Nonspecified,2.3e-05,0.000156,0.000655,0.001061,0.001546,0.002348,0.003128,0.003947,0.004724,0.005268,0.00572,0.006065,0.006315,0.006499,0.006643,0.006761,0.006861,0.006942,0.007003,0.007042,0.007052,0.007034,0.006988,0.006913,0.006766,0.006394,0.006016,0.005642,0.005301,0.00512,0.00491,0.004676,0.00442,0.004144,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854,0.003854
01_AUS,Carbon Neutral,bev,road,passenger,2w,Stocks,Nonspecified,0.000156,0.000209,0.001142,0.001915,0.002747,0.003886,0.005372,0.008499,0.015597,0.030839,0.058188,0.097973,0.146467,0.199172,0.247258,0.301019,0.347998,0.401333,0.455167,0.509642,0.561314,0.610606,0.650485,0.696168,0.742101,0.798269,0.852003,0.903367,0.951208,0.988593,1.026596,1.065343,1.104954,1.145557,1.203762,1.228475,1.253754,1.27962,1.306091,1.333183,1.360912,1.389288,1.418321,1.448024,1.478412,1.509501,1.541305,1.573837,1.607112,1.641148,1.675963,1.711576,1.748002,1.785262
01_AUS,Carbon Neutral,g,road,passenger,2w,Stocks,Nonspecified,0.828807,0.835301,0.855482,0.85471,0.853878,0.867588,0.880098,0.890966,0.897533,0.89629,0.882937,0.857181,0.822788,0.784303,0.741698,0.702555,0.661569,0.623319,0.584793,0.54587,0.509987,0.476767,0.444588,0.415723,0.387036,0.348633,0.313237,0.280841,0.252652,0.235666,0.218799,0.201972,0.18511,0.168141,0.151471,0.151716,0.151966,0.152223,0.152485,0.152754,0.153028,0.15331,0.153597,0.153892,0.154193,0.154501,0.154816,0.155138,0.155468,0.155806,0.156151,0.156504,0.156865,0.157234
01_AUS,Carbon Neutral,bev,road,passenger,bus,Stocks,Nonspecified,,0.0,3.8e-05,7.5e-05,0.000117,0.000172,0.000242,0.000381,0.000682,0.001322,0.002486,0.004238,0.006465,0.008991,0.011461,0.014249,0.016869,0.019805,0.022831,0.025948,0.029116,0.032337,0.035303,0.03863,0.042013,0.045454,0.048952,0.052505,0.05611,0.059763,0.063455,0.067178,0.070925,0.074685,0.079307,0.080547,0.081815,0.083113,0.084441,0.0858,0.087191,0.088615,0.090072,0.091562,0.093087,0.094647,0.096242,0.097874,0.099544,0.101252,0.102998,0.104785,0.106613,0.108482
01_AUS,Carbon Neutral,cng,road,passenger,bus,Stocks,Nonspecified,0.0,0.0,2.5e-05,5.3e-05,8.6e-05,0.00013,0.000172,0.000213,0.00025,0.000284,0.000313,0.000335,0.000351,0.000364,0.000372,0.000381,0.000387,0.000393,0.000397,0.0004,0.000402,0.000403,0.000402,0.0004,0.000398,0.000395,0.00039,0.000384,0.000378,0.00037,0.000361,0.000351,0.00034,0.000328,0.000316,0.000316,0.000317,0.000318,0.000318,0.000319,0.00032,0.00032,0.000321,0.000322,0.000322,0.000323,0.000324,0.000325,0.000326,0.000326,0.000327,0.000328,0.000329,0.00033
01_AUS,Carbon Neutral,d,road,passenger,bus,Stocks,Nonspecified,0.025962,0.025962,0.030363,0.033421,0.036335,0.040044,0.043634,0.047132,0.0504,0.053303,0.055612,0.057258,0.058346,0.059059,0.059153,0.059497,0.059369,0.059477,0.059448,0.059285,0.059023,0.058658,0.057938,0.057358,0.056664,0.055853,0.054925,0.053876,0.052706,0.051416,0.050005,0.048475,0.04683,0.045075,0.043361,0.04349,0.043623,0.043759,0.043897,0.04404,0.044185,0.044334,0.044486,0.044642,0.044802,0.044965,0.045131,0.045302,0.045477,0.045655,0.045838,0.046025,0.046216,0.046411
01_AUS,Carbon Neutral,fcev,road,passenger,bus,Stocks,Nonspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,8e-06,3.4e-05,9.7e-05,0.0002,0.000322,0.00047,0.000612,0.00077,0.000932,0.001099,0.001269,0.001443,0.001605,0.001787,0.001973,0.002164,0.002359,0.002559,0.002763,0.002972,0.003185,0.003401,0.003621,0.003843,0.004115,0.004184,0.004255,0.004327,0.004401,0.004476,0.004553,0.004633,0.004713,0.004796,0.004881,0.004968,0.005056,0.005147,0.00524,0.005335,0.005432,0.005531,0.005632,0.005736
01_AUS,Carbon Neutral,g,road,passenger,bus,Stocks,Nonspecified,0.06922,0.06922,0.066061,0.06298,0.060034,0.057297,0.054701,0.052239,0.049897,0.047663,0.04552,0.043457,0.041475,0.039577,0.037744,0.036017,0.034353,0.032785,0.031289,0.029862,0.0285,0.027201,0.025948,0.024763,0.023631,0.022548,0.021511,0.020518,0.019567,0.018654,0.017777,0.016935,0.016126,0.015348,0.014607,0.014614,0.014621,0.014629,0.014636,0.014644,0.014651,0.014659,0.014667,0.014676,0.014684,0.014693,0.014702,0.014711,0.01472,0.01473,0.014739,0.014749,0.01476,0.01477
01_AUS,Carbon Neutral,lpg,road,passenger,bus,Stocks,Nonspecified,0.001398,0.001398,0.001364,0.001324,0.001279,0.001238,0.0012,0.001164,0.001129,0.001095,0.001061,0.001026,0.000991,0.000956,0.000921,0.000888,0.000856,0.000825,0.000795,0.000767,0.000739,0.000712,0.000686,0.00066,0.000636,0.000612,0.000589,0.000566,0.000544,0.000522,0.000501,0.000479,0.000459,0.000438,0.000418,0.000418,0.000419,0.000419,0.000419,0.00042,0.00042,0.00042,0.000421,0.000421,0.000421,0.000422,0.000422,0.000423,0.000423,0.000423,0.000424,0.000424,0.000425,0.000425
01_AUS,Carbon Neutral,phevd,road,passenger,bus,Stocks,Nonspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_AUS,Carbon Neutral,bev,road,passenger,lt,Stocks,Nonspecified,6.5e-05,0.000193,0.001188,0.001872,0.002628,0.003905,0.005696,0.009655,0.019142,0.035709,0.068667,0.121467,0.190568,0.268835,0.341421,0.423219,0.494733,0.574205,0.652537,0.730238,0.809159,0.889491,0.961865,1.045857,1.13175,1.21978,1.310077,1.40276,1.497925,1.595647,1.695803,1.798366,1.903293,2.010537,2.221981,2.294515,2.368712,2.444631,2.522324,2.601842,2.683226,2.766511,2.851727,2.938907,3.028098,3.119346,3.212691,3.308174,3.405839,3.505737,3.607923,3.712447,3.81936,3.92872
01_AUS,Carbon Neutral,cng,road,passenger,lt,Stocks,Nonspecified,0.006806,0.006806,0.00633,0.005887,0.005475,0.005091,0.004735,0.004404,0.004095,0.003809,0.003542,0.003294,0.003063,0.002849,0.00265,0.002464,0.002292,0.002131,0.001982,0.001843,0.001714,0.001594,0.001483,0.001379,0.001282,0.001193,0.001109,0.001031,0.000959,0.000892,0.00083,0.000772,0.000718,0.000667,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621,0.000621
