Transport Type,,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,freight,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger,passenger
Vehicle Type,,HT,HT,HT,HT,HT,HT,HT,LT,LT,LT,LT,LT,LT,LT,2W,2W,BUS,BUS,BUS,BUS,BUS,BUS,BUS,LT,LT,LT,LT,LT,LT,LT,LV,LV,LV,LV,LV,LV,LV
Drive,,BEV,CNG,FCEV,D,G,LPG,PHEVD,BEV,CNG,FCEV,D,G,LPG,PHEVG,BEV,G,BEV,CNG,FCEV,D,G,LPG,PHEVD,BEV,CNG,FCEV,D,G,LPG,PHEVG,BEV,CNG,FCEV,D,G,LPG,PHEVG
Economy,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_AUS,2018,3.421837998,12.68914017,6.221523632,8.784792385,8.375670082,12.68914017,6.868049467,1.76497012,3.748936481,3.199361101,2.84042215,3.408124074,3.748936481,2.378113243,0.502908718,1.477075599,3.391041641,11.17300193,6.146940731,8.784792385,5.07863724,11.17300193,4.041615716,1.76497012,3.748936481,3.199361101,2.84042215,3.408124074,3.748936481,2.378113243,0.951934359,2.873668253,1.725571286,2.536091205,2.736826908,2.873668253,1.642096145
01_AUS,2019,3.411572484,12.56224877,6.202859061,8.696944461,8.291913381,12.56224877,6.799368972,1.754380299,3.673957752,3.176965573,2.783613707,3.339961593,3.673957752,2.330550978,0.499891266,1.457873616,3.370695391,11.06127191,6.103912146,8.696944461,5.027850868,11.06127191,4.001199559,1.754380299,3.673957752,3.176965573,2.783613707,3.339961593,3.673957752,2.330550978,0.946222753,2.816194888,1.713492287,2.485369381,2.68209037,2.816194888,1.609254222
01_AUS,2020,3.401337766,12.43662628,6.184250484,8.609975016,8.208994247,12.43662628,6.731375283,1.743854017,3.600478597,3.154726814,2.727941432,3.273162361,3.600478597,2.283939958,0.496891918,1.438921259,3.350471219,10.95065919,6.061184761,8.609975016,4.977572359,10.95065919,3.961187563,1.743854017,3.600478597,3.154726814,2.727941432,3.273162361,3.600478597,2.283939958,0.940545416,2.75987099,1.701497841,2.435661993,2.628448562,2.75987099,1.577069137
01_AUS,2021,3.396235759,12.37444315,6.174974108,8.566925141,8.167949276,12.37444315,6.697718406,1.738622455,3.564473811,3.14368527,2.700662018,3.240430737,3.564473811,2.261100559,0.495401242,1.429568271,3.340419805,10.89590589,6.039970614,8.566925141,4.952684497,10.89590589,3.941381625,1.738622455,3.564473811,3.14368527,2.700662018,3.240430737,3.564473811,2.261100559,0.93772378,2.732272281,1.695542598,2.411305373,2.602164077,2.732272281,1.561298446
01_AUS,2022,3.391141406,12.31257094,6.165711647,8.524090515,8.12710953,12.31257094,6.664229814,1.733406588,3.528829073,3.132682372,2.673655398,3.20802643,3.528829073,2.238489553,0.493915039,1.420276077,3.330398546,10.84142636,6.018830717,8.524090515,4.927921075,10.84142636,3.921674717,1.733406588,3.528829073,3.132682372,2.673655398,3.20802643,3.528829073,2.238489553,0.934910609,2.704949558,1.689608199,2.38719232,2.576142436,2.704949558,1.545685462
01_AUS,2023,3.386054694,12.25100808,6.15646308,8.481470063,8.086473982,12.25100808,6.630908665,1.728206368,3.493540782,3.121717983,2.646918844,3.175946165,3.493540782,2.216104658,0.492433293,1.411044283,3.32040735,10.78721923,5.997764809,8.481470063,4.90328147,10.78721923,3.902066343,1.728206368,3.493540782,3.121717983,2.646918844,3.175946165,3.493540782,2.216104658,0.932105877,2.677900062,1.68369457,2.363320396,2.550381012,2.677900062,1.530228607
01_AUS,2024,3.380975612,12.18975304,6.147228385,8.439062712,8.046041612,12.18975304,6.597754122,1.723021749,3.458605374,3.11079197,2.620449656,3.144186704,3.458605374,2.193943611,0.490955994,1.401872495,3.310446128,10.73328314,5.976772633,8.439062712,4.878765062,10.73328314,3.882556012,1.723021749,3.458605374,3.11079197,2.620449656,3.144186704,3.458605374,2.193943611,0.929309559,2.651121062,1.677801639,2.339687192,2.524877201,2.651121062,1.514926321
