Medium,Transport Type,Vehicle Type,Drive,Economy,Year,Measure,Value
road,freight,ht,cng,01_AUS,2017,Activity,0.020273984
road,freight,ht,d,01_AUS,2017,Activity,196.5902402
road,freight,ht,g,01_AUS,2017,Activity,9.128182624
road,freight,ht,lpg,01_AUS,2017,Activity,1.409046604
road,freight,lt,bev,01_AUS,2017,Activity,0.000192609
road,freight,lt,cng,01_AUS,2017,Activity,0.022284395
road,freight,lt,d,01_AUS,2017,Activity,5.609708074
road,freight,lt,g,01_AUS,2017,Activity,2.507949343
road,freight,lt,lpg,01_AUS,2017,Activity,0.367893664
road,freight,lt,phevg,01_AUS,2017,Activity,0.000613456
road,passenger,2w,bev,01_AUS,2017,Activity,0.000636225
road,passenger,2w,g,01_AUS,2017,Activity,3.386713494
road,passenger,bus,cng,01_AUS,2017,Activity,5.78E-05
road,passenger,bus,d,01_AUS,2017,Activity,6.528931517
road,passenger,bus,g,01_AUS,2017,Activity,15.30576948
road,passenger,bus,lpg,01_AUS,2017,Activity,0.714874482
road,passenger,lt,bev,01_AUS,2017,Activity,0.000984653
road,passenger,lt,cng,01_AUS,2017,Activity,0.113939504
road,passenger,lt,d,01_AUS,2017,Activity,28.68227559
road,passenger,lt,g,01_AUS,2017,Activity,12.82307274
road,passenger,lt,lpg,01_AUS,2017,Activity,1.88102978
road,passenger,lt,phevg,01_AUS,2017,Activity,0.003133159
road,passenger,lv,bev,01_AUS,2017,Activity,0.013429723
road,passenger,lv,cng,01_AUS,2017,Activity,1.408305205
road,passenger,lv,d,01_AUS,2017,Activity,39.23412873
road,passenger,lv,g,01_AUS,2017,Activity,239.765302
road,passenger,lv,lpg,01_AUS,2017,Activity,12.48113449
road,passenger,lv,phevg,01_AUS,2017,Activity,0.03882874
road,freight,ht,d,02_BD,2017,Activity,0.993549392
road,freight,ht,g,02_BD,2017,Activity,0.037670013
road,freight,lt,d,02_BD,2017,Activity,0.018457864
road,freight,lt,g,02_BD,2017,Activity,0.035846544
road,passenger,2w,bev,02_BD,2017,Activity,4.30E-06
road,passenger,2w,g,02_BD,2017,Activity,0.013769616
road,passenger,bus,d,02_BD,2017,Activity,0.723537087
road,passenger,bus,g,02_BD,2017,Activity,0.062916165
road,passenger,lt,d,02_BD,2017,Activity,1.015299698
road,passenger,lt,g,02_BD,2017,Activity,1.971787674
road,passenger,lv,bev,02_BD,2017,Activity,0.001361924
road,passenger,lv,d,02_BD,2017,Activity,0.194454479
road,passenger,lv,g,02_BD,2017,Activity,2.280532107
road,freight,ht,cng,03_CDA,2017,Activity,0.453554284
road,freight,ht,d,03_CDA,2017,Activity,213.4179108
road,freight,ht,g,03_CDA,2017,Activity,143.0757632
road,freight,ht,lpg,03_CDA,2017,Activity,2.845022325
road,freight,lt,d,03_CDA,2017,Activity,0.11999325
road,freight,lt,g,03_CDA,2017,Activity,18.7651601
road,freight,lt,lpg,03_CDA,2017,Activity,0.051280899
road,passenger,2w,g,03_CDA,2017,Activity,3.268245667
road,passenger,bus,bev,03_CDA,2017,Activity,13.19465377
road,passenger,bus,cng,03_CDA,2017,Activity,2.961853558
road,passenger,bus,d,03_CDA,2017,Activity,42.10237565
road,passenger,bus,g,03_CDA,2017,Activity,1.652273562
road,passenger,bus,lpg,03_CDA,2017,Activity,0.06968712
road,passenger,lt,d,03_CDA,2017,Activity,1.531841992
road,passenger,lt,g,03_CDA,2017,Activity,239.5573156
road,passenger,lt,lpg,03_CDA,2017,Activity,0.654655455
road,passenger,lv,bev,03_CDA,2017,Activity,0.044393539
road,passenger,lv,cng,03_CDA,2017,Activity,0.272879789
road,passenger,lv,d,03_CDA,2017,Activity,3.100100188
road,passenger,lv,g,03_CDA,2017,Activity,284.0848856
road,passenger,lv,lpg,03_CDA,2017,Activity,2.510644517
road,passenger,lv,phevg,03_CDA,2017,Activity,0.005440342
road,freight,ht,d,04_CHL,2017,Activity,31.17131456
road,freight,ht,g,04_CHL,2017,Activity,0.305601121
road,passenger,2w,g,04_CHL,2017,Activity,0.414499392
road,passenger,bus,bev,04_CHL,2017,Activity,0.962606701
road,passenger,bus,d,04_CHL,2017,Activity,46.75923177
road,passenger,bus,g,04_CHL,2017,Activity,0.467592622
road,passenger,lv,bev,04_CHL,2017,Activity,0.179369646
road,passenger,lv,cng,04_CHL,2017,Activity,0.382571326
road,passenger,lv,d,04_CHL,2017,Activity,12.753596
road,passenger,lv,g,04_CHL,2017,Activity,51.01438405
road,passenger,lv,lpg,04_CHL,2017,Activity,0.637679805
road,passenger,lv,phevg,04_CHL,2017,Activity,0.008847082
road,freight,ht,bev,05_PRC,2017,Activity,0.061874
road,freight,ht,cng,05_PRC,2017,Activity,79.86419
road,freight,ht,d,05_PRC,2017,Activity,6072.511
road,freight,ht,lpg,05_PRC,2017,Activity,15.97284
road,freight,lt,bev,05_PRC,2017,Activity,0.416333
road,freight,lt,cng,05_PRC,2017,Activity,20.81683
road,freight,lt,d,05_PRC,2017,Activity,83.26733
road,freight,lt,g,05_PRC,2017,Activity,83.26733
road,freight,lt,lpg,05_PRC,2017,Activity,4.163366
road,passenger,2w,bev,05_PRC,2017,Activity,117.7288
road,passenger,2w,g,05_PRC,2017,Activity,143.8908
road,passenger,bus,bev,05_PRC,2017,Activity,274.5931
road,passenger,bus,cng,05_PRC,2017,Activity,274.5935
road,passenger,bus,d,05_PRC,2017,Activity,350.7471
road,passenger,bus,g,05_PRC,2017,Activity,156.9106
road,passenger,bus,lpg,05_PRC,2017,Activity,39.22765
road,passenger,lt,bev,05_PRC,2017,Activity,0.567264
road,passenger,lt,cng,05_PRC,2017,Activity,28.36346
road,passenger,lt,d,05_PRC,2017,Activity,113.4538
road,passenger,lt,g,05_PRC,2017,Activity,113.4538
road,passenger,lt,lpg,05_PRC,2017,Activity,5.672692
road,passenger,lv,bev,05_PRC,2017,Activity,16.69014
road,passenger,lv,cng,05_PRC,2017,Activity,146.2914
road,passenger,lv,d,05_PRC,2017,Activity,3.483129
road,passenger,lv,g,05_PRC,2017,Activity,4528.067
road,passenger,lv,lpg,05_PRC,2017,Activity,6.966257
road,passenger,lv,phevg,05_PRC,2017,Activity,5.701583
road,freight,ht,d,06_HKC,2017,Activity,5.615241282
