region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV sales share,Buses,EV,2014,percent,0.25999999046325684
Belgium,Historical,EV sales share,Buses,EV,2017,percent,0.23000000417232513
Belgium,Historical,EV sales share,Buses,EV,2018,percent,1.2999999523162842
Belgium,Historical,EV sales share,Buses,EV,2019,percent,3.700000047683716
Belgium,Historical,EV sales share,Buses,EV,2020,percent,1.600000023841858
Belgium,Historical,EV sales share,Buses,EV,2021,percent,3
Canada,Historical,EV sales share,Buses,EV,2016,percent,0.08100000023841858
Canada,Historical,EV sales share,Buses,EV,2017,percent,0.17000000178813934
Canada,Historical,EV sales share,Buses,EV,2018,percent,0.27000001072883606
Canada,Historical,EV sales share,Buses,EV,2019,percent,0.7900000214576721
Canada,Historical,EV sales share,Buses,EV,2020,percent,1
Canada,Historical,EV sales share,Buses,EV,2021,percent,4
China,Historical,EV sales share,Buses,EV,2010,percent,0.38999998569488525
China,Historical,EV sales share,Buses,EV,2011,percent,0.7900000214576721
China,Historical,EV sales share,Buses,EV,2012,percent,0.9599999785423279
China,Historical,EV sales share,Buses,EV,2013,percent,1.7000000476837158
China,Historical,EV sales share,Buses,EV,2014,percent,6.099999904632568
China,Historical,EV sales share,Buses,EV,2015,percent,25
China,Historical,EV sales share,Buses,EV,2016,percent,28
China,Historical,EV sales share,Buses,EV,2017,percent,29
China,Historical,EV sales share,Buses,EV,2018,percent,30
China,Historical,EV sales share,Buses,EV,2019,percent,30
China,Historical,EV sales share,Buses,EV,2020,percent,21
China,Historical,EV sales share,Buses,EV,2021,percent,26
Denmark,Historical,EV sales share,Buses,EV,2010,percent,0.4000000059604645
Denmark,Historical,EV sales share,Buses,EV,2011,percent,0.25
Denmark,Historical,EV sales share,Buses,EV,2012,percent,0.12999999523162842
Denmark,Historical,EV sales share,Buses,EV,2013,percent,0.4099999964237213
Denmark,Historical,EV sales share,Buses,EV,2016,percent,0.4000000059604645
Denmark,Historical,EV sales share,Buses,EV,2018,percent,0.18000000715255737
Denmark,Historical,EV sales share,Buses,EV,2019,percent,8.5
Denmark,Historical,EV sales share,Buses,EV,2020,percent,1.399999976158142
Denmark,Historical,EV sales share,Buses,EV,2021,percent,35
Europe,Historical,EV sales share,Buses,EV,2010,percent,0.06499999761581421
Europe,Historical,EV sales share,Buses,EV,2011,percent,0.08399999886751175
Europe,Historical,EV sales share,Buses,EV,2012,percent,0.10999999940395355
Europe,Historical,EV sales share,Buses,EV,2013,percent,0.15000000596046448
Europe,Historical,EV sales share,Buses,EV,2014,percent,0.20000000298023224
Europe,Historical,EV sales share,Buses,EV,2015,percent,0.17000000178813934
Europe,Historical,EV sales share,Buses,EV,2016,percent,1.2999999523162842
Europe,Historical,EV sales share,Buses,EV,2017,percent,0.7799999713897705
Europe,Historical,EV sales share,Buses,EV,2018,percent,1.5
Europe,Historical,EV sales share,Buses,EV,2019,percent,3.0999999046325684
Europe,Historical,EV sales share,Buses,EV,2020,percent,3.9000000953674316
Europe,Historical,EV sales share,Buses,EV,2021,percent,6
Finland,Historical,EV sales share,Buses,EV,2017,percent,0.38999998569488525
Finland,Historical,EV sales share,Buses,EV,2018,percent,0.38999998569488525
Finland,Historical,EV sales share,Buses,EV,2019,percent,7.599999904632568
Finland,Historical,EV sales share,Buses,EV,2020,percent,8.800000190734863
Finland,Historical,EV sales share,Buses,EV,2021,percent,50
France,Historical,EV sales share,Buses,EV,2010,percent,0.27000001072883606
France,Historical,EV sales share,Buses,EV,2011,percent,0.3100000023841858
France,Historical,EV sales share,Buses,EV,2012,percent,0.4099999964237213
France,Historical,EV sales share,Buses,EV,2013,percent,0.3400000035762787
France,Historical,EV sales share,Buses,EV,2014,percent,0.6800000071525574
France,Historical,EV sales share,Buses,EV,2015,percent,0.6899999976158142
France,Historical,EV sales share,Buses,EV,2016,percent,1.100000023841858
France,Historical,EV sales share,Buses,EV,2017,percent,0.27000001072883606
France,Historical,EV sales share,Buses,EV,2018,percent,1.5
France,Historical,EV sales share,Buses,EV,2019,percent,3.799999952316284
France,Historical,EV sales share,Buses,EV,2020,percent,2.5
France,Historical,EV sales share,Buses,EV,2021,percent,8.800000190734863
Germany,Historical,EV sales share,Buses,EV,2016,percent,3.299999952316284
Germany,Historical,EV sales share,Buses,EV,2017,percent,0.4300000071525574
Germany,Historical,EV sales share,Buses,EV,2018,percent,1.399999976158142
Germany,Historical,EV sales share,Buses,EV,2019,percent,3
Germany,Historical,EV sales share,Buses,EV,2020,percent,5.699999809265137
Germany,Historical,EV sales share,Buses,EV,2021,percent,9.199999809265137
Greece,Historical,EV sales share,Buses,EV,2018,percent,0.2800000011920929
Greece,Historical,EV sales share,Buses,EV,2019,percent,0.2199999988079071
Greece,Historical,EV sales share,Buses,EV,2020,percent,0.7599999904632568
Iceland,Historical,EV sales share,Buses,EV,2012,percent,0.6899999976158142
Iceland,Historical,EV sales share,Buses,EV,2017,percent,0.36000001430511475
Iceland,Historical,EV sales share,Buses,EV,2018,percent,7.800000190734863
Italy,Historical,EV sales share,Buses,EV,2016,percent,1.399999976158142
Italy,Historical,EV sales share,Buses,EV,2017,percent,0.8999999761581421
Italy,Historical,EV sales share,Buses,EV,2018,percent,1.399999976158142
Italy,Historical,EV sales share,Buses,EV,2019,percent,1.5
Italy,Historical,EV sales share,Buses,EV,2020,percent,1.5
Italy,Historical,EV sales share,Buses,EV,2021,percent,2.4000000953674316
Japan,Historical,EV sales share,Buses,EV,2011,percent,0.01899999938905239
Japan,Historical,EV sales share,Buses,EV,2012,percent,0.032999999821186066
Japan,Historical,EV sales share,Buses,EV,2013,percent,0.06199999898672104
Japan,Historical,EV sales share,Buses,EV,2014,percent,0.05000000074505806
Japan,Historical,EV sales share,Buses,EV,2015,percent,0.014999999664723873
Japan,Historical,EV sales share,Buses,EV,2016,percent,0.052000001072883606
Japan,Historical,EV sales share,Buses,EV,2017,percent,0.06400000303983688
Japan,Historical,EV sales share,Buses,EV,2018,percent,0.0729999989271164
Japan,Historical,EV sales share,Buses,EV,2019,percent,0.05900000035762787
Japan,Historical,EV sales share,Buses,EV,2020,percent,0.10999999940395355
Korea,Historical,EV sales share,Buses,EV,2010,percent,0.0071000000461936
Korea,Historical,EV sales share,Buses,EV,2011,percent,0.005499999970197678
Korea,Historical,EV sales share,Buses,EV,2012,percent,0.003100000089034438
Korea,Historical,EV sales share,Buses,EV,2013,percent,0.008999999612569809
Korea,Historical,EV sales share,Buses,EV,2014,percent,0.004800000227987766
Korea,Historical,EV sales share,Buses,EV,2015,percent,0.002899999963119626
Korea,Historical,EV sales share,Buses,EV,2016,percent,0.04699999839067459
Korea,Historical,EV sales share,Buses,EV,2018,percent,0.07599999755620956
Korea,Historical,EV sales share,Buses,EV,2019,percent,0.20000000298023224
Korea,Historical,EV sales share,Buses,EV,2020,percent,1.399999976158142
Korea,Historical,EV sales share,Buses,EV,2021,percent,1.7000000476837158
Netherlands,Historical,EV sales share,Buses,EV,2010,percent,0.28999999165534973
Netherlands,Historical,EV sales share,Buses,EV,2011,percent,0.8199999928474426
Netherlands,Historical,EV sales share,Buses,EV,2012,percent,0.38999998569488525
Netherlands,Historical,EV sales share,Buses,EV,2013,percent,3.5
Netherlands,Historical,EV sales share,Buses,EV,2014,percent,2.0999999046325684
Netherlands,Historical,EV sales share,Buses,EV,2015,percent,5.300000190734863
Netherlands,Historical,EV sales share,Buses,EV,2016,percent,8.899999618530273
Netherlands,Historical,EV sales share,Buses,EV,2017,percent,14
Netherlands,Historical,EV sales share,Buses,EV,2018,percent,19
Netherlands,Historical,EV sales share,Buses,EV,2019,percent,41
Netherlands,Historical,EV sales share,Buses,EV,2020,percent,71
Netherlands,Historical,EV sales share,Buses,EV,2021,percent,45
New Zealand,Historical,EV sales share,Buses,EV,2011,percent,0.11999999731779099
New Zealand,Historical,EV sales share,Buses,EV,2012,percent,0.05400000140070915
