region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV sales share,Vans,EV,2010,percent,0.014999999664723873
Belgium,Historical,EV sales share,Vans,EV,2011,percent,0.04399999976158142
Belgium,Historical,EV sales share,Vans,EV,2012,percent,0.5299999713897705
Belgium,Historical,EV sales share,Vans,EV,2013,percent,0.2199999988079071
Belgium,Historical,EV sales share,Vans,EV,2014,percent,0.20000000298023224
Belgium,Historical,EV sales share,Vans,EV,2015,percent,0.11999999731779099
Belgium,Historical,EV sales share,Vans,EV,2016,percent,0.2199999988079071
Belgium,Historical,EV sales share,Vans,EV,2017,percent,0.17000000178813934
Belgium,Historical,EV sales share,Vans,EV,2018,percent,0.3400000035762787
Belgium,Historical,EV sales share,Vans,EV,2019,percent,0.5099999904632568
Belgium,Historical,EV sales share,Vans,EV,2020,percent,0.6700000166893005
Belgium,Historical,EV sales share,Vans,EV,2021,percent,1.100000023841858
Canada,Historical,EV sales share,Vans,EV,2015,percent,0.002099999925121665
Canada,Historical,EV sales share,Vans,EV,2020,percent,1.399999976158142
Canada,Historical,EV sales share,Vans,EV,2021,percent,1.5
China,Historical,EV sales share,Vans,EV,2010,percent,0.010999999940395355
China,Historical,EV sales share,Vans,EV,2011,percent,0.03400000184774399
China,Historical,EV sales share,Vans,EV,2012,percent,0.0560000017285347
China,Historical,EV sales share,Vans,EV,2013,percent,0.05700000002980232
China,Historical,EV sales share,Vans,EV,2014,percent,0.07900000363588333
China,Historical,EV sales share,Vans,EV,2015,percent,1.600000023841858
China,Historical,EV sales share,Vans,EV,2016,percent,2.4000000953674316
China,Historical,EV sales share,Vans,EV,2017,percent,5.599999904632568
China,Historical,EV sales share,Vans,EV,2018,percent,4.699999809265137
China,Historical,EV sales share,Vans,EV,2019,percent,2
China,Historical,EV sales share,Vans,EV,2020,percent,3.5999999046325684
China,Historical,EV sales share,Vans,EV,2021,percent,6.099999904632568
Denmark,Historical,EV sales share,Vans,EV,2010,percent,0.03700000047683716
Denmark,Historical,EV sales share,Vans,EV,2011,percent,0.09399999678134918
Denmark,Historical,EV sales share,Vans,EV,2012,percent,0.5600000023841858
Denmark,Historical,EV sales share,Vans,EV,2013,percent,0.4399999976158142
Denmark,Historical,EV sales share,Vans,EV,2014,percent,0.17000000178813934
Denmark,Historical,EV sales share,Vans,EV,2015,percent,1.100000023841858
Denmark,Historical,EV sales share,Vans,EV,2016,percent,0.3799999952316284
Denmark,Historical,EV sales share,Vans,EV,2017,percent,0.25999999046325684
Denmark,Historical,EV sales share,Vans,EV,2018,percent,0.6499999761581421
Denmark,Historical,EV sales share,Vans,EV,2019,percent,0.800000011920929
Denmark,Historical,EV sales share,Vans,EV,2020,percent,2
Denmark,Historical,EV sales share,Vans,EV,2021,percent,5.599999904632568
Europe,Historical,EV sales share,Vans,EV,2010,percent,0.0860000029206276
Europe,Historical,EV sales share,Vans,EV,2011,percent,0.14000000059604645
Europe,Historical,EV sales share,Vans,EV,2012,percent,0.41999998688697815
Europe,Historical,EV sales share,Vans,EV,2013,percent,0.5
