region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV sales,Buses,BEV,2014,sales,3
Belgium,Historical,EV sales,Buses,PHEV,2017,sales,2
Belgium,Historical,EV sales,Buses,BEV,2018,sales,14
Belgium,Historical,EV sales,Buses,BEV,2019,sales,37
Belgium,Historical,EV sales,Buses,PHEV,2019,sales,11
Belgium,Historical,EV sales,Buses,PHEV,2020,sales,1
Belgium,Historical,EV sales,Buses,BEV,2020,sales,12
Belgium,Historical,EV sales,Buses,BEV,2021,sales,28
Canada,Historical,EV sales,Buses,BEV,2016,sales,5
Canada,Historical,EV sales,Buses,BEV,2017,sales,11
Canada,Historical,EV sales,Buses,BEV,2018,sales,19
Canada,Historical,EV sales,Buses,BEV,2019,sales,49
Canada,Historical,EV sales,Buses,BEV,2020,sales,63
Canada,Historical,EV sales,Buses,BEV,2021,sales,250
China,Historical,EV sales,Buses,BEV,2010,sales,1900
China,Historical,EV sales,Buses,BEV,2011,sales,2100
China,Historical,EV sales,Buses,PHEV,2011,sales,330
China,Historical,EV sales,Buses,PHEV,2012,sales,1000
China,Historical,EV sales,Buses,BEV,2012,sales,1800
China,Historical,EV sales,Buses,BEV,2013,sales,1800
China,Historical,EV sales,Buses,PHEV,2013,sales,3500
China,Historical,EV sales,Buses,PHEV,2014,sales,12000
China,Historical,EV sales,Buses,BEV,2014,sales,11000
China,Historical,EV sales,Buses,BEV,2015,sales,76000
China,Historical,EV sales,Buses,PHEV,2015,sales,26000
China,Historical,EV sales,Buses,PHEV,2016,sales,19000
China,Historical,EV sales,Buses,BEV,2016,sales,94000
China,Historical,EV sales,Buses,BEV,2017,sales,120000
China,Historical,EV sales,Buses,PHEV,2017,sales,480
China,Historical,EV sales,Buses,PHEV,2018,sales,2400
China,Historical,EV sales,Buses,BEV,2018,sales,110000
China,Historical,EV sales,Buses,BEV,2019,sales,98000
China,Historical,EV sales,Buses,PHEV,2019,sales,2600
China,Historical,EV sales,Buses,PHEV,2020,sales,3600
China,Historical,EV sales,Buses,BEV,2020,sales,57000
China,Historical,EV sales,Buses,BEV,2021,sales,84000
China,Historical,EV sales,Buses,PHEV,2021,sales,1700
Denmark,Historical,EV sales,Buses,BEV,2010,sales,4
Denmark,Historical,EV sales,Buses,BEV,2011,sales,2
Denmark,Historical,EV sales,Buses,BEV,2012,sales,1
Denmark,Historical,EV sales,Buses,BEV,2013,sales,3
Denmark,Historical,EV sales,Buses,BEV,2016,sales,4
Denmark,Historical,EV sales,Buses,BEV,2018,sales,2
Denmark,Historical,EV sales,Buses,BEV,2019,sales,83
Denmark,Historical,EV sales,Buses,PHEV,2019,sales,17
Denmark,Historical,EV sales,Buses,BEV,2020,sales,3
Denmark,Historical,EV sales,Buses,BEV,2021,sales,220
Finland,Historical,EV sales,Buses,BEV,2017,sales,2
Finland,Historical,EV sales,Buses,BEV,2018,sales,2
Finland,Historical,EV sales,Buses,BEV,2019,sales,40
Finland,Historical,EV sales,Buses,BEV,2020,sales,25
Finland,Historical,EV sales,Buses,BEV,2021,sales,190
France,Historical,EV sales,Buses,BEV,2010,sales,16
France,Historical,EV sales,Buses,BEV,2011,sales,21
France,Historical,EV sales,Buses,BEV,2012,sales,25
France,Historical,EV sales,Buses,BEV,2013,sales,24
France,Historical,EV sales,Buses,BEV,2014,sales,40
France,Historical,EV sales,Buses,BEV,2015,sales,51
France,Historical,EV sales,Buses,BEV,2016,sales,74
France,Historical,EV sales,Buses,PHEV,2016,sales,1
France,Historical,EV sales,Buses,BEV,2017,sales,17
France,Historical,EV sales,Buses,BEV,2018,sales,91
France,Historical,EV sales,Buses,BEV,2019,sales,270
France,Historical,EV sales,Buses,BEV,2020,sales,150
France,Historical,EV sales,Buses,BEV,2021,sales,600
Germany,Historical,EV sales,Buses,BEV,2016,sales,110
Germany,Historical,EV sales,Buses,PHEV,2016,sales,120
Germany,Historical,EV sales,Buses,BEV,2017,sales,29
Germany,Historical,EV sales,Buses,BEV,2018,sales,95
Germany,Historical,EV sales,Buses,BEV,2019,sales,190
Germany,Historical,EV sales,Buses,BEV,2020,sales,370
Germany,Historical,EV sales,Buses,BEV,2021,sales,590
Germany,Historical,EV sales,Buses,PHEV,2021,sales,5
Greece,Historical,EV sales,Buses,BEV,2018,sales,1
Greece,Historical,EV sales,Buses,BEV,2019,sales,1
Greece,Historical,EV sales,Buses,BEV,2020,sales,3
Iceland,Historical,EV sales,Buses,BEV,2012,sales,1
Iceland,Historical,EV sales,Buses,BEV,2017,sales,1
Iceland,Historical,EV sales,Buses,BEV,2018,sales,14
Italy,Historical,EV sales,Buses,BEV,2016,sales,38
Italy,Historical,EV sales,Buses,BEV,2017,sales,29
Italy,Historical,EV sales,Buses,BEV,2018,sales,60
Italy,Historical,EV sales,Buses,BEV,2019,sales,65
Italy,Historical,EV sales,Buses,BEV,2020,sales,49
Italy,Historical,EV sales,Buses,BEV,2021,sales,84
Japan,Historical,EV sales,Buses,BEV,2011,sales,2
Japan,Historical,EV sales,Buses,BEV,2012,sales,4
Japan,Historical,EV sales,Buses,BEV,2013,sales,7
Japan,Historical,EV sales,Buses,BEV,2014,sales,6
Japan,Historical,EV sales,Buses,BEV,2015,sales,2
Japan,Historical,EV sales,Buses,BEV,2016,sales,8
