region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV sales,Vans,BEV,2010,sales,7
Belgium,Historical,EV sales,Vans,BEV,2011,sales,25
Belgium,Historical,EV sales,Vans,BEV,2012,sales,260
Belgium,Historical,EV sales,Vans,BEV,2013,sales,110
Belgium,Historical,EV sales,Vans,BEV,2014,sales,99
Belgium,Historical,EV sales,Vans,BEV,2015,sales,68
Belgium,Historical,EV sales,Vans,BEV,2016,sales,140
Belgium,Historical,EV sales,Vans,BEV,2017,sales,130
Belgium,Historical,EV sales,Vans,PHEV,2017,sales,1
Belgium,Historical,EV sales,Vans,PHEV,2018,sales,2
Belgium,Historical,EV sales,Vans,BEV,2018,sales,260
Belgium,Historical,EV sales,Vans,BEV,2019,sales,420
Belgium,Historical,EV sales,Vans,BEV,2020,sales,450
Belgium,Historical,EV sales,Vans,PHEV,2020,sales,26
Belgium,Historical,EV sales,Vans,PHEV,2021,sales,25
Belgium,Historical,EV sales,Vans,BEV,2021,sales,750
Canada,Historical,EV sales,Vans,BEV,2015,sales,1
Canada,Historical,EV sales,Vans,PHEV,2015,sales,5
Canada,Historical,EV sales,Vans,PHEV,2020,sales,1400
Canada,Historical,EV sales,Vans,BEV,2020,sales,1600
Canada,Historical,EV sales,Vans,BEV,2021,sales,2600
Canada,Historical,EV sales,Vans,PHEV,2021,sales,2600
China,Historical,EV sales,Vans,BEV,2010,sales,120
China,Historical,EV sales,Vans,BEV,2011,sales,330
China,Historical,EV sales,Vans,BEV,2012,sales,520
China,Historical,EV sales,Vans,BEV,2013,sales,550
China,Historical,EV sales,Vans,BEV,2014,sales,720
China,Historical,EV sales,Vans,BEV,2015,sales,12000
China,Historical,EV sales,Vans,BEV,2016,sales,21000
China,Historical,EV sales,Vans,BEV,2017,sales,58000
China,Historical,EV sales,Vans,BEV,2018,sales,53000
China,Historical,EV sales,Vans,BEV,2019,sales,23000
China,Historical,EV sales,Vans,BEV,2020,sales,51000
China,Historical,EV sales,Vans,BEV,2021,sales,86000
China,Historical,EV sales,Vans,PHEV,2021,sales,160
Denmark,Historical,EV sales,Vans,BEV,2010,sales,6
Denmark,Historical,EV sales,Vans,BEV,2011,sales,23
Denmark,Historical,EV sales,Vans,BEV,2012,sales,130
Denmark,Historical,EV sales,Vans,PHEV,2012,sales,8
Denmark,Historical,EV sales,Vans,PHEV,2013,sales,2
Denmark,Historical,EV sales,Vans,BEV,2013,sales,100
Denmark,Historical,EV sales,Vans,BEV,2014,sales,47
Denmark,Historical,EV sales,Vans,PHEV,2014,sales,2
Denmark,Historical,EV sales,Vans,PHEV,2015,sales,85
Denmark,Historical,EV sales,Vans,BEV,2015,sales,260
Denmark,Historical,EV sales,Vans,BEV,2016,sales,57
Denmark,Historical,EV sales,Vans,PHEV,2016,sales,81
Denmark,Historical,EV sales,Vans,PHEV,2017,sales,24
Denmark,Historical,EV sales,Vans,BEV,2017,sales,70
Denmark,Historical,EV sales,Vans,BEV,2018,sales,190
Denmark,Historical,EV sales,Vans,PHEV,2018,sales,31
Denmark,Historical,EV sales,Vans,PHEV,2019,sales,34
Denmark,Historical,EV sales,Vans,BEV,2019,sales,230
Denmark,Historical,EV sales,Vans,BEV,2020,sales,460
Denmark,Historical,EV sales,Vans,PHEV,2020,sales,160
Denmark,Historical,EV sales,Vans,PHEV,2021,sales,320
Denmark,Historical,EV sales,Vans,BEV,2021,sales,1500
Finland,Historical,EV sales,Vans,BEV,2017,sales,44
Finland,Historical,EV sales,Vans,BEV,2018,sales,55
Finland,Historical,EV sales,Vans,BEV,2019,sales,58
Finland,Historical,EV sales,Vans,BEV,2020,sales,130
Finland,Historical,EV sales,Vans,PHEV,2020,sales,39
Finland,Historical,EV sales,Vans,PHEV,2021,sales,38
Finland,Historical,EV sales,Vans,BEV,2021,sales,340
France,Historical,EV sales,Vans,BEV,2010,sales,800
France,Historical,EV sales,Vans,BEV,2011,sales,1700
France,Historical,EV sales,Vans,BEV,2012,sales,3600
France,Historical,EV sales,Vans,BEV,2013,sales,5100
France,Historical,EV sales,Vans,BEV,2014,sales,4500
France,Historical,EV sales,Vans,BEV,2015,sales,4900
France,Historical,EV sales,Vans,PHEV,2015,sales,10
France,Historical,EV sales,Vans,PHEV,2016,sales,9
France,Historical,EV sales,Vans,BEV,2016,sales,5500
France,Historical,EV sales,Vans,BEV,2017,sales,6000
France,Historical,EV sales,Vans,PHEV,2017,sales,5
France,Historical,EV sales,Vans,BEV,2018,sales,8100
France,Historical,EV sales,Vans,BEV,2019,sales,8000
France,Historical,EV sales,Vans,PHEV,2019,sales,22
