region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV stock share,Buses,EV,2010,percent,0.012000000104308128
Belgium,Historical,EV stock share,Buses,EV,2011,percent,0.012000000104308128
Belgium,Historical,EV stock share,Buses,EV,2012,percent,0.012000000104308128
Belgium,Historical,EV stock share,Buses,EV,2013,percent,0.012000000104308128
Belgium,Historical,EV stock share,Buses,EV,2014,percent,0.1599999964237213
Belgium,Historical,EV stock share,Buses,EV,2015,percent,0.3700000047683716
Belgium,Historical,EV stock share,Buses,EV,2016,percent,0.5400000214576721
Belgium,Historical,EV stock share,Buses,EV,2017,percent,0.7300000190734863
Belgium,Historical,EV stock share,Buses,EV,2018,percent,0.9399999976158142
Belgium,Historical,EV stock share,Buses,EV,2019,percent,1.2000000476837158
Belgium,Historical,EV stock share,Buses,EV,2020,percent,1.2999999523162842
Belgium,Historical,EV stock share,Buses,EV,2021,percent,1.5
Canada,Historical,EV stock share,Buses,EV,2018,percent,0.019999999552965164
Canada,Historical,EV stock share,Buses,EV,2019,percent,0.0729999989271164
Canada,Historical,EV stock share,Buses,EV,2020,percent,0.28999999165534973
Canada,Historical,EV stock share,Buses,EV,2021,percent,0.46000000834465027
China,Historical,EV stock share,Buses,EV,2010,percent,0.04800000041723251
China,Historical,EV stock share,Buses,EV,2011,percent,0.10999999940395355
China,Historical,EV stock share,Buses,EV,2012,percent,0.17000000178813934
China,Historical,EV stock share,Buses,EV,2013,percent,0.28999999165534973
China,Historical,EV stock share,Buses,EV,2014,percent,0.8500000238418579
China,Historical,EV stock share,Buses,EV,2015,percent,3
China,Historical,EV stock share,Buses,EV,2016,percent,5
China,Historical,EV stock share,Buses,EV,2017,percent,6.699999809265137
China,Historical,EV stock share,Buses,EV,2018,percent,8.300000190734863
China,Historical,EV stock share,Buses,EV,2019,percent,9.5
China,Historical,EV stock share,Buses,EV,2020,percent,10
China,Historical,EV stock share,Buses,EV,2021,percent,12
Denmark,Historical,EV stock share,Buses,EV,2010,percent,0.03700000047683716
Denmark,Historical,EV stock share,Buses,EV,2011,percent,0.04699999839067459
Denmark,Historical,EV stock share,Buses,EV,2012,percent,0.05299999937415123
Denmark,Historical,EV stock share,Buses,EV,2013,percent,0.06800000369548798
Denmark,Historical,EV stock share,Buses,EV,2014,percent,0.06700000166893005
Denmark,Historical,EV stock share,Buses,EV,2015,percent,0.06700000166893005
Denmark,Historical,EV stock share,Buses,EV,2016,percent,0.05000000074505806
Denmark,Historical,EV stock share,Buses,EV,2017,percent,0.04899999871850014
