region,category,parameter,mode,powertrain,year,unit,value
Australia,Historical,EV stock share,Cars,EV,2011,percent,0.0004600000102072954
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.00279999990016222
Australia,Historical,EV stock share,Cars,EV,2013,percent,0.005400000140070915
Australia,Historical,EV stock share,Cars,EV,2014,percent,0.017000000923871994
Australia,Historical,EV stock share,Cars,EV,2015,percent,0.03200000151991844
Australia,Historical,EV stock share,Cars,EV,2016,percent,0.0430000014603138
Australia,Historical,EV stock share,Cars,EV,2017,percent,0.061000000685453415
Australia,Historical,EV stock share,Cars,EV,2018,percent,0.08900000154972076
Australia,Historical,EV stock share,Cars,EV,2019,percent,0.1599999964237213
Australia,Historical,EV stock share,Cars,EV,2020,percent,0.2199999988079071
Australia,Historical,EV stock share,Cars,EV,2021,percent,0.38999998569488525
Belgium,Historical,EV stock share,Cars,EV,2010,percent,0.0013000000035390258
Belgium,Historical,EV stock share,Cars,EV,2011,percent,0.006399999838322401
Belgium,Historical,EV stock share,Cars,EV,2012,percent,0.02199999988079071
Belgium,Historical,EV stock share,Cars,EV,2013,percent,0.032999999821186066
Belgium,Historical,EV stock share,Cars,EV,2014,percent,0.06700000166893005
Belgium,Historical,EV stock share,Cars,EV,2015,percent,0.12999999523162842
Belgium,Historical,EV stock share,Cars,EV,2016,percent,0.2800000011920929
Belgium,Historical,EV stock share,Cars,EV,2017,percent,0.5299999713897705
Belgium,Historical,EV stock share,Cars,EV,2018,percent,0.75
Belgium,Historical,EV stock share,Cars,EV,2019,percent,1
Belgium,Historical,EV stock share,Cars,EV,2020,percent,1.7999999523162842
Belgium,Historical,EV stock share,Cars,EV,2021,percent,2.9000000953674316
Brazil,Historical,EV stock share,Cars,EV,2014,percent,0.00018000000272877514
Brazil,Historical,EV stock share,Cars,EV,2015,percent,0.0004199999966658652
Brazil,Historical,EV stock share,Cars,EV,2016,percent,0.0008999999845400453
Brazil,Historical,EV stock share,Cars,EV,2017,percent,0.0019000000320374966
Brazil,Historical,EV stock share,Cars,EV,2018,percent,0.00279999990016222
Brazil,Historical,EV stock share,Cars,EV,2019,percent,0.007799999788403511
Brazil,Historical,EV stock share,Cars,EV,2020,percent,0.014000000432133675
Brazil,Historical,EV stock share,Cars,EV,2021,percent,0.032999999821186066
Canada,Historical,EV stock share,Cars,EV,2011,percent,0.0026000000070780516
Canada,Historical,EV stock share,Cars,EV,2012,percent,0.013000000268220901
Canada,Historical,EV stock share,Cars,EV,2013,percent,0.02800000086426735
Canada,Historical,EV stock share,Cars,EV,2014,percent,0.052000001072883606
Canada,Historical,EV stock share,Cars,EV,2015,percent,0.0860000029206276
Canada,Historical,EV stock share,Cars,EV,2016,percent,0.14000000059604645
Canada,Historical,EV stock share,Cars,EV,2017,percent,0.20999999344348907
Canada,Historical,EV stock share,Cars,EV,2018,percent,0.4000000059604645
Canada,Historical,EV stock share,Cars,EV,2019,percent,0.6299999952316284
Canada,Historical,EV stock share,Cars,EV,2020,percent,0.8299999833106995
Canada,Historical,EV stock share,Cars,EV,2021,percent,1.2000000476837158
Chile,Historical,EV stock share,Cars,EV,2011,percent,0.0002800000074785203
Chile,Historical,EV stock share,Cars,EV,2012,percent,0.0004900000058114529
Chile,Historical,EV stock share,Cars,EV,2013,percent,0.0006699999794363976
Chile,Historical,EV stock share,Cars,EV,2014,percent,0.0013000000035390258
Chile,Historical,EV stock share,Cars,EV,2015,percent,0.0026000000070780516
Chile,Historical,EV stock share,Cars,EV,2016,percent,0.003599999938160181
Chile,Historical,EV stock share,Cars,EV,2017,percent,0.00800000037997961
Chile,Historical,EV stock share,Cars,EV,2018,percent,0.013000000268220901
Chile,Historical,EV stock share,Cars,EV,2019,percent,0.019999999552965164
Chile,Historical,EV stock share,Cars,EV,2020,percent,0.026000000536441803
Chile,Historical,EV stock share,Cars,EV,2021,percent,0.0430000014603138
China,Historical,EV stock share,Cars,EV,2010,percent,0.003000000026077032
China,Historical,EV stock share,Cars,EV,2011,percent,0.008999999612569809
China,Historical,EV stock share,Cars,EV,2012,percent,0.017999999225139618
China,Historical,EV stock share,Cars,EV,2013,percent,0.028999999165534973
China,Historical,EV stock share,Cars,EV,2014,percent,0.06499999761581421
China,Historical,EV stock share,Cars,EV,2015,percent,0.1899999976158142
China,Historical,EV stock share,Cars,EV,2016,percent,0.36000001430511475
China,Historical,EV stock share,Cars,EV,2017,percent,0.6100000143051147
China,Historical,EV stock share,Cars,EV,2018,percent,1
China,Historical,EV stock share,Cars,EV,2019,percent,1.399999976158142
China,Historical,EV stock share,Cars,EV,2020,percent,1.7000000476837158
China,Historical,EV stock share,Cars,EV,2021,percent,3
Denmark,Historical,EV stock share,Cars,EV,2010,percent,0.003700000001117587
Denmark,Historical,EV stock share,Cars,EV,2011,percent,0.023000000044703484
Denmark,Historical,EV stock share,Cars,EV,2012,percent,0.0560000017285347
Denmark,Historical,EV stock share,Cars,EV,2013,percent,0.06800000369548798
Denmark,Historical,EV stock share,Cars,EV,2014,percent,0.12999999523162842
Denmark,Historical,EV stock share,Cars,EV,2015,percent,0.3499999940395355
Denmark,Historical,EV stock share,Cars,EV,2016,percent,0.4000000059604645
Denmark,Historical,EV stock share,Cars,EV,2017,percent,0.41999998688697815
Denmark,Historical,EV stock share,Cars,EV,2018,percent,0.5899999737739563
Denmark,Historical,EV stock share,Cars,EV,2019,percent,0.9599999785423279
Denmark,Historical,EV stock share,Cars,EV,2020,percent,2.299999952316284
Denmark,Historical,EV stock share,Cars,EV,2021,percent,5.199999809265137
Europe,Historical,EV stock share,Cars,EV,2010,percent,0.00279999990016222
Europe,Historical,EV stock share,Cars,EV,2011,percent,0.006899999920278788
Europe,Historical,EV stock share,Cars,EV,2012,percent,0.017999999225139618
Europe,Historical,EV stock share,Cars,EV,2013,percent,0.03999999910593033
Europe,Historical,EV stock share,Cars,EV,2014,percent,0.07500000298023224
Europe,Historical,EV stock share,Cars,EV,2015,percent,0.14000000059604645
Europe,Historical,EV stock share,Cars,EV,2016,percent,0.2199999988079071
Europe,Historical,EV stock share,Cars,EV,2017,percent,0.3199999928474426
Europe,Historical,EV stock share,Cars,EV,2018,percent,0.44999998807907104
Europe,Historical,EV stock share,Cars,EV,2019,percent,0.6200000047683716
Europe,Historical,EV stock share,Cars,EV,2020,percent,1.2000000476837158
Europe,Historical,EV stock share,Cars,EV,2021,percent,2.299999952316284
Finland,Historical,EV stock share,Cars,EV,2011,percent,0.0024999999441206455
Finland,Historical,EV stock share,Cars,EV,2012,percent,0.009999999776482582
Finland,Historical,EV stock share,Cars,EV,2013,percent,0.019999999552965164
Finland,Historical,EV stock share,Cars,EV,2014,percent,0.03999999910593033
Finland,Historical,EV stock share,Cars,EV,2015,percent,0.06700000166893005
Finland,Historical,EV stock share,Cars,EV,2016,percent,0.14000000059604645
Finland,Historical,EV stock share,Cars,EV,2017,percent,0.30000001192092896
Finland,Historical,EV stock share,Cars,EV,2018,percent,0.6499999761581421
Finland,Historical,EV stock share,Cars,EV,2019,percent,1.2000000476837158
Finland,Historical,EV stock share,Cars,EV,2020,percent,2.299999952316284
Finland,Historical,EV stock share,Cars,EV,2021,percent,3.5999999046325684
France,Historical,EV stock share,Cars,EV,2010,percent,0.0009399999980814755
France,Historical,EV stock share,Cars,EV,2011,percent,0.00930000003427267
France,Historical,EV stock share,Cars,EV,2012,percent,0.028999999165534973
France,Historical,EV stock share,Cars,EV,2013,percent,0.05900000035762787
France,Historical,EV stock share,Cars,EV,2014,percent,0.09799999743700027
France,Historical,EV stock share,Cars,EV,2015,percent,0.17000000178813934
France,Historical,EV stock share,Cars,EV,2016,percent,0.25999999046325684
France,Historical,EV stock share,Cars,EV,2017,percent,0.3700000047683716
France,Historical,EV stock share,Cars,EV,2018,percent,0.5099999904632568
France,Historical,EV stock share,Cars,EV,2019,percent,0.5899999737739563
France,Historical,EV stock share,Cars,EV,2020,percent,1.2999999523162842
France,Historical,EV stock share,Cars,EV,2021,percent,2.200000047683716
Germany,Historical,EV stock share,Cars,EV,2010,percent,0.0005300000193528831
Germany,Historical,EV stock share,Cars,EV,2011,percent,0.004000000189989805
Germany,Historical,EV stock share,Cars,EV,2012,percent,0.010999999940395355
Germany,Historical,EV stock share,Cars,EV,2013,percent,0.027000000700354576
Germany,Historical,EV stock share,Cars,EV,2014,percent,0.054999999701976776
Germany,Historical,EV stock share,Cars,EV,2015,percent,0.10999999940395355
Germany,Historical,EV stock share,Cars,EV,2016,percent,0.1599999964237213
Germany,Historical,EV stock share,Cars,EV,2017,percent,0.23999999463558197
Germany,Historical,EV stock share,Cars,EV,2018,percent,0.38999998569488525
Germany,Historical,EV stock share,Cars,EV,2019,percent,0.5199999809265137
Germany,Historical,EV stock share,Cars,EV,2020,percent,1.399999976158142
Germany,Historical,EV stock share,Cars,EV,2021,percent,2.799999952316284
Greece,Historical,EV stock share,Cars,EV,2013,percent,0.00005900000178371556
Greece,Historical,EV stock share,Cars,EV,2014,percent,0.0008200000156648457
Greece,Historical,EV stock share,Cars,EV,2015,percent,0.002300000051036477
Greece,Historical,EV stock share,Cars,EV,2016,percent,0.004100000020116568
Greece,Historical,EV stock share,Cars,EV,2017,percent,0.007699999958276749
Greece,Historical,EV stock share,Cars,EV,2018,percent,0.014000000432133675
Greece,Historical,EV stock share,Cars,EV,2019,percent,0.02199999988079071
Greece,Historical,EV stock share,Cars,EV,2020,percent,0.06499999761581421
Greece,Historical,EV stock share,Cars,EV,2021,percent,0.20000000298023224
Iceland,Historical,EV stock share,Cars,EV,2010,percent,0.006800000090152025
Iceland,Historical,EV stock share,Cars,EV,2011,percent,0.006800000090152025
Iceland,Historical,EV stock share,Cars,EV,2012,percent,0.01899999938905239
Iceland,Historical,EV stock share,Cars,EV,2013,percent,0.06700000166893005
Iceland,Historical,EV stock share,Cars,EV,2014,percent,0.17000000178813934
Iceland,Historical,EV stock share,Cars,EV,2015,percent,0.4099999964237213
Iceland,Historical,EV stock share,Cars,EV,2016,percent,0.8600000143051147
Iceland,Historical,EV stock share,Cars,EV,2017,percent,2
Iceland,Historical,EV stock share,Cars,EV,2018,percent,3.299999952316284
Iceland,Historical,EV stock share,Cars,EV,2019,percent,4.400000095367432
Iceland,Historical,EV stock share,Cars,EV,2020,percent,6.400000095367432
Iceland,Historical,EV stock share,Cars,EV,2021,percent,9.899999618530273
India,Historical,EV stock share,Cars,EV,2010,percent,0.005200000014156103
India,Historical,EV stock share,Cars,EV,2011,percent,0.006899999920278788
India,Historical,EV stock share,Cars,EV,2012,percent,0.013000000268220901
India,Historical,EV stock share,Cars,EV,2013,percent,0.012000000104308128
India,Historical,EV stock share,Cars,EV,2014,percent,0.013000000268220901
India,Historical,EV stock share,Cars,EV,2015,percent,0.014999999664723873
India,Historical,EV stock share,Cars,EV,2016,percent,0.01600000075995922
India,Historical,EV stock share,Cars,EV,2017,percent,0.020999999716877937
India,Historical,EV stock share,Cars,EV,2018,percent,0.02199999988079071
India,Historical,EV stock share,Cars,EV,2019,percent,0.023000000044703484
India,Historical,EV stock share,Cars,EV,2020,percent,0.029999999329447746
India,Historical,EV stock share,Cars,EV,2021,percent,0.05900000035762787
Italy,Historical,EV stock share,Cars,EV,2010,percent,0.0017999999690800905
Italy,Historical,EV stock share,Cars,EV,2011,percent,0.0020000000949949026
Italy,Historical,EV stock share,Cars,EV,2012,percent,0.0032999999821186066
Italy,Historical,EV stock share,Cars,EV,2013,percent,0.005900000222027302
Italy,Historical,EV stock share,Cars,EV,2014,percent,0.009600000455975533
Italy,Historical,EV stock share,Cars,EV,2015,percent,0.014999999664723873
Italy,Historical,EV stock share,Cars,EV,2016,percent,0.023000000044703484
Italy,Historical,EV stock share,Cars,EV,2017,percent,0.03500000014901161
Italy,Historical,EV stock share,Cars,EV,2018,percent,0.05900000035762787
Italy,Historical,EV stock share,Cars,EV,2019,percent,0.10000000149011612
Italy,Historical,EV stock share,Cars,EV,2020,percent,0.25999999046325684
Italy,Historical,EV stock share,Cars,EV,2021,percent,0.6200000047683716
Japan,Historical,EV stock share,Cars,EV,2010,percent,0.005200000014156103
