region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV stock share,Vans,EV,2010,percent,0.009999999776482582
Belgium,Historical,EV stock share,Vans,EV,2011,percent,0.013000000268220901
Belgium,Historical,EV stock share,Vans,EV,2012,percent,0.05299999937415123
Belgium,Historical,EV stock share,Vans,EV,2013,percent,0.06700000166893005
Belgium,Historical,EV stock share,Vans,EV,2014,percent,0.07900000363588333
Belgium,Historical,EV stock share,Vans,EV,2015,percent,0.08399999886751175
Belgium,Historical,EV stock share,Vans,EV,2016,percent,0.09700000286102295
Belgium,Historical,EV stock share,Vans,EV,2017,percent,0.10999999940395355
Belgium,Historical,EV stock share,Vans,EV,2018,percent,0.12999999523162842
Belgium,Historical,EV stock share,Vans,EV,2019,percent,0.17000000178813934
Belgium,Historical,EV stock share,Vans,EV,2020,percent,0.2199999988079071
Belgium,Historical,EV stock share,Vans,EV,2021,percent,0.3100000023841858
Canada,Historical,EV stock share,Vans,EV,2015,percent,0.00016999999934341758
Canada,Historical,EV stock share,Vans,EV,2016,percent,0.00015999999595806003
Canada,Historical,EV stock share,Vans,EV,2017,percent,0.0001500000071246177
Canada,Historical,EV stock share,Vans,EV,2018,percent,0.0001500000071246177
Canada,Historical,EV stock share,Vans,EV,2019,percent,0.00014000000373926014
Canada,Historical,EV stock share,Vans,EV,2020,percent,0.08100000023841858
Canada,Historical,EV stock share,Vans,EV,2021,percent,0.2199999988079071
China,Historical,EV stock share,Vans,EV,2010,percent,0.004699999932199717
China,Historical,EV stock share,Vans,EV,2011,percent,0.007600000128149986
China,Historical,EV stock share,Vans,EV,2012,percent,0.012000000104308128
China,Historical,EV stock share,Vans,EV,2013,percent,0.017000000923871994
China,Historical,EV stock share,Vans,EV,2014,percent,0.02199999988079071
China,Historical,EV stock share,Vans,EV,2015,percent,0.12999999523162842
China,Historical,EV stock share,Vans,EV,2016,percent,0.4399999976158142
China,Historical,EV stock share,Vans,EV,2017,percent,0.9399999976158142
China,Historical,EV stock share,Vans,EV,2018,percent,1.5
China,Historical,EV stock share,Vans,EV,2019,percent,1.7000000476837158
China,Historical,EV stock share,Vans,EV,2020,percent,1.899999976158142
China,Historical,EV stock share,Vans,EV,2021,percent,2.5
Denmark,Historical,EV stock share,Vans,EV,2010,percent,0.00139999995008111
Denmark,Historical,EV stock share,Vans,EV,2011,percent,0.006800000090152025
Denmark,Historical,EV stock share,Vans,EV,2012,percent,0.054999999701976776
Denmark,Historical,EV stock share,Vans,EV,2013,percent,0.07999999821186066
Denmark,Historical,EV stock share,Vans,EV,2014,percent,0.09200000017881393
Denmark,Historical,EV stock share,Vans,EV,2015,percent,0.17000000178813934
Denmark,Historical,EV stock share,Vans,EV,2016,percent,0.20000000298023224
Denmark,Historical,EV stock share,Vans,EV,2017,percent,0.18000000715255737
