region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV stock,Buses,BEV,2010,stock,3
Belgium,Historical,EV stock,Buses,BEV,2011,stock,3
Belgium,Historical,EV stock,Buses,BEV,2012,stock,3
Belgium,Historical,EV stock,Buses,BEV,2013,stock,3
Belgium,Historical,EV stock,Buses,BEV,2014,stock,7
Belgium,Historical,EV stock,Buses,PHEV,2014,stock,32
Belgium,Historical,EV stock,Buses,PHEV,2015,stock,80
Belgium,Historical,EV stock,Buses,BEV,2015,stock,7
Belgium,Historical,EV stock,Buses,BEV,2016,stock,7
Belgium,Historical,EV stock,Buses,PHEV,2016,stock,110
Belgium,Historical,EV stock,Buses,PHEV,2017,stock,130
Belgium,Historical,EV stock,Buses,BEV,2017,stock,10
Belgium,Historical,EV stock,Buses,BEV,2018,stock,21
Belgium,Historical,EV stock,Buses,PHEV,2018,stock,140
Belgium,Historical,EV stock,Buses,PHEV,2019,stock,160
Belgium,Historical,EV stock,Buses,BEV,2019,stock,59
Belgium,Historical,EV stock,Buses,BEV,2020,stock,75
Belgium,Historical,EV stock,Buses,PHEV,2020,stock,160
Belgium,Historical,EV stock,Buses,PHEV,2021,stock,160
Belgium,Historical,EV stock,Buses,BEV,2021,stock,100
Canada,Historical,EV stock,Buses,BEV,2018,stock,19
Canada,Historical,EV stock,Buses,BEV,2019,stock,68
Canada,Historical,EV stock,Buses,BEV,2020,stock,270
Canada,Historical,EV stock,Buses,BEV,2021,stock,430
China,Historical,EV stock,Buses,BEV,2010,stock,1900
China,Historical,EV stock,Buses,BEV,2011,stock,4100
China,Historical,EV stock,Buses,PHEV,2011,stock,330
China,Historical,EV stock,Buses,PHEV,2012,stock,1400
China,Historical,EV stock,Buses,BEV,2012,stock,5900
China,Historical,EV stock,Buses,BEV,2013,stock,7600
China,Historical,EV stock,Buses,PHEV,2013,stock,4900
China,Historical,EV stock,Buses,PHEV,2014,stock,17000
China,Historical,EV stock,Buses,BEV,2014,stock,22000
China,Historical,EV stock,Buses,PHEV,2015,stock,43000
China,Historical,EV stock,Buses,BEV,2015,stock,98000
China,Historical,EV stock,Buses,BEV,2016,stock,190000
China,Historical,EV stock,Buses,PHEV,2016,stock,62000
China,Historical,EV stock,Buses,PHEV,2017,stock,62000
China,Historical,EV stock,Buses,BEV,2017,stock,280000
China,Historical,EV stock,Buses,BEV,2018,stock,360000
China,Historical,EV stock,Buses,PHEV,2018,stock,72000
China,Historical,EV stock,Buses,PHEV,2019,stock,77000
China,Historical,EV stock,Buses,BEV,2019,stock,430000
China,Historical,EV stock,Buses,BEV,2020,stock,490000
China,Historical,EV stock,Buses,PHEV,2020,stock,80000
China,Historical,EV stock,Buses,PHEV,2021,stock,82000
