region,category,parameter,mode,powertrain,year,unit,value
Belgium,Historical,EV stock,Trucks,BEV,2010,stock,2
Belgium,Historical,EV stock,Trucks,BEV,2011,stock,6
Belgium,Historical,EV stock,Trucks,BEV,2012,stock,7
Belgium,Historical,EV stock,Trucks,BEV,2013,stock,7
Belgium,Historical,EV stock,Trucks,BEV,2014,stock,11
Belgium,Historical,EV stock,Trucks,BEV,2015,stock,12
Belgium,Historical,EV stock,Trucks,BEV,2016,stock,13
Belgium,Historical,EV stock,Trucks,BEV,2017,stock,14
Belgium,Historical,EV stock,Trucks,BEV,2018,stock,17
Belgium,Historical,EV stock,Trucks,BEV,2019,stock,17
Belgium,Historical,EV stock,Trucks,BEV,2020,stock,19
Belgium,Historical,EV stock,Trucks,BEV,2021,stock,21
Canada,Historical,EV stock,Trucks,BEV,2020,stock,7
Canada,Historical,EV stock,Trucks,BEV,2021,stock,7
China,Historical,EV stock,Trucks,BEV,2012,stock,51
China,Historical,EV stock,Trucks,BEV,2013,stock,360
China,Historical,EV stock,Trucks,BEV,2014,stock,490
China,Historical,EV stock,Trucks,BEV,2015,stock,6300
China,Historical,EV stock,Trucks,BEV,2016,stock,11000
China,Historical,EV stock,Trucks,BEV,2017,stock,14000
China,Historical,EV stock,Trucks,BEV,2018,stock,16000
China,Historical,EV stock,Trucks,PHEV,2018,stock,3600
China,Historical,EV stock,Trucks,PHEV,2019,stock,6000
China,Historical,EV stock,Trucks,BEV,2019,stock,22000
China,Historical,EV stock,Trucks,BEV,2020,stock,27000
China,Historical,EV stock,Trucks,PHEV,2020,stock,6500
China,Historical,EV stock,Trucks,PHEV,2021,stock,7500
China,Historical,EV stock,Trucks,BEV,2021,stock,38000
Denmark,Historical,EV stock,Trucks,BEV,2010,stock,9
Denmark,Historical,EV stock,Trucks,BEV,2011,stock,10
Denmark,Historical,EV stock,Trucks,BEV,2012,stock,10
Denmark,Historical,EV stock,Trucks,BEV,2013,stock,11
Denmark,Historical,EV stock,Trucks,BEV,2014,stock,11
Denmark,Historical,EV stock,Trucks,BEV,2015,stock,11
Denmark,Historical,EV stock,Trucks,BEV,2016,stock,8
Denmark,Historical,EV stock,Trucks,BEV,2017,stock,8
Denmark,Historical,EV stock,Trucks,BEV,2018,stock,8
Denmark,Historical,EV stock,Trucks,BEV,2019,stock,13
Denmark,Historical,EV stock,Trucks,BEV,2020,stock,28
Denmark,Historical,EV stock,Trucks,BEV,2021,stock,56
Finland,Historical,EV stock,Trucks,BEV,2019,stock,2
Finland,Historical,EV stock,Trucks,BEV,2020,stock,7
Finland,Historical,EV stock,Trucks,BEV,2021,stock,9
France,Historical,EV stock,Trucks,BEV,2010,stock,90
France,Historical,EV stock,Trucks,BEV,2011,stock,100
France,Historical,EV stock,Trucks,BEV,2012,stock,110
France,Historical,EV stock,Trucks,BEV,2013,stock,110
France,Historical,EV stock,Trucks,BEV,2014,stock,120
France,Historical,EV stock,Trucks,BEV,2015,stock,110
France,Historical,EV stock,Trucks,BEV,2016,stock,100
France,Historical,EV stock,Trucks,BEV,2017,stock,100
France,Historical,EV stock,Trucks,PHEV,2017,stock,10
France,Historical,EV stock,Trucks,PHEV,2018,stock,20
