region,category,parameter,mode,powertrain,year,unit,value
China,Historical,Electricity demand,Buses,BEV,2015,GWh,1700
China,Historical,Electricity demand,Buses,PHEV,2015,GWh,1100
China,Historical,Electricity demand,Buses,BEV,2016,GWh,3300
China,Historical,Electricity demand,Buses,PHEV,2016,GWh,1500
China,Historical,Electricity demand,Buses,BEV,2017,GWh,4900
China,Historical,Electricity demand,Buses,PHEV,2017,GWh,1500
China,Historical,Electricity demand,Buses,BEV,2018,GWh,6300
China,Historical,Electricity demand,Buses,PHEV,2018,GWh,1800
China,Historical,Electricity demand,Buses,BEV,2019,GWh,7500
China,Historical,Electricity demand,Buses,PHEV,2019,GWh,1900
China,Historical,Electricity demand,Buses,BEV,2020,GWh,8500
China,Historical,Electricity demand,Buses,PHEV,2020,GWh,2000
China,Historical,Electricity demand,Buses,BEV,2021,GWh,10000
China,Historical,Electricity demand,Buses,PHEV,2021,GWh,2000
Europe,Historical,Electricity demand,Buses,BEV,2015,GWh,70
Europe,Historical,Electricity demand,Buses,PHEV,2015,GWh,17
Europe,Historical,Electricity demand,Buses,BEV,2016,GWh,120
Europe,Historical,Electricity demand,Buses,PHEV,2016,GWh,52
Europe,Historical,Electricity demand,Buses,BEV,2017,GWh,180
Europe,Historical,Electricity demand,Buses,PHEV,2017,GWh,73
Europe,Historical,Electricity demand,Buses,BEV,2018,GWh,260
Europe,Historical,Electricity demand,Buses,PHEV,2018,GWh,84
Europe,Historical,Electricity demand,Buses,BEV,2019,GWh,540
Europe,Historical,Electricity demand,Buses,PHEV,2019,GWh,100
Europe,Historical,Electricity demand,Buses,BEV,2020,GWh,760
Europe,Historical,Electricity demand,Buses,PHEV,2020,GWh,120
Europe,Historical,Electricity demand,Buses,BEV,2021,GWh,970
Europe,Historical,Electricity demand,Buses,PHEV,2021,GWh,120
Rest of the world,Historical,Electricity demand,Buses,BEV,2015,GWh,7.300000190734863
Rest of the world,Historical,Electricity demand,Buses,BEV,2016,GWh,9.100000381469727
Rest of the world,Historical,Electricity demand,Buses,BEV,2017,GWh,9.899999618530273
Rest of the world,Historical,Electricity demand,Buses,BEV,2018,GWh,25
Rest of the world,Historical,Electricity demand,Buses,BEV,2019,GWh,61
Rest of the world,Historical,Electricity demand,Buses,BEV,2020,GWh,130
Rest of the world,Historical,Electricity demand,Buses,PHEV,2020,GWh,0.11999999731779099
Rest of the world,Historical,Electricity demand,Buses,BEV,2021,GWh,170
Rest of the world,Historical,Electricity demand,Buses,PHEV,2021,GWh,0.1599999964237213
World,Historical,Electricity demand,Buses,BEV,2015,GWh,1800
World,Historical,Electricity demand,Buses,PHEV,2015,GWh,1100
World,Historical,Electricity demand,Buses,BEV,2016,GWh,3500
World,Historical,Electricity demand,Buses,PHEV,2016,GWh,1600
World,Historical,Electricity demand,Buses,BEV,2017,GWh,5100
World,Historical,Electricity demand,Buses,PHEV,2017,GWh,1600
World,Historical,Electricity demand,Buses,BEV,2018,GWh,6700
World,Historical,Electricity demand,Buses,PHEV,2018,GWh,1800
World,Historical,Electricity demand,Buses,BEV,2019,GWh,8300
World,Historical,Electricity demand,Buses,PHEV,2019,GWh,2000
World,Historical,Electricity demand,Buses,BEV,2020,GWh,9600
World,Historical,Electricity demand,Buses,PHEV,2020,GWh,2100
World,Historical,Electricity demand,Buses,BEV,2021,GWh,11000
World,Historical,Electricity demand,Buses,PHEV,2021,GWh,2100
