region,category,parameter,mode,powertrain,year,unit,value
China,Historical,Electricity demand,Cars,BEV,2015,GWh,420
China,Historical,Electricity demand,Cars,PHEV,2015,GWh,46
China,Historical,Electricity demand,Cars,BEV,2016,GWh,950
China,Historical,Electricity demand,Cars,PHEV,2016,GWh,87
China,Historical,Electricity demand,Cars,BEV,2017,GWh,1900
China,Historical,Electricity demand,Cars,PHEV,2017,GWh,150
China,Historical,Electricity demand,Cars,BEV,2018,GWh,3600
China,Historical,Electricity demand,Cars,PHEV,2018,GWh,280
China,Historical,Electricity demand,Cars,BEV,2019,GWh,5300
China,Historical,Electricity demand,Cars,PHEV,2019,GWh,400
China,Historical,Electricity demand,Cars,BEV,2020,GWh,7200
China,Historical,Electricity demand,Cars,PHEV,2020,GWh,520
China,Historical,Electricity demand,Cars,BEV,2021,GWh,13000
China,Historical,Electricity demand,Cars,PHEV,2021,GWh,840
Europe,Historical,Electricity demand,Cars,BEV,2015,GWh,500
Europe,Historical,Electricity demand,Cars,PHEV,2015,GWh,90
Europe,Historical,Electricity demand,Cars,BEV,2016,GWh,720
Europe,Historical,Electricity demand,Cars,PHEV,2016,GWh,160
Europe,Historical,Electricity demand,Cars,BEV,2017,GWh,1000
Europe,Historical,Electricity demand,Cars,PHEV,2017,GWh,240
Europe,Historical,Electricity demand,Cars,BEV,2018,GWh,1500
Europe,Historical,Electricity demand,Cars,PHEV,2018,GWh,330
Europe,Historical,Electricity demand,Cars,BEV,2019,GWh,2300
Europe,Historical,Electricity demand,Cars,PHEV,2019,GWh,430
Europe,Historical,Electricity demand,Cars,BEV,2020,GWh,4100
Europe,Historical,Electricity demand,Cars,PHEV,2020,GWh,760
Europe,Historical,Electricity demand,Cars,BEV,2021,GWh,6700
Europe,Historical,Electricity demand,Cars,PHEV,2021,GWh,1300
India,Historical,Electricity demand,Cars,BEV,2015,GWh,9.699999809265137
India,Historical,Electricity demand,Cars,BEV,2016,GWh,11
India,Historical,Electricity demand,Cars,BEV,2017,GWh,16
India,Historical,Electricity demand,Cars,BEV,2018,GWh,18
India,Historical,Electricity demand,Cars,BEV,2019,GWh,19
India,Historical,Electricity demand,Cars,PHEV,2019,GWh,0.004100000020116568
India,Historical,Electricity demand,Cars,BEV,2020,GWh,26
India,Historical,Electricity demand,Cars,PHEV,2020,GWh,0.028999999165534973
India,Historical,Electricity demand,Cars,BEV,2021,GWh,52
India,Historical,Electricity demand,Cars,PHEV,2021,GWh,0.05299999937415123
Rest of the world,Historical,Electricity demand,Cars,BEV,2015,GWh,230
Rest of the world,Historical,Electricity demand,Cars,PHEV,2015,GWh,39
Rest of the world,Historical,Electricity demand,Cars,BEV,2016,GWh,300
Rest of the world,Historical,Electricity demand,Cars,PHEV,2016,GWh,55
Rest of the world,Historical,Electricity demand,Cars,BEV,2017,GWh,430
Rest of the world,Historical,Electricity demand,Cars,PHEV,2017,GWh,92
Rest of the world,Historical,Electricity demand,Cars,BEV,2018,GWh,680
Rest of the world,Historical,Electricity demand,Cars,PHEV,2018,GWh,150
Rest of the world,Historical,Electricity demand,Cars,BEV,2019,GWh,1000
Rest of the world,Historical,Electricity demand,Cars,PHEV,2019,GWh,200
Rest of the world,Historical,Electricity demand,Cars,BEV,2020,GWh,1400
Rest of the world,Historical,Electricity demand,Cars,PHEV,2020,GWh,250
Rest of the world,Historical,Electricity demand,Cars,BEV,2021,GWh,2200
Rest of the world,Historical,Electricity demand,Cars,PHEV,2021,GWh,350
USA,Historical,Electricity demand,Cars,BEV,2015,GWh,1000
USA,Historical,Electricity demand,Cars,PHEV,2015,GWh,240
USA,Historical,Electricity demand,Cars,BEV,2016,GWh,1400
USA,Historical,Electricity demand,Cars,PHEV,2016,GWh,330
USA,Historical,Electricity demand,Cars,BEV,2017,GWh,1900
USA,Historical,Electricity demand,Cars,PHEV,2017,GWh,450
USA,Historical,Electricity demand,Cars,BEV,2018,GWh,3100
USA,Historical,Electricity demand,Cars,PHEV,2018,GWh,600
USA,Historical,Electricity demand,Cars,BEV,2019,GWh,4300
USA,Historical,Electricity demand,Cars,PHEV,2019,GWh,710
USA,Historical,Electricity demand,Cars,BEV,2020,GWh,5500
USA,Historical,Electricity demand,Cars,PHEV,2020,GWh,800
USA,Historical,Electricity demand,Cars,BEV,2021,GWh,6500
USA,Historical,Electricity demand,Cars,PHEV,2021,GWh,900
World,Historical,Electricity demand,Cars,BEV,2015,GWh,2200
World,Historical,Electricity demand,Cars,PHEV,2015,GWh,420
World,Historical,Electricity demand,Cars,BEV,2016,GWh,3400
World,Historical,Electricity demand,Cars,PHEV,2016,GWh,630
World,Historical,Electricity demand,Cars,BEV,2017,GWh,5300
World,Historical,Electricity demand,Cars,PHEV,2017,GWh,920
World,Historical,Electricity demand,Cars,BEV,2018,GWh,8900
World,Historical,Electricity demand,Cars,PHEV,2018,GWh,1400
World,Historical,Electricity demand,Cars,BEV,2019,GWh,13000
World,Historical,Electricity demand,Cars,PHEV,2019,GWh,1700
World,Historical,Electricity demand,Cars,BEV,2020,GWh,18000
World,Historical,Electricity demand,Cars,PHEV,2020,GWh,2300
World,Historical,Electricity demand,Cars,BEV,2021,GWh,28000
World,Historical,Electricity demand,Cars,PHEV,2021,GWh,3400
