region,category,parameter,mode,powertrain,year,unit,value
China,Historical,Electricity demand,Trucks,BEV,2015,GWh,110
China,Historical,Electricity demand,Trucks,BEV,2016,GWh,190
China,Historical,Electricity demand,Trucks,BEV,2017,GWh,250
China,Historical,Electricity demand,Trucks,BEV,2018,GWh,280
China,Historical,Electricity demand,Trucks,PHEV,2018,GWh,17
China,Historical,Electricity demand,Trucks,BEV,2019,GWh,390
China,Historical,Electricity demand,Trucks,PHEV,2019,GWh,28
China,Historical,Electricity demand,Trucks,BEV,2020,GWh,470
China,Historical,Electricity demand,Trucks,PHEV,2020,GWh,30
China,Historical,Electricity demand,Trucks,BEV,2021,GWh,670
China,Historical,Electricity demand,Trucks,PHEV,2021,GWh,35
Europe,Historical,Electricity demand,Trucks,BEV,2015,GWh,110
Europe,Historical,Electricity demand,Trucks,PHEV,2015,GWh,0.1899999976158142
Europe,Historical,Electricity demand,Trucks,BEV,2016,GWh,120
Europe,Historical,Electricity demand,Trucks,PHEV,2016,GWh,0.1899999976158142
Europe,Historical,Electricity demand,Trucks,BEV,2017,GWh,120
Europe,Historical,Electricity demand,Trucks,PHEV,2017,GWh,0.2800000011920929
Europe,Historical,Electricity demand,Trucks,BEV,2018,GWh,120
Europe,Historical,Electricity demand,Trucks,PHEV,2018,GWh,0.3700000047683716
Europe,Historical,Electricity demand,Trucks,BEV,2019,GWh,140
Europe,Historical,Electricity demand,Trucks,PHEV,2019,GWh,0.2800000011920929
Europe,Historical,Electricity demand,Trucks,BEV,2020,GWh,170
Europe,Historical,Electricity demand,Trucks,PHEV,2020,GWh,0.8600000143051147
Europe,Historical,Electricity demand,Trucks,BEV,2021,GWh,200
Europe,Historical,Electricity demand,Trucks,PHEV,2021,GWh,33
Rest of the world,Historical,Electricity demand,Trucks,BEV,2015,GWh,0.0729999989271164
Rest of the world,Historical,Electricity demand,Trucks,BEV,2016,GWh,0.04899999871850014
Rest of the world,Historical,Electricity demand,Trucks,BEV,2017,GWh,0.04899999871850014
Rest of the world,Historical,Electricity demand,Trucks,BEV,2018,GWh,0.23000000417232513
Rest of the world,Historical,Electricity demand,Trucks,BEV,2019,GWh,3.799999952316284
Rest of the world,Historical,Electricity demand,Trucks,BEV,2020,GWh,530
Rest of the world,Historical,Electricity demand,Trucks,BEV,2021,GWh,530
Rest of the world,Historical,Electricity demand,Trucks,PHEV,2021,GWh,0.07699999958276749
World,Historical,Electricity demand,Trucks,BEV,2015,GWh,220
World,Historical,Electricity demand,Trucks,PHEV,2015,GWh,0.1899999976158142
World,Historical,Electricity demand,Trucks,BEV,2016,GWh,310
World,Historical,Electricity demand,Trucks,PHEV,2016,GWh,0.1899999976158142
World,Historical,Electricity demand,Trucks,BEV,2017,GWh,370
World,Historical,Electricity demand,Trucks,PHEV,2017,GWh,0.2800000011920929
World,Historical,Electricity demand,Trucks,BEV,2018,GWh,420
World,Historical,Electricity demand,Trucks,PHEV,2018,GWh,17
World,Historical,Electricity demand,Trucks,BEV,2019,GWh,570
World,Historical,Electricity demand,Trucks,PHEV,2019,GWh,28
World,Historical,Electricity demand,Trucks,BEV,2020,GWh,1200
World,Historical,Electricity demand,Trucks,PHEV,2020,GWh,31
World,Historical,Electricity demand,Trucks,BEV,2021,GWh,1500
World,Historical,Electricity demand,Trucks,PHEV,2021,GWh,68
