region,category,parameter,mode,powertrain,year,unit,value
China,Historical,Oil displacement Mbd,Vans,EV,2010,Milion barrels per day,0.000018000000636675395
China,Historical,Oil displacement Mbd,Vans,EV,2011,Milion barrels per day,0.00003199999991920777
China,Historical,Oil displacement Mbd,Vans,EV,2012,Milion barrels per day,0.00005199999941396527
China,Historical,Oil displacement Mbd,Vans,EV,2013,Milion barrels per day,0.00007500000356230885
China,Historical,Oil displacement Mbd,Vans,EV,2014,Milion barrels per day,0.00009300000237999484
China,Historical,Oil displacement Mbd,Vans,EV,2015,Milion barrels per day,0.0005799999926239252
China,Historical,Oil displacement Mbd,Vans,EV,2016,Milion barrels per day,0.0013000000035390258
China,Historical,Oil displacement Mbd,Vans,EV,2017,Milion barrels per day,0.003000000026077032
China,Historical,Oil displacement Mbd,Vans,EV,2018,Milion barrels per day,0.004100000020116568
China,Historical,Oil displacement Mbd,Vans,EV,2019,Milion barrels per day,0.004100000020116568
China,Historical,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.00419999985024333
China,Historical,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.00559999980032444
Europe,Historical,Oil displacement Mbd,Vans,EV,2010,Milion barrels per day,0.000045000000682193786
Europe,Historical,Oil displacement Mbd,Vans,EV,2011,Milion barrels per day,0.00008299999899463728
Europe,Historical,Oil displacement Mbd,Vans,EV,2012,Milion barrels per day,0.0002099999983329326
Europe,Historical,Oil displacement Mbd,Vans,EV,2013,Milion barrels per day,0.00033000000985339284
Europe,Historical,Oil displacement Mbd,Vans,EV,2014,Milion barrels per day,0.0004900000058114529
Europe,Historical,Oil displacement Mbd,Vans,EV,2015,Milion barrels per day,0.0006600000197067857
Europe,Historical,Oil displacement Mbd,Vans,EV,2016,Milion barrels per day,0.0008399999933317304
Europe,Historical,Oil displacement Mbd,Vans,EV,2017,Milion barrels per day,0.0010999999940395355
Europe,Historical,Oil displacement Mbd,Vans,EV,2018,Milion barrels per day,0.0015999999595806003
Europe,Historical,Oil displacement Mbd,Vans,EV,2019,Milion barrels per day,0.002099999925121665
Europe,Historical,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.002400000113993883
Europe,Historical,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.0032999999821186066
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2011,Milion barrels per day,0.00002300000051036477
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2012,Milion barrels per day,0.00008900000102585182
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2013,Milion barrels per day,0.00014000000373926014
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2014,Milion barrels per day,0.00015999999595806003
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2015,Milion barrels per day,0.00018000000272877514
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2016,Milion barrels per day,0.00018000000272877514
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2017,Milion barrels per day,0.00018000000272877514
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2018,Milion barrels per day,0.00018000000272877514
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2019,Milion barrels per day,0.00019999999494757503
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.0003000000142492354
Rest of the world,Historical,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.0024999999441206455
World,Historical,Oil displacement Mbd,Vans,EV,2010,Milion barrels per day,0.00006299999949987978
World,Historical,Oil displacement Mbd,Vans,EV,2011,Milion barrels per day,0.00014000000373926014
World,Historical,Oil displacement Mbd,Vans,EV,2012,Milion barrels per day,0.0003600000054575503
World,Historical,Oil displacement Mbd,Vans,EV,2013,Milion barrels per day,0.0005699999746866524
World,Historical,Oil displacement Mbd,Vans,EV,2014,Milion barrels per day,0.0007699999841861427
World,Historical,Oil displacement Mbd,Vans,EV,2015,Milion barrels per day,0.001500000013038516
World,Historical,Oil displacement Mbd,Vans,EV,2016,Milion barrels per day,0.002400000113993883
World,Historical,Oil displacement Mbd,Vans,EV,2017,Milion barrels per day,0.004399999976158142
World,Historical,Oil displacement Mbd,Vans,EV,2018,Milion barrels per day,0.005900000222027302
World,Historical,Oil displacement Mbd,Vans,EV,2019,Milion barrels per day,0.006500000134110451
World,Historical,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.007000000216066837
World,Historical,Oil displacement Mbd,Vans,EV,2021,Milion barrels per day,0.012000000104308128
