Exports (Motorcycle) Year & Month / Engine Displacement Dec 1975-Dec 2021
Specific Makes
,50cc & under,Over 50cc,Over 50cc,Over 50cc,Over 50cc,Grand Total
,50cc & under,51-125cc,126-250cc,Over 250cc,Over 50cc Total,Grand Total
Dec 1975,31024,129580, 25427, 44396, 199403, 230427,
Dec 1976,39534,168144, 29214, 51724, 249082, 288616,
Dec 1977,52871,217207, 44073, 87705, 348985, 401856,
Dec 1978,44908,161968, 31381, 81043, 274392, 319300,
Dec 1979,49965,138799, 34601, 80575, 253975, 303940,
Dec 1980,42900,201542, 56428, 124044, 382014, 424914,
Dec 1981,30137,195141, 37607, 125501, 358249, 388386,
Dec 1982,23978,165325, 27879, 74939, 268143, 292121,
Dec 1983,28957,97890, 19858, 62381, 180129, 209086,
Dec 1984,24586,127369, 24457, 64537, 216363, 240949,
Dec 1985,24840,105336, 30075, 62697, 198108, 222948,
Dec 1986,19068,56684, 14666, 52922, 124272, 143340,
Dec 1987,18588,90317, 10788, 49973, 151078, 169666,
Dec 1988,22512,51310, 17010, 45830, 114150, 136662,
Dec 1989,12702,41516, 10475, 50569, 102560, 115262,
Dec 1990,10358,39812, 8327, 50402, 98541, 108899,
Dec 1991,10795,57182, 12330, 56465, 125977, 136772,
Dec 1992,14650,77833, 12767, 56820, 147420, 162070,
Dec 1993,6704,71695, 8933, 54532, 135160, 141864,
Dec 1994,6056,59991, 12042, 43839, 115872, 121928,
Dec 1995,4153,61939, 10887, 57869, 130695, 134848,
Dec 1996,3537,50385, 13880, 54865, 119130, 122667,
Dec 1997,8224,67454, 18128, 65866, 151448, 159672,
Dec 1998,6553,44791, 14938, 78694, 138423, 144976,
Dec 1999,4890,33121, 13628, 89045, 135794, 140684,
Dec 2000,4994,46287, 17214, 93575, 157076, 162070,
Dec 2001,3420,35692, 14575, 79830, 130097, 133517,
Dec 2002,8034,25563, 9668, 88811, 124042, 132076,
Dec 2003,11607,16142, 17623, 72051, 105816, 117423,
Dec 2004,10009,21129, 21496, 100550, 143175, 153184,
Dec 2005,4335,12213, 13869, 109776, 135858, 140193,
Dec 2006,6531,9609, 18090, 100828, 128527, 135058,
Dec 2007,2328,7301, 16748, 71420, 95469, 97797,
Dec 2008,2829,5895, 14134, 68150, 88179, 91008,
Dec 2009,274,3524, 9357, 24358, 37239, 37513,
Dec 2010,689,2950, 9249, 27794, 39993, 40682,
Dec 2011,2021,3312, 8361, 35689, 47362, 49383,
Dec 2012,723,1727, 5620, 30777, 38124, 38847,
Dec 2013,1100,2960, 5427, 38677, 47064, 48164,
Dec 2014,2339,2625, 6236, 36011, 44872, 47211,
Dec 2015,2100,2149, 5206, 37454, 44809, 46909,
Dec 2016,2333,1534, 5232, 38403, 45169, 47502,
Dec 2017,1679,2024, 4800, 36918, 43742, 45421,
Dec 2018,2078,1758, 3164, 36401, 41323, 43401,
Dec 2019,1204,2073, 3127, 37150, 42350, 43554,
Dec 2020,1838,2536, 4986, 28606, 36128, 37966,
Dec 2021,2184,3583, 4340, 29683, 37606, 39790,
