Exports (Motor Vehicle) Year & Month / Type Dec 1975-Dec 2021
Specific Makes
,Passenger Cars,Passenger Cars,Passenger Cars,Passenger Cars,Trucks,Trucks,Trucks,Trucks,Buses,Grand Total
,Standard,Small,Mini,Total,Standard,Small,Mini,Total,,Grand Total
Dec 1975, -, 213378, 543, 213921, 15021, 76469, 2233, 93723, 1582, 616870,
Dec 1976, -, 222235, 553, 222788, 19450, 84641, 6884, 110975, 2244, 669770,
Dec 1977, -, 303534, 882, 304416, 26230, 113597, 8285, 148112, 2032, 907088,
Dec 1978, -, 262848, 367, 263215, 24763, 78049, 5857, 108669, 3720, 747488,
Dec 1979, -, 318935, 1685, 320620, 28820, 121559, 4509, 154888, 5308, 956324,
Dec 1980, 28309, 293485, 2263, 324057, 33823, 153771, 6905, 194499, 8098, 1045210,
Dec 1981, 44071, 270607, 393, 315071, 29418, 128233, 5181, 162832, 4633, 960439,
Dec 1982, 36519, 280803, 60, 317382, 27385, 110119, 3355, 140859, 2821, 919303,
Dec 1983, 31572, 269144, 158, 300874, 31738, 136609, 717, 169064, 3813, 943689,
Dec 1984, 32752, 283790, 10, 316552, 76488, 113286, 1793, 191567, 7706, 1023944,
Dec 1985, 41052, 344618, 3, 385673, 112644, 74907, 1170, 188721, 2756, 1151544,
Dec 1986, 69133, 249567, 87, 318787, 101727, 51248, 145, 153120, 2429, 946243,
Dec 1987, 77786, 262572, -, 340358, 85307, 54337, 208, 139852, 3566, 963986,
Dec 1988, 74393, 290169, 69, 364631, 91917, 40169, -, 132086, 3361, 996795,
Dec 1989, 97737, 242111, -, 339848, 77447, 26105, -, 103552, 3837, 890637,
Dec 1990, 117883, 270926, -, 388809, 80930, 30679, 2, 111611, 4403, 1005243,
Dec 1991, 139880, 249684, -, 389564, 78474, 29771, 1, 108246, 6036, 1001656,
Dec 1992, 116379, 211258, 1247, 328884, 71386, 25623, -, 97009, 10878, 862664,
Dec 1993, 105306, 149963, 566, 255835, 53550, 18784, -, 72334, 3584, 659922,
Dec 1994, 104139, 171165, 451, 275755, 61125, 20053, 14, 81192, 5273, 719167,
Dec 1995, 94204, 148562, 606, 243372, 48466, 18474, 10, 66950, 4152, 624796,
Dec 1996, 105420, 143961, 643, 250024, 52706, 11658, 17, 64381, 3476, 632286,
Dec 1997, 135889, 167326, 422, 303637, 58949, 11717, 101, 70767, 4439, 753247,
Dec 1998, 165870, 146898, 7, 312775, 63235, 7227, 142, 70604, 4990, 771748,
Dec 1999, 185503, 128802, 100, 314405, 39273, 5773, 16, 45062, 3687, 722621,
Dec 2000, 199186, 117000, 1, 316187, 41349, 6499, 16, 47864, 3560, 731662,
Dec 2001, 192777, 85469, -, 278246, 40595, 4640, 1, 45236, 3389, 650353,
Dec 2002, 245937, 104559, 2, 350498, 44057, 6091, 17, 50165, 4388, 805714,
Dec 2003, 271881, 112246, 432, 384559, 50562, 8411, 1, 58974, 4635, 891701,
Dec 2004, 256921, 117650, 37, 374608, 48220, 9274, 7, 57501, 5402, 869620,
Dec 2005, 297659, 107613, 1, 405273, 36214, 6430, 5, 42649, 6922, 902766,
Dec 2006, 361731, 124608, 23, 486362, 48686, 7229, 6, 55921, 9302, 1093868,
Dec 2007, 436735, 127796, 219, 564750, 50864, 7543, 34, 58441, 12562, 1258944,
Dec 2008, 246548, 120170, 27, 366745, 37999, 5156, 3, 43158, 12174, 831980,
Dec 2009, 280169, 74926, 40, 355135, 32325, 3986, -, 36311, 9381, 792273,
Dec 2010, 327391, 84190, 1078, 412659, 38509, 4622, -, 43131, 11724, 923304,
Dec 2011, 328150, 72637, 649, 401436, 39913, 5107, 2, 45022, 11006, 903922,
Dec 2012, 300138, 43804, 103, 344045, 37599, 5753, -, 43352, 12252, 787046,
Dec 2013, 297428, 28265, 163, 325856, 33658, 8457, -, 42115, 11305, 747247,
Dec 2014, 310280, 14965, 177, 325422, 34885, 8510, -, 43395, 12296, 749930,
Dec 2015, 343287, 21192, 169, 364648, 28901, 6425, -, 35326, 11891, 811839,
Dec 2016, 356680, 25168, 109, 381957, 27514, 2866, -, 30380, 10482, 835156,
Dec 2017, 363637, 29733, 270, 393640, 29041, 659, -, 29700, 10050, 856730,
Dec 2018, 371032, 26528, 80, 397640, 26611, 1128, 4, 27743, 8966, 859732,
Dec 2019, 342105, 19691, 432, 362228, 24772, 885, -, 25657, 11377, 787147,
Dec 2020, 308380, 22346, 4041, 334767, 29026, 1152, -, 30178, 5706, 735596,
Dec 2021, 310997, 16678, 9987, 337662, 35566, 2051, -, 37617, 6646, 757204,
