Production (Motor Vehicle) Year & Month / Type Dec 1993-Dec 2021
, Passenger Cars, Passenger Cars, Passenger Cars, Passenger Cars, Trucks, Trucks, Trucks, Trucks, Buses, Grand Total
,Standard,Small,Mini,Total,Standard,Small,Mini,Total,, Grand Total
Dec 1993,209988,333388,59467,602843,69318,61838,52401,183557,2780,789180
Dec 1994,215863,355557,67051,638471,80506,70324,70363,221193,3729,863393
Dec 1995,203508,309188,75238,587934,58376,66016,56509,180901,4630,773465
Dec 1996,225627,345321,75964,646912,66884,67738,61003,195625,4099,846636
Dec 1997,247718,343175,68357,659250,72320,50403,59107,181830,4764,845844
Dec 1998,248447,289908,109483,647838,59637,33622,32540,125799,3985,777622
Dec 1999,255472,278136,106215,639823,47440,31559,48372,127371,4183,771377
Dec 2000,273325,286563,107500,667388,47056,38184,50221,135461,4279,807128
Dec 2001,256664,241044,112665,610373,46364,26871,42233,115468,4258,730099
Dec 2002,305278,290355,107556,703189,48720,27036,39130,114886,5967,824042
Dec 2003,317295,247096,109751,674142,63632,35367,39370,138369,5279,817790
Dec 2004,298770,261119,107391,667280,55847,30132,34093,120072,3703,791055
Dec 2005,359299,274246,115260,748805,51875,30455,47646,129976,5985,884766
Dec 2006,452694,235777,134085,822556,59942,29860,35193,124995,7489,955040
Dec 2007,511376,211927,112276,835579,61557,24383,37401,123341,10537,969457
Dec 2008,298971,199913,127310,626194,36376,16849,35798,89023,10608,725825
Dec 2009,374022,206509,106335,686866,39013,17343,36845,93201,7948,788015
Dec 2010,382533,162792,99626,644951,42267,18739,31731,92737,10176,747864
Dec 2011,412704,190783,120972,724459,49020,21484,42996,113500,10291,848250
Dec 2012,339963,133075,121694,594732,44718,21615,30098,96431,9778,700941
Dec 2013,363109,148168,156756,668033,46150,24638,37896,108684,10003,786720
Dec 2014,361407,129678,158152,649237,49334,23592,34351,107277,10538,767052
Dec 2015,399772,119410,121876,641058,41780,25666,30851,98297,10421,749776
Dec 2016,415857,143143,122032,681032,37972,22675,30723,91370,9082,781484
Dec 2017,430261,134393,124023,688677,42482,19980,37437,99899,9267,797843
Dec 2018,428513,130903,123010,682426,40594,22997,37741,101332,8513,792271
Dec 2019,397716,111172,113112,622000,38744,21473,33401,93618,9678,725296
Dec 2020,405215,119634,128028,652877,38843,19557,34848,93248,5504,751629
Dec 2021,380893,114215,107124,602232,45308,20306,35635,101249,6589,710070

