New Registrations-Sales (Motor Vehicle) Year & Month / Type Dec 1993-Dec 2021
, Passenger Cars, Passenger Cars, Passenger Cars, Passenger Cars, Trucks, Trucks, Trucks, Trucks, Buses, Buses, Buses, Grand Total
,Standard,Small,Mini,Total,Standard,Small,Mini,Total,Large,Small,Total, Grand Total
Dec 1993,52117,199332,61110,312559,7093,86260,60636,153989,291,619,910,467458
Dec 1994,63817,188580,63674,316071,12098,96804,64240,173142,389,662,1051,490264
Dec 1995,70745,191726,72707,335178,10997,108099,59140,178236,315,681,996,514410
Dec 1996,78348,226515,70155,375018,11765,114863,59736,186364,395,716,1111,562493
Dec 1997,83540,209508,67735,360783,8125,90157,55316,153598,258,562,820,515201
Dec 1998,59921,166478,103619,330018,5836,66871,40884,113591,265,475,740,444349
Dec 1999,65107,160216,98729,324052,5486,62676,48609,116771,244,668,912,441735
Dec 2000,63241,173581,97833,334655,5854,77642,43955,127451,200,655,855,462961
Dec 2001,57229,176030,102892,336151,5797,56782,42080,104659,310,733,1043,441853
Dec 2002,56903,188209,91906,337018,5751,49198,37062,92011,345,736,1081,430110
Dec 2003,109635,140552,102378,352565,17152,26863,37895,81910,270,900,1170,435645
Dec 2004,108443,154332,109219,371994,12805,26513,37207,76525,334,697,1031,449550
Dec 2005,94506,136755,94483,325744,16877,24531,39650,81058,426,739,1165,407967
Dec 2006,96932,117440,116533,330905,15583,23078,37066,75727,365,807,1172,407804
Dec 2007,102172,103376,99794,305342,12673,17047,31853,61573,273,601,874,367789
Dec 2008,73050,85735,93759,252544,10026,13861,29011,52898,328,549,877,306319
Dec 2009,112267,118049,91199,321515,6476,12916,30936,50328,275,491,766,372609
Dec 2010,77954,79489,82213,239656,8526,13017,25972,47515,186,494,680,287851
Dec 2011,103814,90538,95470,289822,10577,16170,31775,58522,303,558,861,349205
Dec 2012,93238,93122,97686,284046,12263,14998,26388,53649,352,456,808,338503
Dec 2013,117915,105264,136035,359214,13293,17186,32711,63190,315,491,806,423210
Dec 2014,101626,96782,161939,360347,15694,17028,38021,70743,315,514,829,431919
Dec 2015,111516,92811,103532,307859,14367,19274,26843,60484,444,672,1116,369459
Dec 2016,115881,111885,105058,332824,15908,19940,27538,63386,723,601,1324,397534
Dec 2017,124794,103569,101936,330299,14584,18466,29972,63022,364,568,932,394253
Dec 2018,121801,93351,104518,319670,15454,19054,32128,66636,511,708,1219,387525
Dec 2019,112741,82024,89513,284278,13594,17609,28411,59614,438,545,983,344875
Dec 2020,132125,78571,104504,315200,14718,17724,31639,64081,176,439,615,379896
Dec 2021,118123,73176,88842,280141,11161,15827,28818,55806,105,390,495,336442
