Year,Economy,Scenario,Transport Type,Vehicle Type,Drive,New_vehicle_efficiency
2018,01_AUS,Carbon Neutral,freight,ht,bev,0.292240603028103
2019,01_AUS,Carbon Neutral,freight,ht,bev,0.29311996291737
2020,01_AUS,Carbon Neutral,freight,ht,bev,0.294001968871209
2021,01_AUS,Carbon Neutral,freight,ht,bev,0.294443634353123
2022,01_AUS,Carbon Neutral,freight,ht,bev,0.294885963242548
2023,01_AUS,Carbon Neutral,freight,ht,bev,0.295328956668057
2024,01_AUS,Carbon Neutral,freight,ht,bev,0.295772615587858
2025,01_AUS,Carbon Neutral,freight,ht,bev,0.296216941050424
2026,01_AUS,Carbon Neutral,freight,ht,bev,0.296661933931813
2027,01_AUS,Carbon Neutral,freight,ht,bev,0.297107595286137
2028,01_AUS,Carbon Neutral,freight,ht,bev,0.29755392617115
2029,01_AUS,Carbon Neutral,freight,ht,bev,0.298000927559475
2030,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2031,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2032,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2033,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2034,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2035,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2036,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2037,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2038,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2039,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2040,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2041,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2042,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2043,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2044,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2045,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2046,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2047,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2048,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2049,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2050,01_AUS,Carbon Neutral,freight,ht,bev,0.298448600515434
2018,01_AUS,Carbon Neutral,freight,ht,cng,0.0788075461853771
