Economy,Year,Transport Type,Vehicle Type,Occupancy_or_load,Scenario
01_AUS,1990,freight,2w,0.05,Reference
01_AUS,1990,freight,ht,9.0,Reference
01_AUS,1990,freight,lt,0.4,Reference
01_AUS,1990,passenger,2w,1.5,Reference
01_AUS,1990,passenger,lt,1.15,Reference
01_AUS,1990,passenger,lv,1.6,Reference
01_AUS,1991,freight,2w,0.05,Reference
01_AUS,1991,freight,ht,9.0,Reference
01_AUS,1991,freight,lt,0.4,Reference
01_AUS,1991,passenger,2w,1.5,Reference
01_AUS,1991,passenger,bus,14.4338146164833,Reference
01_AUS,1991,passenger,lt,1.15,Reference
01_AUS,1991,passenger,lv,1.6,Reference
01_AUS,1992,freight,2w,0.05,Reference
01_AUS,1992,freight,ht,9.0,Reference
01_AUS,1992,freight,lt,0.4,Reference
01_AUS,1992,passenger,2w,1.5,Reference
01_AUS,1992,passenger,lt,1.15,Reference
01_AUS,1992,passenger,lv,1.6,Reference
01_AUS,1993,freight,2w,0.05,Reference
01_AUS,1993,freight,ht,9.0,Reference
01_AUS,1993,freight,lt,0.4,Reference
01_AUS,1993,passenger,2w,1.5,Reference
01_AUS,1993,passenger,bus,12.6819523500012,Reference
01_AUS,1993,passenger,lt,1.15,Reference
01_AUS,1993,passenger,lv,1.6,Reference
01_AUS,1994,freight,2w,0.05,Reference
01_AUS,1994,freight,ht,9.0,Reference
01_AUS,1994,freight,lt,0.4,Reference
01_AUS,1994,passenger,2w,1.5,Reference
01_AUS,1994,passenger,lt,1.15,Reference
01_AUS,1994,passenger,lv,1.6,Reference
01_AUS,1995,freight,2w,0.05,Reference
01_AUS,1995,freight,ht,9.0,Reference
01_AUS,1995,freight,lt,0.4,Reference
01_AUS,1995,passenger,2w,1.5,Reference
01_AUS,1995,passenger,bus,11.0501889360275,Reference
01_AUS,1995,passenger,lt,1.15,Reference
01_AUS,1995,passenger,lv,1.6,Reference
01_AUS,1996,freight,2w,0.05,Reference
01_AUS,1996,freight,ht,9.0,Reference
01_AUS,1996,freight,lt,0.4,Reference
01_AUS,1996,passenger,2w,1.5,Reference
01_AUS,1996,passenger,bus,10.127124220206,Reference
01_AUS,1996,passenger,lt,1.15,Reference
01_AUS,1996,passenger,lv,1.6,Reference
01_AUS,1997,freight,2w,0.05,Reference
01_AUS,1997,freight,ht,9.0,Reference
01_AUS,1997,freight,lt,0.4,Reference
01_AUS,1997,passenger,2w,1.5,Reference
01_AUS,1997,passenger,bus,9.62179733421791,Reference
01_AUS,1997,passenger,lt,1.15,Reference
01_AUS,1997,passenger,lv,1.6,Reference
01_AUS,1998,freight,2w,0.05,Reference
01_AUS,1998,freight,ht,9.0,Reference
01_AUS,1998,freight,lt,0.4,Reference
01_AUS,1998,passenger,2w,1.5,Reference
01_AUS,1998,passenger,bus,9.26886617373388,Reference
01_AUS,1998,passenger,lt,1.15,Reference
01_AUS,1998,passenger,lv,1.6,Reference
01_AUS,1999,freight,2w,0.05,Reference
01_AUS,1999,freight,ht,9.0,Reference
01_AUS,1999,freight,lt,0.4,Reference
01_AUS,1999,passenger,2w,1.5,Reference
01_AUS,1999,passenger,bus,9.049192764404,Reference
01_AUS,1999,passenger,lt,1.15,Reference
01_AUS,1999,passenger,lv,1.6,Reference
01_AUS,2000,freight,2w,0.05,Reference
01_AUS,2000,freight,ht,9.0,Reference
01_AUS,2000,freight,lt,0.4,Reference
01_AUS,2000,passenger,2w,1.5,Reference
01_AUS,2000,passenger,lt,1.15,Reference
01_AUS,2000,passenger,lv,1.6,Reference
01_AUS,2001,freight,2w,0.05,Reference
01_AUS,2001,freight,ht,9.0,Reference
01_AUS,2001,freight,lt,0.4,Reference
01_AUS,2001,passenger,2w,1.5,Reference
01_AUS,2001,passenger,bus,9.1501981567119,Reference
01_AUS,2001,passenger,lt,1.15,Reference
01_AUS,2001,passenger,lv,1.6,Reference
01_AUS,2002,freight,2w,0.05,Reference
01_AUS,2002,freight,ht,9.0,Reference
01_AUS,2002,freight,lt,0.4,Reference
01_AUS,2002,passenger,2w,1.5,Reference
01_AUS,2002,passenger,bus,8.85286707750849,Reference
01_AUS,2002,passenger,lt,1.15,Reference
01_AUS,2002,passenger,lv,1.6,Reference
01_AUS,2003,freight,2w,0.05,Reference
01_AUS,2003,freight,ht,9.0,Reference
01_AUS,2003,freight,lt,0.4,Reference
01_AUS,2003,passenger,2w,1.5,Reference
01_AUS,2003,passenger,bus,9.03412335218645,Reference
01_AUS,2003,passenger,lt,1.15,Reference
01_AUS,2003,passenger,lv,1.6,Reference
01_AUS,2004,freight,2w,0.05,Reference
01_AUS,2004,freight,ht,9.0,Reference
01_AUS,2004,freight,lt,0.4,Reference
01_AUS,2004,passenger,2w,1.5,Reference
01_AUS,2004,passenger,bus,8.91960279067225,Reference
01_AUS,2004,passenger,lt,1.15,Reference
01_AUS,2004,passenger,lv,1.6,Reference
01_AUS,2005,freight,2w,0.05,Reference
01_AUS,2005,freight,ht,9.0,Reference
01_AUS,2005,freight,lt,0.4,Reference
01_AUS,2005,passenger,2w,1.5,Reference
01_AUS,2005,passenger,bus,8.79869965657037,Reference
01_AUS,2005,passenger,lt,1.15,Reference
01_AUS,2005,passenger,lv,1.6,Reference
01_AUS,2006,freight,2w,0.05,Reference
01_AUS,2006,freight,ht,9.0,Reference
01_AUS,2006,freight,lt,0.4,Reference
01_AUS,2006,passenger,2w,1.5,Reference
01_AUS,2006,passenger,bus,8.68020701013932,Reference
01_AUS,2006,passenger,lt,1.15,Reference
01_AUS,2006,passenger,lv,1.6,Reference
01_AUS,2007,freight,2w,0.05,Reference
01_AUS,2007,freight,ht,9.0,Reference
01_AUS,2007,freight,lt,0.4,Reference
01_AUS,2007,passenger,2w,1.5,Reference
01_AUS,2007,passenger,bus,8.55677546724477,Reference
01_AUS,2007,passenger,lt,1.15,Reference
01_AUS,2007,passenger,lv,1.6,Reference
01_AUS,2008,freight,2w,0.05,Reference
01_AUS,2008,freight,ht,9.0,Reference
01_AUS,2008,freight,lt,0.4,Reference
01_AUS,2008,passenger,2w,1.5,Reference
01_AUS,2008,passenger,bus,8.39300510860109,Reference
01_AUS,2008,passenger,lt,1.15,Reference
01_AUS,2008,passenger,lv,1.6,Reference
01_AUS,2009,freight,2w,0.05,Reference
01_AUS,2009,freight,ht,9.0,Reference
01_AUS,2009,freight,lt,0.4,Reference
01_AUS,2009,passenger,2w,1.5,Reference
01_AUS,2009,passenger,bus,8.16381333310035,Reference
01_AUS,2009,passenger,lt,1.15,Reference
01_AUS,2009,passenger,lv,1.6,Reference
01_AUS,2010,freight,2w,0.05,Reference
01_AUS,2010,freight,ht,9.0,Reference
01_AUS,2010,freight,lt,0.4,Reference
01_AUS,2010,passenger,2w,1.5,Reference
01_AUS,2010,passenger,bus,8.10284105483354,Reference
01_AUS,2010,passenger,lt,1.15,Reference
01_AUS,2010,passenger,lv,1.6,Reference
01_AUS,2011,freight,2w,0.05,Reference
01_AUS,2011,freight,ht,9.0,Reference
01_AUS,2011,freight,lt,0.4,Reference
01_AUS,2011,passenger,2w,1.5,Reference
01_AUS,2011,passenger,bus,8.12137849305228,Reference
01_AUS,2011,passenger,lt,1.15,Reference
01_AUS,2011,passenger,lv,1.6,Reference
01_AUS,2012,freight,2w,0.05,Reference
01_AUS,2012,freight,ht,9.0,Reference
