Economy,Year,Transport Type,Vehicle Type,Turnover_rate,Scenario
01_AUS,2018,freight,ht,0.0699999999999999,Reference
01_AUS,2018,freight,lt,0.0699999999999999,Reference
01_AUS,2018,passenger,2w,0.11,Reference
01_AUS,2018,passenger,bus,0.05,Reference
01_AUS,2018,passenger,lt,0.0699999999999999,Reference
01_AUS,2018,passenger,lv,0.09,Reference
01_AUS,2019,freight,ht,0.0699999999999999,Reference
01_AUS,2019,freight,lt,0.0699999999999999,Reference
01_AUS,2019,passenger,2w,0.11,Reference
01_AUS,2019,passenger,bus,0.05,Reference
01_AUS,2019,passenger,lt,0.0699999999999999,Reference
01_AUS,2019,passenger,lv,0.09,Reference
01_AUS,2020,freight,ht,0.0699999999999999,Reference
01_AUS,2020,freight,lt,0.0699999999999999,Reference
01_AUS,2020,passenger,2w,0.11,Reference
01_AUS,2020,passenger,bus,0.05,Reference
01_AUS,2020,passenger,lt,0.0699999999999999,Reference
01_AUS,2020,passenger,lv,0.09,Reference
01_AUS,2021,freight,ht,0.0699999999999999,Reference
01_AUS,2021,freight,lt,0.0699999999999999,Reference
01_AUS,2021,passenger,2w,0.11,Reference
01_AUS,2021,passenger,bus,0.05,Reference
01_AUS,2021,passenger,lt,0.0699999999999999,Reference
01_AUS,2021,passenger,lv,0.09,Reference
01_AUS,2022,freight,ht,0.0699999999999999,Reference
01_AUS,2022,freight,lt,0.0699999999999999,Reference
01_AUS,2022,passenger,2w,0.11,Reference
01_AUS,2022,passenger,bus,0.05,Reference
01_AUS,2022,passenger,lt,0.0699999999999999,Reference
01_AUS,2022,passenger,lv,0.09,Reference
01_AUS,2023,freight,ht,0.0699999999999999,Reference
01_AUS,2023,freight,lt,0.0699999999999999,Reference
01_AUS,2023,passenger,2w,0.11,Reference
01_AUS,2023,passenger,bus,0.05,Reference
01_AUS,2023,passenger,lt,0.0699999999999999,Reference
01_AUS,2023,passenger,lv,0.09,Reference
01_AUS,2024,freight,ht,0.0699999999999999,Reference
01_AUS,2024,freight,lt,0.0699999999999999,Reference
01_AUS,2024,passenger,2w,0.11,Reference
01_AUS,2024,passenger,bus,0.05,Reference
01_AUS,2024,passenger,lt,0.0699999999999999,Reference
01_AUS,2024,passenger,lv,0.09,Reference
01_AUS,2025,freight,ht,0.0699999999999999,Reference
01_AUS,2025,freight,lt,0.0699999999999999,Reference
01_AUS,2025,passenger,2w,0.11,Reference
01_AUS,2025,passenger,bus,0.05,Reference
01_AUS,2025,passenger,lt,0.0699999999999999,Reference
01_AUS,2025,passenger,lv,0.09,Reference
01_AUS,2026,freight,ht,0.0699999999999999,Reference
01_AUS,2026,freight,lt,0.0699999999999999,Reference
01_AUS,2026,passenger,2w,0.11,Reference
01_AUS,2026,passenger,bus,0.05,Reference
01_AUS,2026,passenger,lt,0.0699999999999999,Reference
01_AUS,2026,passenger,lv,0.09,Reference
01_AUS,2027,freight,ht,0.0699999999999999,Reference
01_AUS,2027,freight,lt,0.0699999999999999,Reference
