Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Fuel_Type,Comments,Fuel
road,freight,ht,cng,2017-12-31,01_AUS,Yearly,Stocks,Stocks,34.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,01_AUS,Yearly,Stocks,Stocks,636547.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,01_AUS,Yearly,Stocks,Stocks,21920.0,8th edition transport model $ Reference,National,,,
road,freight,ht,lpg,2017-12-31,01_AUS,Yearly,Stocks,Stocks,2384.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,01_AUS,Yearly,Stocks,Stocks,156.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,01_AUS,Yearly,Stocks,Stocks,828807.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,cng,2017-12-31,01_AUS,Yearly,Stocks,Stocks,0.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,01_AUS,Yearly,Stocks,Stocks,25962.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,01_AUS,Yearly,Stocks,Stocks,69220.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,lpg,2017-12-31,01_AUS,Yearly,Stocks,Stocks,1398.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,02_BD,Yearly,Stocks,Stocks,14423.0,8th edition transport model $ Reference,National,,,
road,freight,ht,g,2017-12-31,02_BD,Yearly,Stocks,Stocks,547.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,bev,2017-12-31,02_BD,Yearly,Stocks,Stocks,231.0,8th edition transport model $ Reference,National,,,
road,passenger,2w,g,2017-12-31,02_BD,Yearly,Stocks,Stocks,741004.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,d,2017-12-31,02_BD,Yearly,Stocks,Stocks,2724.0,8th edition transport model $ Reference,National,,,
road,passenger,bus,g,2017-12-31,02_BD,Yearly,Stocks,Stocks,237.0,8th edition transport model $ Reference,National,,,
road,freight,ht,cng,2017-12-31,03_CDA,Yearly,Stocks,Stocks,2164.0,8th edition transport model $ Reference,National,,,
road,freight,ht,d,2017-12-31,03_CDA,Yearly,Stocks,Stocks,1400114.0,8th edition transport model $ Reference,National,,,
