Measure,Medium,Value,Unit,Economy,Sheet,Transport Type,Fuel_Type,Frequency,Date
passenger_km,rail,21328673501.622,passenger_km,01_AUS,TAS-PAT-001(1),passenger,,Yearly,2018-12-31
passenger_km,rail,994000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,1995-12-31
passenger_km,rail,1034000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,1996-12-31
passenger_km,rail,1094000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,1997-12-31
passenger_km,rail,1114000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,1998-12-31
passenger_km,rail,1155000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,1999-12-31
passenger_km,rail,1265000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2000-12-31
passenger_km,rail,1240000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2001-12-31
passenger_km,rail,1379000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2002-12-31
passenger_km,rail,1347000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2003-12-31
passenger_km,rail,1340000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2004-12-31
passenger_km,rail,1290000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2005-12-31
passenger_km,rail,1309037933.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2006-12-31
passenger_km,rail,1434438850.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2007-12-31
passenger_km,rail,1525964702.44,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2008-12-31
passenger_km,rail,1545866290.27,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2009-12-31
passenger_km,rail,1499936536.0460598,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2010-12-31
passenger_km,rail,,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2011-12-31
passenger_km,rail,,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2012-12-31
passenger_km,rail,4925000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2013-12-31
passenger_km,rail,5157000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2014-12-31
passenger_km,rail,,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2015-12-31
passenger_km,rail,,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2016-12-31
passenger_km,rail,,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2017-12-31
passenger_km,rail,1095000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2018-12-31
passenger_km,rail,1097000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2019-12-31
passenger_km,rail,604000000.0,passenger_km,01_AUS,TAS-PAT-001(2),passenger,,Yearly,2020-12-31
passenger_km,rail,10344505996.047,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,1995-12-31
passenger_km,rail,10696252435.836,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,1996-12-31
passenger_km,rail,10976875472.385,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,1997-12-31
passenger_km,rail,10950918994.143,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,1998-12-31
passenger_km,rail,11164803792.244,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,1999-12-31
passenger_km,rail,11552161964.256,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2000-12-31
passenger_km,rail,12149624986.664,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2001-12-31
passenger_km,rail,12005657184.87,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2002-12-31
passenger_km,rail,12021773106.727,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2003-12-31
passenger_km,rail,12087046535.813,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2004-12-31
passenger_km,rail,12062893352.373,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2005-12-31
passenger_km,rail,12590874021.192,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2006-12-31
passenger_km,rail,13212731578.192001,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2007-12-31
passenger_km,rail,14276384048.686,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2008-12-31
passenger_km,rail,15004141598.34,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2009-12-31
passenger_km,rail,14992791860.609999,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2010-12-31
passenger_km,rail,15275793628.0,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2011-12-31
passenger_km,rail,15568963881.337,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2012-12-31
passenger_km,rail,15543667841.316,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2013-12-31
passenger_km,rail,15571083308.421999,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2014-12-31
passenger_km,rail,16016860652.115,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2015-12-31
passenger_km,rail,16503758569.102,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2016-12-31
passenger_km,rail,17039193726.877,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2017-12-31
passenger_km,rail,17585947168.902,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2018-12-31
passenger_km,rail,,passenger_km,01_AUS,TAS-PAT-001(3),passenger,,Yearly,2019-12-31
passenger_km,rail,10030000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,1990-12-31
passenger_km,rail,10060000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,1991-12-31
passenger_km,rail,9960000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,1992-12-31
passenger_km,rail,9740000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,1993-12-31
passenger_km,rail,9960000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,1994-12-31
passenger_km,rail,10340000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,1995-12-31
passenger_km,rail,10700000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,1996-12-31
passenger_km,rail,10980000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,1997-12-31
passenger_km,rail,10950000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,1998-12-31
passenger_km,rail,11160000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,1999-12-31
passenger_km,rail,11550000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2000-12-31
passenger_km,rail,12150000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2001-12-31
passenger_km,rail,12010000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2002-12-31
passenger_km,rail,12020000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2003-12-31
passenger_km,rail,12090000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2004-12-31
passenger_km,rail,12060000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2005-12-31
passenger_km,rail,12590000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2006-12-31
passenger_km,rail,13210000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2007-12-31
passenger_km,rail,14280000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2008-12-31
passenger_km,rail,15000000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2009-12-31
passenger_km,rail,14990000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2010-12-31
passenger_km,rail,15280000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2011-12-31
passenger_km,rail,15570000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2012-12-31
passenger_km,rail,15540000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2013-12-31
passenger_km,rail,15570000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2014-12-31
passenger_km,rail,16020000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2015-12-31
passenger_km,rail,16500000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2016-12-31
passenger_km,rail,17040000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2017-12-31
passenger_km,rail,17590000000.0,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2018-12-31
passenger_km,rail,,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2019-12-31
passenger_km,rail,,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2020-12-31
passenger_km,rail,,passenger_km,01_AUS,TAS-PAT-001(4),passenger,,Yearly,2021-12-31
passenger_km,ship,,passenger_km,01_AUS,TAS-PAT-002,passenger,,Yearly,1990-12-31
passenger_km,ship,,passenger_km,01_AUS,TAS-PAT-002,passenger,,Yearly,1991-12-31
passenger_km,ship,,passenger_km,01_AUS,TAS-PAT-002,passenger,,Yearly,1992-12-31
passenger_km,ship,,passenger_km,01_AUS,TAS-PAT-002,passenger,,Yearly,1993-12-31
passenger_km,ship,,passenger_km,01_AUS,TAS-PAT-002,passenger,,Yearly,1994-12-31
passenger_km,ship,,passenger_km,01_AUS,TAS-PAT-002,passenger,,Yearly,1995-12-31
passenger_km,ship,,passenger_km,01_AUS,TAS-PAT-002,passenger,,Yearly,1996-12-31
passenger_km,ship,,passenger_km,01_AUS,TAS-PAT-002,passenger,,Yearly,1997-12-31
passenger_km,ship,,passenger_km,01_AUS,TAS-PAT-002,passenger,,Yearly,1998-12-31
passenger_km,ship,,passenger_km,01_AUS,TAS-PAT-002,passenger,,Yearly,1999-12-31
