Measure,Value,Unit,Economy,Source,Comments,Scope,Frequency,Date,Dataset
COVID Google Mobility Data - Grocery and pharmacy,0.02066666666666667,%,01_AUS,Google,,National,Monthly,2020-02-29,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.09838709677419354,%,01_AUS,Google,,National,Monthly,2020-03-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.125,%,01_AUS,Google,,National,Monthly,2020-04-30,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.01548387096774194,%,01_AUS,Google,,National,Monthly,2020-05-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.002333333333333334,%,01_AUS,Google,,National,Monthly,2020-06-30,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.01580645161290322,%,01_AUS,Google,,National,Monthly,2020-07-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.0703225806451613,%,01_AUS,Google,,National,Monthly,2020-08-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.05133333333333333,%,01_AUS,Google,,National,Monthly,2020-09-30,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.009677419354838712,%,01_AUS,Google,,National,Monthly,2020-10-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.021,%,01_AUS,Google,,National,Monthly,2020-11-30,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.06129032258064516,%,01_AUS,Google,,National,Monthly,2020-12-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.02935483870967742,%,01_AUS,Google,,National,Monthly,2021-01-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.01642857142857143,%,01_AUS,Google,,National,Monthly,2021-02-28,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.01806451612903226,%,01_AUS,Google,,National,Monthly,2021-03-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.015,%,01_AUS,Google,,National,Monthly,2021-04-30,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.06580645161290323,%,01_AUS,Google,,National,Monthly,2021-05-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.07066666666666667,%,01_AUS,Google,,National,Monthly,2021-06-30,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.04967741935483871,%,01_AUS,Google,,National,Monthly,2021-07-31,ATO
COVID Google Mobility Data - Grocery and pharmacy,0.02709677419354839,%,01_AUS,Google,,National,Monthly,2021-08-31,ATO
