economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,drive,vehicle_type,transport_type,value
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,bev,2w,passenger,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_d,2w,passenger,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_g,2w,passenger,3917
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,bev,bus,passenger,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_d,bus,passenger,2385.454914
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_g,bus,passenger,207.5450861
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,phev_d,bus,passenger,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,phev_g,bus,passenger,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,bev,car,passenger,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_d,car,passenger,7369.202574
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_g,car,passenger,233486.9974
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,phev_d,car,passenger,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,phev_g,car,passenger,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,bev,ht,freight,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_d,ht,freight,2881.078387
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_g,ht,freight,109.2664409
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,phev_d,ht,freight,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,phev_g,ht,freight,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,bev,lcv,freight,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_d,lcv,freight,3284.169049
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_g,lcv,freight,6378.382675
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,phev_d,lcv,freight,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,phev_g,lcv,freight,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,bev,lt,passenger,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_d,lt,passenger,488.0269446
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_g,lt,passenger,6202.423055
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,phev_d,lt,passenger,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,phev_g,lt,passenger,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,bev,mt,freight,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_d,mt,freight,1877.317415
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_g,mt,freight,103.7860337
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,phev_d,mt,freight,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,phev_g,mt,freight,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,bev,suv,passenger,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_d,suv,passenger,608.8041098
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,ice_g,suv,passenger,19462.54589
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,phev_d,suv,passenger,0
02_BD,2020,road,stocks,2019_ato_carried_to_2020_bd,stocks,all,no_comment,national,yearly,phev_g,suv,passenger,0
