Date,vehicle type,value,transport_type,economy,date,medium,measure,dataset,source,unit,fuel,comment,scope,frequency
1952,bus,1623,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
1981,bus,18790,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
1991,bus,20120,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2001,bus,24053,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2011,bus,29991,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2013,bus,31960,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2014,bus,32928,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2015,bus,33890,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2016,bus,34531,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2017,bus,34188,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2018,bus,33877,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2019,bus,33288,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2020,bus,32521,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2021,bus,31936,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2022,bus,31244,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
1952,ht,3699,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
1981,ht,66564,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
1991,ht,121161,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2001,ht,155140,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2011,ht,164221,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2013,ht,162122,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2014,ht,163446,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2015,ht,165695,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2016,ht,166943,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2017,ht,167088,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2018,ht,164661,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2019,ht,165680,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2020,ht,167307,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2021,ht,170833,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2022,ht,173097,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
1952,car,2579,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
1981,car,506291,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
1991,car,2541364,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2001,car,4825581,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2011,car,5960088,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2013,car,6236879,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2014,car,6405778,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2015,car,6573746,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2016,car,6666006,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2017,car,6763422,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2018,car,6845711,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2019,car,6919256,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2020,car,6984750,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2021,car,7104034,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2022,car,7210327,passenger,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
1952,lcv,325,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
1981,lcv,211304,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
1991,lcv,495167,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2001,lcv,675533,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2011,lcv,848732,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
2013,lcv,875544,freight,18_CT,2020,road,stocks,CT_National_stats,,stocks,all,no_comment,national,yearly
