Economy,Fuel_Type,Date,Value
01_AUS,1.2 Other bituminous coal,1980-12-31,46.724688
01_AUS,1.3 Sub-bituminous coal,1980-12-31,24.367176
01_AUS,1.5 Lignite,1980-12-31,3.0144960000000003
01_AUS,2.1 Coke oven coke,1980-12-31,21.9807
01_AUS,2.3 Coke oven gas,1980-12-31,28.930788000000003
01_AUS,2.4 Blast furnace gas,1980-12-31,31.359132
01_AUS,2.8 BKB/PB,1980-12-31,10.215792
01_AUS,6.2 Natural gas liquids,1980-12-31,0.041868
01_AUS,7.03 Naphtha,1980-12-31,0.334944
01_AUS,7.06 Kerosene,1980-12-31,0.669888
01_AUS,7.07 Gas/diesel oil,1980-12-31,71.301204
01_AUS,7.08 Fuel oil,1980-12-31,144.905148
01_AUS,7.09 LPG,1980-12-31,5.610312
01_AUS,7.1 Refinery gas (not liquefied),1980-12-31,2.470212
01_AUS,8.1 Natural gas,1980-12-31,143.314164
01_AUS,8.3 Gas works gas,1980-12-31,4.731084
01_AUS,17 Electricity,1980-12-31,117.062928
01_AUS,19 Total,1980-12-31,736.24878
01_AUS,20 Total Renewables,1980-12-31,79.423596
01_AUS,21 Modern renewables,1980-12-31,95.80532564966292
02_BD,7.07 Gas/diesel oil,1980-12-31,1.297908
02_BD,17 Electricity,1980-12-31,0.342000000056088
02_BD,19 Total,1980-12-31,1.639908000056088
03_CDA,1.2 Other bituminous coal,1980-12-31,43.165908
03_CDA,1.3 Sub-bituminous coal,1980-12-31,0.041868
03_CDA,1.5 Lignite,1980-12-31,3.600648
03_CDA,2.1 Coke oven coke,1980-12-31,38.644164
03_CDA,2.3 Coke oven gas,1980-12-31,44.421948
03_CDA,2.4 Blast furnace gas,1980-12-31,41.574924
03_CDA,7.06 Kerosene,1980-12-31,4.019328
03_CDA,7.07 Gas/diesel oil,1980-12-31,169.942212
03_CDA,7.08 Fuel oil,1980-12-31,294.37390800000003
03_CDA,7.09 LPG,1980-12-31,11.890512
03_CDA,7.16 Petroleum coke,1980-12-31,4.940424
03_CDA,8.1 Natural gas,1980-12-31,678.47094
03_CDA,15.5 Other biomass,1980-12-31,230.608944
03_CDA,17 Electricity,1980-12-31,488.39022000000006
03_CDA,18 Heat,1980-12-31,42.035472000000006
03_CDA,19 Total,1980-12-31,2096.3307600000003
03_CDA,20 Total Renewables,1980-12-31,230.608944
03_CDA,21 Modern renewables,1980-12-31,560.9073657086461
04_CHL,1.2 Other bituminous coal,1980-12-31,11.93238
04_CHL,2.1 Coke oven coke,1980-12-31,2.470212
04_CHL,2.3 Coke oven gas,1980-12-31,0.7536240000000001
04_CHL,2.4 Blast furnace gas,1980-12-31,3.391308
04_CHL,7.03 Naphtha,1980-12-31,0.20934
04_CHL,7.06 Kerosene,1980-12-31,2.177136
04_CHL,7.07 Gas/diesel oil,1980-12-31,11.72304
04_CHL,7.08 Fuel oil,1980-12-31,36.760104000000005
04_CHL,7.09 LPG,1980-12-31,1.339776
04_CHL,7.1 Refinery gas (not liquefied),1980-12-31,0.041868
04_CHL,8.1 Natural gas,1980-12-31,0.334944
04_CHL,15.5 Other biomass,1980-12-31,22.106304
04_CHL,17 Electricity,1980-12-31,23.111136
04_CHL,19 Total,1980-12-31,116.39304
04_CHL,20 Total Renewables,1980-12-31,22.106304
04_CHL,21 Modern renewables,1980-12-31,37.79300476895583
05_PRC,1.2 Other bituminous coal,1980-12-31,4736.568708000001
05_PRC,2.1 Coke oven coke,1980-12-31,239.48496
05_PRC,2.3 Coke oven gas,1980-12-31,168.14188800000005
05_PRC,6.1 Crude oil,1980-12-31,135.14990400000002
05_PRC,7.01 Motor gasoline,1980-12-31,117.816552
05_PRC,7.06 Kerosene,1980-12-31,6.782616
05_PRC,7.07 Gas/diesel oil,1980-12-31,164.457504
05_PRC,7.08 Fuel oil,1980-12-31,620.316288
05_PRC,7.09 LPG,1980-12-31,38.267352
05_PRC,7.17 Other products,1980-12-31,429.021396
05_PRC,8.1 Natural gas,1980-12-31,499.00000000000847
05_PRC,15.5 Other biomass,1980-12-31,77.24646
05_PRC,17 Electricity,1980-12-31,849.0976745578565
05_PRC,19 Total,1980-12-31,8081.351302557864
05_PRC,20 Total Renewables,1980-12-31,77.24646
