Economy,Medium,Fuel_Type,Date,Value,Transport Type,Frequency,Unit,Source,Dataset,Measure,Vehicle Type,Drive
01_AUS,rail,01_x_thermal_coal,1980-12-31,0.167472,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,rail,01_coal,1980-12-31,0.167472,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,air,07_02_aviation_gasoline,1980-12-31,3.55878,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,air,07_x_jet_fuel,1980-12-31,38.979108,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,air,07_petroleum_products,1980-12-31,42.537888,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,road,07_01_motor_gasoline,1980-12-31,486.799236,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,road,07_07_gas_diesel_oil,1980-12-31,94.286736,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,road,07_09_lpg,1980-12-31,3.684384,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,road,07_petroleum_products,1980-12-31,584.770356,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,rail,07_07_gas_diesel_oil,1980-12-31,26.209368,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,rail,07_petroleum_products,1980-12-31,26.209368,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,ship,07_07_gas_diesel_oil,1980-12-31,15.867972000000002,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,ship,07_08_fuel_oil,1980-12-31,31.694076000000003,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,ship,07_petroleum_products,1980-12-31,47.562048,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,rail,17_electricity,1980-12-31,3.2238360000000004,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,air,19_total,1980-12-31,42.537888,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,road,19_total,1980-12-31,584.770356,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,rail,19_total,1980-12-31,29.558808000000003,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,ship,19_total,1980-12-31,47.562048,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
01_AUS,rail,21_modern_renewables,1980-12-31,0.4511420540143226,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
02_BD,road,07_01_motor_gasoline,1980-12-31,3.0563640000000003,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
02_BD,road,07_07_gas_diesel_oil,1980-12-31,2.9726280000000003,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
02_BD,road,07_petroleum_products,1980-12-31,6.028992000000001,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
02_BD,road,19_total,1980-12-31,6.028992000000001,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,air,07_02_aviation_gasoline,1980-12-31,7.578108,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,air,07_x_jet_fuel,1980-12-31,139.92285600000002,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,air,07_petroleum_products,1980-12-31,147.500964,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,road,07_01_motor_gasoline,1980-12-31,1266.883812,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,road,07_07_gas_diesel_oil,1980-12-31,196.319052,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,road,07_09_lpg,1980-12-31,0.293076,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,road,07_petroleum_products,1980-12-31,1463.49594,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,rail,07_07_gas_diesel_oil,1980-12-31,89.26257600000001,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,rail,07_petroleum_products,1980-12-31,89.26257600000001,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,ship,07_07_gas_diesel_oil,1980-12-31,36.383292,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,ship,07_08_fuel_oil,1980-12-31,41.23998,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,ship,07_petroleum_products,1980-12-31,77.623272,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,pipeline,07_07_gas_diesel_oil,1980-12-31,1.088568,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,pipeline,07_petroleum_products,1980-12-31,1.088568,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,pipeline,08_01_natural_gas,1980-12-31,68.412312,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,pipeline,08_gas,1980-12-31,68.412312,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,pipeline,17_electricity,1980-12-31,6.280200000000001,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,nonspecified,17_electricity,1980-12-31,1.925928,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,air,19_total,1980-12-31,147.542832,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,road,19_total,1980-12-31,1463.49594,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,rail,19_total,1980-12-31,89.26257600000001,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,ship,19_total,1980-12-31,77.623272,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,pipeline,19_total,1980-12-31,75.82294800000001,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,nonspecified,19_total,1980-12-31,1.925928,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,pipeline,21_modern_renewables,1980-12-31,4.247300750646971,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
03_CDA,nonspecified,21_modern_renewables,1980-12-31,1.3025055635317375,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
04_CHL,rail,01_x_thermal_coal,1980-12-31,2.0934,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
04_CHL,rail,01_coal,1980-12-31,2.0934,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
04_CHL,ship,01_x_thermal_coal,1980-12-31,0.083736,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
04_CHL,ship,01_coal,1980-12-31,0.083736,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
04_CHL,road,07_01_motor_gasoline,1980-12-31,48.399408,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
04_CHL,road,07_07_gas_diesel_oil,1980-12-31,31.066056000000003,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
04_CHL,road,07_petroleum_products,1980-12-31,79.46546400000001,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
04_CHL,rail,07_07_gas_diesel_oil,1980-12-31,0.711756,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
04_CHL,rail,07_petroleum_products,1980-12-31,0.711756,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
04_CHL,ship,07_07_gas_diesel_oil,1980-12-31,4.563612,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
04_CHL,ship,07_petroleum_products,1980-12-31,4.563612,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
04_CHL,rail,17_electricity,1980-12-31,0.460548,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
04_CHL,nonspecified,17_electricity,1980-12-31,0.251208,,Yearly,PJ,9th_cleansed,EGEDA,Energy,,
