source,measure,vehicle type,drive,year,unit,Economy,value
Historical,Energy,bus,bev,2015,PJ,05_PRC,6.174064599609375
Historical,Energy,bus,bev,2016,PJ,05_PRC,11.8290111328125
Historical,Energy,bus,bev,2017,PJ,05_PRC,17.478910546875
Historical,Energy,bus,bev,2018,PJ,05_PRC,22.852705078125
Historical,Energy,bus,bev,2019,PJ,05_PRC,27.0429029296875
Historical,Energy,bus,bev,2020,PJ,05_PRC,30.631074609375
Historical,Energy,bus,bev,2021,PJ,05_PRC,35.94261796875
Historical,Energy,bus,phev,2015,PJ,05_PRC,3.833923974609375
Historical,Energy,bus,phev,2016,PJ,05_PRC,5.4790013671875
Historical,Energy,bus,phev,2017,PJ,05_PRC,5.521549658203125
Historical,Energy,bus,phev,2018,PJ,05_PRC,6.333270117187499
Historical,Energy,bus,phev,2019,PJ,05_PRC,6.80049931640625
Historical,Energy,bus,phev,2020,PJ,05_PRC,7.11691962890625
Historical,Energy,bus,phev,2021,PJ,05_PRC,7.26901611328125
Historical,Energy,ht,bev,2015,PJ,05_PRC,0.39552245178222656
Historical,Energy,ht,bev,2016,PJ,05_PRC,0.67777646484375
Historical,Energy,ht,bev,2017,PJ,05_PRC,0.9163295288085936
Historical,Energy,ht,bev,2018,PJ,05_PRC,1.0184671142578126
Historical,Energy,ht,bev,2019,PJ,05_PRC,1.39495341796875
Historical,Energy,ht,bev,2020,PJ,05_PRC,1.6823366455078126
Historical,Energy,ht,bev,2021,PJ,05_PRC,2.4221724609375
Historical,Energy,ht,phev,2018,PJ,05_PRC,0.060421728515624995
Historical,Energy,ht,phev,2019,PJ,05_PRC,0.10130616760253906
Historical,Energy,ht,phev,2020,PJ,05_PRC,0.10840952911376953
Historical,Energy,ht,phev,2021,PJ,05_PRC,0.1254922668457031
Historical,Energy,ldv,bev,2015,PJ,05_PRC,1.6835611541748046
Historical,Energy,ldv,bev,2015,PJ,20_USA,3.65184931640625
Historical,Energy,ldv,bev,2016,PJ,05_PRC,3.9948265502929687
Historical,Energy,ldv,bev,2016,PJ,20_USA,5.157728613281249
Historical,Energy,ldv,bev,2017,PJ,05_PRC,8.174554321289062
Historical,Energy,ldv,bev,2017,PJ,20_USA,6.9718987792968745
Historical,Energy,ldv,bev,2018,PJ,05_PRC,15.106865405273437
Historical,Energy,ldv,bev,2018,PJ,20_USA,11.1184962890625
Historical,Energy,ldv,bev,2019,PJ,05_PRC,21.72815178222656
Historical,Energy,ldv,bev,2019,PJ,20_USA,15.318727734374999
Historical,Energy,ldv,bev,2020,PJ,05_PRC,29.157373168945313
Historical,Energy,ldv,bev,2020,PJ,20_USA,19.77003984375
Historical,Energy,ldv,bev,2021,PJ,05_PRC,50.28146059570312
Historical,Energy,ldv,bev,2021,PJ,20_USA,23.32444921875
Historical,Energy,ldv,phev,2015,PJ,05_PRC,0.16393786039352418
