Economy,Year,Value,Measure,Unit,Source,Vehicle Type,Transport Type,Drive,Medium
01_AUS,2005,3.5910000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2005,3.4542000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2005,2.9070000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2005,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2005,2.9411999999999997e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2005,2.6334000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2005,2.7702000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2005,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2005,3.1122e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2005,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2005,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2005,3.1464000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2005,3.7962e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2006,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2006,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2006,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2006,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2006,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2006,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2006,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2006,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2006,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2006,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2006,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2006,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2006,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2007,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2007,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2007,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2007,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2007,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2007,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2007,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2007,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2007,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2007,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2007,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2007,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2007,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2008,3.3516000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2008,3.3516000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2008,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2008,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2008,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2008,2.394e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2008,2.6675999999999998e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2008,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2008,3.2148000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2008,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2008,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2008,3.0780000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2008,3.4884e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2009,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2009,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2009,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2009,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2009,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2009,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2009,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2009,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2009,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2009,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2009,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2009,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2009,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2010,3.249e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2010,3.249e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2010,3.0438e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2010,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2010,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2010,2.394e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2010,2.4966000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2010,2.7018e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2010,3.249e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2010,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2010,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2010,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2010,3.249e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2011,3.1806000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2011,3.2148000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2011,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2011,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2011,3.0438e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2011,2.3256000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2011,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2011,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2011,3.2148000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2011,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2011,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2011,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2011,3.2148000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2012,3.0780000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2012,3.1122e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2012,2.9070000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2012,2.9411999999999997e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2012,2.9070000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2012,2.1888e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2012,2.1546e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2012,2.6675999999999998e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2012,2.9754e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2012,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2012,3.1122e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2012,2.7702000000000002e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2012,3.1122e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2013,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2013,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2013,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2013,2.9070000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
07_INA,2013,2.8386000000000005e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
08_JPN,2013,2.0862e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
09_ROK,2013,2.1546e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
10_MAS,2013,2.6334000000000004e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
11_MEX,2013,,Efficiency,PJ per km,GFEI,ldv,combined,all,road
14_PE,2013,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
15_RP,2013,3.1122e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
19_THA,2013,2.7018e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
20_USA,2013,3.0780000000000003e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
01_AUS,2014,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
03_CDA,2014,3.0096e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
04_CHL,2014,2.736e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
05_PRC,2014,2.8044e-09,Efficiency,PJ per km,GFEI,ldv,combined,all,road
