Vehicle Type,Drive,Value,date,transport_type,economy,medium,measure,dataset,source,unit,fuel,comment,scope,frequency
2w,lpg,0.0,2017,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,lpg,177.0,2017,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lpv,lpg,173435.0,2017,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,lpg,12104.0,2017,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,lpg,8449.0,2017,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,ice_g,10955960.0,2017,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,ice_g,18321.0,2017,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lpv,ice_g,60348883.0,2017,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,ice_g,0.0,2017,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,ice_g,10827199.0,2017,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,ice_d,0.0,2017,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,ice_d,215044.0,2017,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lpv,ice_d,1062588.0,2017,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,ice_d,2691760.0,2017,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,ice_d,2409646.0,2017,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
2w,lpg,0.0,2018,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
bus,lpg,168.0,2018,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lpv,lpg,159274.0,2018,passenger,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
ht,lpg,10553.0,2018,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
lcv,lpg,7749.0,2018,freight,08_JPN,road,stocks,9th_model_first_iteration,,stocks,all,no_comment,national,yearly
