economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,drive,vehicle_type,transport_type,value
11_MEX,1980,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,3950042.0
11_MEX,1981,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,4341363.0
11_MEX,1982,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,4616897.0
11_MEX,1983,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,4726236.0
11_MEX,1984,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,4970526.0
11_MEX,1985,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,5281842.0
11_MEX,1986,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,5202922.0
11_MEX,1987,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,5336228.0
11_MEX,1988,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,5597735.0
11_MEX,1989,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,6003532.0
11_MEX,1990,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,6555550.0
11_MEX,1991,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,6950708.0
11_MEX,1992,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,7399178.0
11_MEX,1993,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,7715951.0
11_MEX,1994,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,7217732.0
11_MEX,1995,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,7469504.0
11_MEX,1996,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,7830864.0
11_MEX,1997,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,8402995.0
11_MEX,1998,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,9086209.0
11_MEX,1999,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,9582796.0
11_MEX,2000,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,10176179.0
11_MEX,2001,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,11351982.0
11_MEX,2002,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,12254910.0
11_MEX,2003,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,12742049.0
11_MEX,2004,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,13388011.0
11_MEX,2005,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,14300380.0
11_MEX,2006,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,16411813.0
11_MEX,2007,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,17696623.0
11_MEX,2008,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,19420942.0
11_MEX,2009,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,20519224.0
11_MEX,2010,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,21152773.0
11_MEX,2011,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,22374326.0
11_MEX,2012,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,23569623.0
11_MEX,2013,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,24819922.0
11_MEX,2014,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,25543908.0
11_MEX,2015,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,26907994.0
11_MEX,2016,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,28664295.0
11_MEX,2017,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,30958042.0
11_MEX,2018,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,32290067.0
11_MEX,2019,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,33603591.0
11_MEX,2020,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,34425695.0
11_MEX,2021,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,35455026.0
11_MEX,2022,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,36496879.0
11_MEX,1980,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,60388.0
11_MEX,1981,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,64973.0
11_MEX,1982,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,69233.0
11_MEX,1983,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,71326.0
11_MEX,1984,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,76517.0
11_MEX,1985,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,79028.0
11_MEX,1986,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,83373.0
11_MEX,1987,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,84364.0
11_MEX,1988,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,85229.0
11_MEX,1989,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,90150.0
11_MEX,1990,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,93275.0
11_MEX,1991,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,96910.0
11_MEX,1992,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,95179.0
11_MEX,1993,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,85941.0
11_MEX,1994,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,114577.0
11_MEX,1995,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,120497.0
11_MEX,1996,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,96933.0
11_MEX,1997,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,125445.0
11_MEX,1998,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,176443.0
11_MEX,1999,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,200357.0
11_MEX,2000,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,202396.0
11_MEX,2001,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,273536.0
11_MEX,2002,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,299365.0
11_MEX,2003,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,308101.0
11_MEX,2004,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,264585.0
11_MEX,2005,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,268817.0
11_MEX,2006,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,310189.0
11_MEX,2007,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,322078.0
11_MEX,2008,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,333287.0
11_MEX,2009,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,337465.0
11_MEX,2010,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,312738.0
11_MEX,2011,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,327565.0
11_MEX,2012,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,338520.0
11_MEX,2013,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,347144.0
11_MEX,2014,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,347720.0
11_MEX,2015,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,357452.0
11_MEX,2016,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,367772.0
11_MEX,2017,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,401120.0
11_MEX,2018,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,443579.0
11_MEX,2019,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,453606.0
11_MEX,2020,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,461089.0
11_MEX,2021,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,452766.0
11_MEX,2022,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,468586.0
11_MEX,1980,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,1470816.0
11_MEX,1981,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,1636899.0
11_MEX,1982,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,1751799.0
11_MEX,1983,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,1893206.0
11_MEX,1984,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,2009875.0
11_MEX,1985,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,2114395.0
11_MEX,1986,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,2213025.0
11_MEX,1987,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,2292078.0
11_MEX,1988,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,2424025.0
11_MEX,1989,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,2691551.0
11_MEX,1990,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,2964736.0
11_MEX,1991,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,3293414.0
11_MEX,1992,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,3492416.0
11_MEX,1993,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,3592977.0
11_MEX,1994,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,3613808.0
11_MEX,1995,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,3598685.0
11_MEX,1996,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,3645672.0
11_MEX,1997,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,3878581.0
11_MEX,1998,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,4078068.0
11_MEX,1999,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,4340112.0
11_MEX,2000,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,4939417.0
11_MEX,2001,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,5394206.0
11_MEX,2002,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,5860797.0
11_MEX,2003,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,6317293.0
11_MEX,2004,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,6707535.0
11_MEX,2005,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,6980738.0
11_MEX,2006,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,7462918.0
11_MEX,2007,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,7849491.0
11_MEX,2008,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,8453601.0
11_MEX,2009,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,8835194.0
11_MEX,2010,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,9015356.0
11_MEX,2011,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,9260456.0
11_MEX,2012,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,9385466.0
11_MEX,2013,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,9704131.0
11_MEX,2014,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,9863980.0
11_MEX,2015,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,10073288.0
11_MEX,2016,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,10384621.0
11_MEX,2017,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,10895817.0
11_MEX,2018,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,10970128.0
11_MEX,2019,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,11022869.0
11_MEX,2020,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,11044684.0
11_MEX,2021,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,11258873.0
11_MEX,2022,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,freight,,11395481.0
11_MEX,1980,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,277084.0
11_MEX,1981,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,296601.0
11_MEX,1982,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,257235.0
11_MEX,1983,Road,Stocks,mexico_vehicle_stocks,Stocks,All,,All,Annual,All,passenger,,250484.0
