Unit,Date,Value,Economy,Measure,Frequency,Dataset,Source
PPP,1980-12-31,0.92,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1980-12-31,162.821,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1980-12-31,155.389,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1981-12-31,0.925,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1981-12-31,188.29,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1981-12-31,177.109,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1982-12-31,0.976,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1982-12-31,186.93,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1982-12-31,188.171,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1983-12-31,1.021,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1983-12-31,179.364,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1983-12-31,194.614,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1984-12-31,1.045,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1984-12-31,197.011,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1984-12-31,214.434,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1985-12-31,1.066,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1985-12-31,174.274,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1985-12-31,233.284,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1986-12-31,1.109,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1986-12-31,181.362,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1986-12-31,243.807,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1987-12-31,1.16,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1987-12-31,212.964,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1987-12-31,262.061,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1988-12-31,1.222,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1988-12-31,270.916,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1988-12-31,282.841,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1989-12-31,1.264,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1989-12-31,308.103,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1989-12-31,307.554,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1990-12-31,1.28,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1990-12-31,323.815,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1990-12-31,323.819,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1991-12-31,1.256,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1991-12-31,324.231,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1991-12-31,331.433,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1992-12-31,1.244,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1992-12-31,317.903,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1992-12-31,347.676,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1993-12-31,1.228,01_AUS,PPP,Yearly,IMF,PPP
GDP_billions_USD_current,1993-12-31,309.156,01_AUS,GDP_current,Yearly,IMF,GDP_billions_USD_current
GDP_billions_international_dollars_PPP,1993-12-31,369.924,01_AUS,GDP_PPP,Yearly,IMF,GDP_billions_international_dollars_PPP
PPP,1994-12-31,1.218,01_AUS,PPP,Yearly,IMF,PPP
