Date,Value,Vehicle_Type,Measure,Drive,Transport_Type,Frequency,Medium,Dataset,Unit,Fuel,Economy,Scope
2000,2147975.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2001,2214053.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2002,2292713.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2003,2395498.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2004,2491253.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2005,2578925.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2006,2631955.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2007,2679659.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2008,2693252.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2009,2685088.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2010,2705627.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2011,2698664.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2012,2736834.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2013,2795032.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2014,2884408.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2015,2979282.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2016,3091090.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2017,3201430.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2018,3277461.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2019,3339423.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2020,3365366.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2021,3423437.0,LPV,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2000,347351.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2001,349962.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2002,355617.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2003,364320.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2004,376136.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2005,388631.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2006,398122.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2007,409469.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2008,415915.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2009,415284.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2010,417347.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2011,419535.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2012,429564.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2013,449101.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2014,475418.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2015,503897.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2016,540334.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2017,582270.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2018,622637.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2019,658582.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2020,683568.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2021,713922.0,LCV,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2000,95761.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2001,97995.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2002,101821.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2003,106991.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2004,113883.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2005,119956.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2006,124478.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2007,128918.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2008,131317.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2009,130423.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2010,129065.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2011,127823.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2012,127820.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2013,129751.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2014,133265.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2015,136740.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2016,140050.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2017,144663.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2018,149168.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2019,153271.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2020,156490.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2021,161004.0,HT,Stocks,All,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2000,4465.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2001,4758.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2002,5164.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2003,5543.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2004,5978.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2005,6319.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2006,6580.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2007,7046.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2008,7523.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2009,7892.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2010,8033.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2011,8141.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2012,8267.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2013,8522.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2014,8745.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2015,8973.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2016,9588.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2017,10103.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2018,10885.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2019,11156.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2020,11214.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2021,11412.0,Bus,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2000,78547.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2001,79104.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2002,80634.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2003,83493.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2004,88332.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2005,97263.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2006,107906.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2007,119644.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2008,133532.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2009,138340.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2010,140192.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2011,140767.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2012,143507.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2013,147589.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2014,152838.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2015,158639.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2016,164134.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2017,170001.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2018,175744.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2019,181337.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2020,187747.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2021,195581.0,2W,Stocks,All,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2001,2154699.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2002,2228556.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2003,2320698.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2004,2412592.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2005,2498120.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2006,2552566.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2007,2600850.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2008,2615742.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2009,2592358.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2010,2612514.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2011,2628723.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2012,2632410.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2013,2683542.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2014,2769490.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2015,2866706.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2016,2964201.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2017,3083028.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2018,3160972.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2019,3212743.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2020,3214787.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2021,3258672.0,LPV,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2001,158503.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2002,173888.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2003,194376.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2004,210964.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2005,226898.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2006,234387.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2007,239403.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2008,240790.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2009,238723.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2010,238448.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2011,239679.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2012,242787.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2013,249831.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2014,256765.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2015,264402.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2016,275133.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2017,287605.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2018,297348.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2019,304529.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2020,306641.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2021,313043.0,LPV,Stocks,ICE_D,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2001,197592.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2002,194486.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2003,191083.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2004,188344.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2005,185422.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2006,181358.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2007,177403.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2008,173237.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2009,166920.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2010,162833.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2011,159733.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2012,156025.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2013,154971.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2014,155938.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2015,156852.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2016,159182.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2017,161827.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2018,162409.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2019,162422.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2020,160999.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2021,159116.0,LCV,Stocks,ICE_G,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2001,164285.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2002,176695.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2003,191106.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2004,207813.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2005,225118.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2006,240400.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2007,256466.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2008,268752.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2009,273319.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2010,280875.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2011,290005.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2012,300806.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2013,319867.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2014,344455.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2015,372376.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2016,405086.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2017,445816.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2018,486940.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2019,523367.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2020,547363.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2021,582455.0,LCV,Stocks,ICE_D,Freight,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2001,54.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2002,53.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2003,55.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2004,56.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2005,57.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2006,57.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2007,58.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2008,59.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2009,67.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2010,74.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2011,87.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2012,112.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2013,138.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2014,250.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2015,512.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2016,1585.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2017,4457.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2018,8789.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2019,14118.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2020,18048.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2021,27565.0,LPV,Stocks,BEV,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2001,76284.0,2W,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2002,79384.0,2W,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2003,83972.0,2W,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2004,90096.0,2W,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2005,100637.0,2W,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2006,113311.0,2W,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2007,126223.0,2W,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2008,140863.0,2W,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2009,147274.0,2W,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2010,150408.0,2W,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
2011,152652.0,2W,Stocks,ICE_G,Passenger,Annual,Road,nz_fleet_stats,Stocks,All,12_NZ,National
