economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,drive,value
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,2w,passenger,bev,602.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,2w,passenger,cng,2.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,2w,passenger,ice_d,60.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,2w,passenger,ice_g,8472404.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,2w,passenger,lpg,0.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,2w,passenger,other,0.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,bus,passenger,bev,44.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,bus,passenger,cng,0.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,bus,passenger,ice_d,32173.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,bus,passenger,ice_g,295.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,bus,passenger,lpg,2.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,bus,passenger,phev_g,0.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,car,passenger,bev,87.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,car,passenger,cng,2.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,car,passenger,ice_d,27531.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,car,passenger,ice_g,1282377.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,car,passenger,lpg,2.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,car,passenger,phev_g,5.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,ht,freight,bev,0.0
15_PHL,2021,road,stocks,ph_govt_data_stocks,number,all,Same as 2022 data,national,annual,ht,freight,cng,27.0
