economy,date,medium,measure,dataset,unit,fuel,comment,scope,frequency,vehicle_type,transport_type,value,drive
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,982.0,bev
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,1761.0,bev
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,682.0,bev
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,9453.0,bev
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,41545.0,bev
15_PHL,2023,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,161.0,bev
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,1330.0,bev
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,2384.0,bev
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,922.0,bev
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,12805.0,bev
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,56273.0,bev
15_PHL,2024,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,218.0,bev
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,1598.0,bev
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,2865.0,bev
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1108.0,bev
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,15388.0,bev
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,67627.0,bev
15_PHL,2025,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,261.0,bev
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,1899.0,bev
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,3404.0,bev
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1316.0,bev
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,18284.0,bev
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,80354.0,bev
15_PHL,2026,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,310.0,bev
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2096.0,bev
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,3759.0,bev
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1454.0,bev
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,20187.0,bev
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,88717.0,bev
15_PHL,2027,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,343.0,bev
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2134.0,bev
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,3827.0,bev
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1480.0,bev
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,20555.0,bev
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,90331.0,bev
15_PHL,2028,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,349.0,bev
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,2045.0,bev
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,3668.0,bev
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1418.0,bev
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,19703.0,bev
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,86589.0,bev
15_PHL,2029,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,334.0,bev
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,1932.0,bev
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,lcv,freight,3464.0,bev
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,suv,passenger,1339.0,bev
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,18606.0,bev
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,2w,passenger,101340.0,bev
15_PHL,2030,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,bus,passenger,316.0,bev
15_PHL,2031,road,stocks,ph_govt_data_stocks,number,all,no_comment,national,annual,car,passenger,11067.0,bev
