Measure,fuel,value,measure,vehicle_type,transport_type,vehicle_sub_type,drive,unit,medium,scope,date,economy
Transit Buses by Fuel Type,Diesel,52068.702000000005,stocks,bus,passenger,transit,ice,stocks,road,national,2007-12-31,20_USA
Transit Buses by Fuel Type,Diesel,46687.212,stocks,bus,passenger,transit,ice,stocks,road,national,2008-12-31,20_USA
Transit Buses by Fuel Type,Diesel,44669.248,stocks,bus,passenger,transit,ice,stocks,road,national,2009-12-31,20_USA
Transit Buses by Fuel Type,Diesel,43585.262,stocks,bus,passenger,transit,ice,stocks,road,national,2010-12-31,20_USA
Transit Buses by Fuel Type,Diesel,43926.125,stocks,bus,passenger,transit,ice,stocks,road,national,2011-12-31,20_USA
Transit Buses by Fuel Type,Diesel,42778.9765,stocks,bus,passenger,transit,ice,stocks,road,national,  2012**-12-31,20_USA
Transit Buses by Fuel Type,Diesel,40051.257,stocks,bus,passenger,transit,ice,stocks,road,national,2013-12-31,20_USA
Transit Buses by Fuel Type,Diesel,42467.67599999999,stocks,bus,passenger,transit,ice,stocks,road,national,2014-12-31,20_USA
Transit Buses by Fuel Type,Diesel,39139.93299999999,stocks,bus,passenger,transit,ice,stocks,road,national,2015-12-31,20_USA
Transit Buses by Fuel Type,Diesel,36091.2172,stocks,bus,passenger,transit,ice,stocks,road,national,2016-12-31,20_USA
Transit Buses by Fuel Type,Diesel,32717.939,stocks,bus,passenger,transit,ice,stocks,road,national,2017-12-31,20_USA
Transit Buses by Fuel Type,Diesel,32670.64318,stocks,bus,passenger,transit,ice,stocks,road,national,2018-12-31,20_USA
Transit Buses by Fuel Type,Diesel,29988.680038239996,stocks,bus,passenger,transit,ice,stocks,road,national,2019-12-31,20_USA
Transit Buses by Fuel Type,Gasoline,391.494,stocks,bus,passenger,transit,ice,stocks,road,national,2007-12-31,20_USA
Transit Buses by Fuel Type,Gasoline,332.53000000000003,stocks,bus,passenger,transit,ice,stocks,road,national,2008-12-31,20_USA
Transit Buses by Fuel Type,Gasoline,453.824,stocks,bus,passenger,transit,ice,stocks,road,national,2009-12-31,20_USA
Transit Buses by Fuel Type,Gasoline,463.673,stocks,bus,passenger,transit,ice,stocks,road,national,2010-12-31,20_USA
Transit Buses by Fuel Type,Gasoline,553.4,stocks,bus,passenger,transit,ice,stocks,road,national,2011-12-31,20_USA
Transit Buses by Fuel Type,Gasoline,666.7764999999999,stocks,bus,passenger,transit,ice,stocks,road,national,  2012**-12-31,20_USA
Transit Buses by Fuel Type,Gasoline,711.39,stocks,bus,passenger,transit,ice,stocks,road,national,2013-12-31,20_USA
Transit Buses by Fuel Type,Gasoline,650.13,stocks,bus,passenger,transit,ice,stocks,road,national,2014-12-31,20_USA
Transit Buses by Fuel Type,Gasoline,773.449,stocks,bus,passenger,transit,ice,stocks,road,national,2015-12-31,20_USA
Transit Buses by Fuel Type,Gasoline,1130.544,stocks,bus,passenger,transit,ice,stocks,road,national,2016-12-31,20_USA
Transit Buses by Fuel Type,Gasoline,1382.965,stocks,bus,passenger,transit,ice,stocks,road,national,2017-12-31,20_USA
Transit Buses by Fuel Type,Gasoline,1177.6191,stocks,bus,passenger,transit,ice,stocks,road,national,2018-12-31,20_USA
Transit Buses by Fuel Type,Gasoline,1165.8278722999999,stocks,bus,passenger,transit,ice,stocks,road,national,2019-12-31,20_USA
Transit Buses by Fuel Type,Natural Gas,10178.844,stocks,bus,passenger,transit,cng,stocks,road,national,2007-12-31,20_USA
Transit Buses by Fuel Type,Natural Gas,12303.61,stocks,bus,passenger,transit,cng,stocks,road,national,2008-12-31,20_USA
Transit Buses by Fuel Type,Natural Gas,11864.256,stocks,bus,passenger,transit,cng,stocks,road,national,2009-12-31,20_USA
Transit Buses by Fuel Type,Natural Gas,12320.454,stocks,bus,passenger,transit,cng,stocks,road,national,2010-12-31,20_USA
Transit Buses by Fuel Type,Natural Gas,12866.55,stocks,bus,passenger,transit,cng,stocks,road,national,2011-12-31,20_USA
Transit Buses by Fuel Type,Natural Gas,13546.091,stocks,bus,passenger,transit,cng,stocks,road,national,  2012**-12-31,20_USA
Transit Buses by Fuel Type,Natural Gas,11951.352,stocks,bus,passenger,transit,cng,stocks,road,national,2013-12-31,20_USA
Transit Buses by Fuel Type,Natural Gas,11031.138,stocks,bus,passenger,transit,cng,stocks,road,national,2014-12-31,20_USA
Transit Buses by Fuel Type,Natural Gas,15391.271499999999,stocks,bus,passenger,transit,cng,stocks,road,national,2015-12-31,20_USA
Transit Buses by Fuel Type,Natural Gas,18218.552000000003,stocks,bus,passenger,transit,cng,stocks,road,national,2016-12-31,20_USA
Transit Buses by Fuel Type,Natural Gas,20799.729,stocks,bus,passenger,transit,cng,stocks,road,national,2017-12-31,20_USA
Transit Buses by Fuel Type,Natural Gas,19150.6784,stocks,bus,passenger,transit,cng,stocks,road,national,2018-12-31,20_USA
Transit Buses by Fuel Type,Natural Gas,21486.387044623196,stocks,bus,passenger,transit,cng,stocks,road,national,2019-12-31,20_USA
Transit Buses by Fuel Type,Hybrid,1500.7269999999999,stocks,bus,passenger,transit,phev,stocks,road,national,2007-12-31,20_USA
Transit Buses by Fuel Type,Hybrid,2527.228,stocks,bus,passenger,transit,phev,stocks,road,national,2008-12-31,20_USA
Transit Buses by Fuel Type,Hybrid,3176.768,stocks,bus,passenger,transit,phev,stocks,road,national,2009-12-31,20_USA
Transit Buses by Fuel Type,Hybrid,4636.7300000000005,stocks,bus,passenger,transit,phev,stocks,road,national,2010-12-31,20_USA
Transit Buses by Fuel Type,Hybrid,6087.4,stocks,bus,passenger,transit,phev,stocks,road,national,2011-12-31,20_USA
Transit Buses by Fuel Type,Hybrid,7720.57,stocks,bus,passenger,transit,phev,stocks,road,national,  2012**-12-31,20_USA
Transit Buses by Fuel Type,Hybrid,12733.881,stocks,bus,passenger,transit,phev,stocks,road,national,2013-12-31,20_USA
Transit Buses by Fuel Type,Hybrid,11691.804,stocks,bus,passenger,transit,phev,stocks,road,national,2014-12-31,20_USA
Transit Buses by Fuel Type,Hybrid,11414.858,stocks,bus,passenger,transit,phev,stocks,road,national,2015-12-31,20_USA
