transport_type,vehicle_type,drive,unit,medium,scope,date,economy,measure,value
freight,ht,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,55973976.89234425
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,59388834.899039
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,52559118.8856495
freight,lcv,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,94010838.46236908
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,99746247.7054314
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,88275429.21930678
freight,mt,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,67168772.2708131
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,71266601.8788468
freight,mt,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,63070942.662779406
passenger,2w,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,632474315.1677316
passenger,2w,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,671060281.3450733
passenger,2w,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,593888348.99039
passenger,bus,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,79296467.26415436
passenger,bus,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,84134182.77363858
passenger,bus,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,74458751.75467014
passenger,car,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,347860873.3422524
passenger,car,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,369083154.7397903
passenger,car,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,326638591.9447144
passenger,lt,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,251552284.44171146
passenger,lt,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,266898975.53497234
passenger,lt,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,236205593.34845054
passenger,ridesource,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,366547614.4722081
passenger,ridesource,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,388909935.7795312
passenger,ridesource,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,344185293.16488504
passenger,suv,ice,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,347860873.3422524
passenger,suv,ice_d,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,369083154.7397903
passenger,suv,ice_g,Km_per_PJ,road,national,2019-12-31,20_USA,Efficiency,326638591.9447144
