transport_type,vehicle_type,drive,unit,medium,scope,date,measure,value,economy,frequency
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,01_AUS,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,02_BD,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,03_CDA,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,04_CHL,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,05_PRC,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,06_HKC,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,07_INA,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,08_JPN,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,09_ROK,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,10_MAS,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,11_MEX,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,12_NZ,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,13_PNG,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,14_PE,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,15_RP,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,16_RUS,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,17_SIN,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,18_CT,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,19_THA,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,20_USA,Yearly
freight,ht,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,48877209.052581474,21_VN,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,01_AUS,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,02_BD,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,03_CDA,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,04_CHL,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,05_PRC,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,06_HKC,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,07_INA,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,08_JPN,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,09_ROK,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,10_MAS,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,11_MEX,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,12_NZ,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,13_PNG,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,14_PE,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,15_RP,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,16_RUS,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,17_SIN,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,18_CT,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,19_THA,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,20_USA,Yearly
freight,ht,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,47667902.7411878,21_VN,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,01_AUS,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,02_BD,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,03_CDA,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,04_CHL,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,05_PRC,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,06_HKC,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,07_INA,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,08_JPN,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,09_ROK,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,10_MAS,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,11_MEX,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,12_NZ,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,13_PNG,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,14_PE,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,15_RP,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,16_RUS,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,17_SIN,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,18_CT,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,19_THA,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,20_USA,Yearly
freight,lcv,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,82091494.29513116,21_VN,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,01_AUS,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,02_BD,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,03_CDA,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,04_CHL,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,05_PRC,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,06_HKC,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,07_INA,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,08_JPN,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,09_ROK,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,10_MAS,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,11_MEX,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,12_NZ,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,13_PNG,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,14_PE,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,15_RP,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,16_RUS,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,17_SIN,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,18_CT,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,19_THA,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,20_USA,Yearly
freight,lcv,ice_g,Km_per_PJ,road,national,2019-12-31,Efficiency,80060409.37667678,21_VN,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,01_AUS,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,02_BD,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,03_CDA,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,04_CHL,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,05_PRC,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,06_HKC,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,07_INA,Yearly
freight,mt,ice_d,Km_per_PJ,road,national,2019-12-31,Efficiency,58652650.86309777,08_JPN,Yearly
