transport_type,vehicle_sub_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,01_AUS,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,01_AUS,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,02_BD,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,02_BD,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,03_CDA,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,03_CDA,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,04_CHL,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,04_CHL,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,05_PRC,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,05_PRC,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,06_HKC,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,06_HKC,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,07_INA,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,07_INA,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,08_JPN,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,08_JPN,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,09_ROK,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,09_ROK,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,10_MAS,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,10_MAS,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,11_MEX,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,11_MEX,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,12_NZ,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,12_NZ,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,13_PNG,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,13_PNG,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,14_PE,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,14_PE,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,15_RP,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,15_RP,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,16_RUS,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,16_RUS,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,17_SIN,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,17_SIN,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,18_CT,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,18_CT,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,19_THA,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,19_THA,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,20_USA,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,20_USA,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,bev,21_VN,Yearly
passenger,2w,2w,passengers,road,national,2019-12-31,Occupancy,1.2,ice,21_VN,Yearly
passenger,car,ldv,passengers,road,national,2019-12-31,Occupancy,1.54,bev,01_AUS,Yearly
