transport_type,vehicle_type,unit,medium,scope,date,measure,value,drive,economy,frequency
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,01_AUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,01_AUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,01_AUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,01_AUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,01_AUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,01_AUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,01_AUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,01_AUS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,02_BD,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,02_BD,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,02_BD,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,02_BD,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,02_BD,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,02_BD,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,02_BD,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,02_BD,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,03_CDA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,03_CDA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,03_CDA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,03_CDA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,03_CDA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,03_CDA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,03_CDA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,03_CDA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,04_CHL,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,04_CHL,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,04_CHL,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,04_CHL,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,04_CHL,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,04_CHL,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,04_CHL,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,04_CHL,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,05_PRC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,05_PRC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,05_PRC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,05_PRC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,05_PRC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,05_PRC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,05_PRC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,05_PRC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,06_HKC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,06_HKC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,06_HKC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,06_HKC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,06_HKC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,06_HKC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,06_HKC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,06_HKC,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,07_INA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,07_INA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,07_INA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,07_INA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,07_INA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,07_INA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,07_INA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,07_INA,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,08_JPN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,08_JPN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,08_JPN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,08_JPN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,08_JPN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,08_JPN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,08_JPN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,08_JPN,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,09_ROK,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,09_ROK,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,09_ROK,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,09_ROK,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,09_ROK,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,09_ROK,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,09_ROK,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,09_ROK,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,10_MAS,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,cng,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,fcev,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_d,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,ice_g,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,lpg,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_d,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,phev_g,11_MEX,Yearly
freight,ht,mileage,road,national,2019-12-31,Mileage,43875.5,bev,12_NZ,Yearly
