Measure,Medium,Value,Unit,Economy,Transport Type,Vehicle Type,Fuel_Type,Source,Comments,Scope,Frequency,Date,Dataset,Drive
passenger_km,air,69380000000.0,passenger_km,01_AUS,passenger,,,ICCT,,National,Yearly,2013-12-31,Rev_pass_km,air
passenger_km,air,76090000000.0,passenger_km,01_AUS,passenger,,,ICCT,,National,Yearly,2018-12-31,Rev_pass_km,air
passenger_km,air,72170000000.0,passenger_km,01_AUS,passenger,,,ICCT,,National,Yearly,2019-12-31,Rev_pass_km,air
passenger_km,air,0.0,passenger_km,02_BD,passenger,,,ICCT,,National,Yearly,2013-12-31,Rev_pass_km,air
passenger_km,air,0.0,passenger_km,02_BD,passenger,,,ICCT,,National,Yearly,2018-12-31,Rev_pass_km,air
passenger_km,air,0.0,passenger_km,02_BD,passenger,,,ICCT,,National,Yearly,2019-12-31,Rev_pass_km,air
passenger_km,air,408560000000.0,passenger_km,05_PRC,passenger,,,ICCT,,National,Yearly,2013-12-31,Rev_pass_km,air
passenger_km,air,746170000000.0,passenger_km,05_PRC,passenger,,,ICCT,,National,Yearly,2018-12-31,Rev_pass_km,air
passenger_km,air,769970000000.0,passenger_km,05_PRC,passenger,,,ICCT,,National,Yearly,2019-12-31,Rev_pass_km,air
passenger_km,air,65900000000.00001,passenger_km,07_INA,passenger,,,ICCT,,National,Yearly,2013-12-31,Rev_pass_km,air
passenger_km,air,86410000000.0,passenger_km,07_INA,passenger,,,ICCT,,National,Yearly,2018-12-31,Rev_pass_km,air
passenger_km,air,81740000000.0,passenger_km,07_INA,passenger,,,ICCT,,National,Yearly,2019-12-31,Rev_pass_km,air
passenger_km,air,68430000000.00001,passenger_km,08_JPN,passenger,,,ICCT,,National,Yearly,2013-12-31,Rev_pass_km,air
passenger_km,air,95490000000.0,passenger_km,08_JPN,passenger,,,ICCT,,National,Yearly,2018-12-31,Rev_pass_km,air
passenger_km,air,87510000000.0,passenger_km,08_JPN,passenger,,,ICCT,,National,Yearly,2019-12-31,Rev_pass_km,air
passenger_km,air,6880000000.0,passenger_km,09_ROK,passenger,,,ICCT,,National,Yearly,2013-12-31,Rev_pass_km,air
passenger_km,air,10920000000.0,passenger_km,09_ROK,passenger,,,ICCT,,National,Yearly,2018-12-31,Rev_pass_km,air
passenger_km,air,11930000000.0,passenger_km,09_ROK,passenger,,,ICCT,,National,Yearly,2019-12-31,Rev_pass_km,air
passenger_km,air,18030000000.0,passenger_km,10_MAS,passenger,,,ICCT,,National,Yearly,2013-12-31,Rev_pass_km,air
passenger_km,air,20070000000.0,passenger_km,10_MAS,passenger,,,ICCT,,National,Yearly,2018-12-31,Rev_pass_km,air
passenger_km,air,20670000000.0,passenger_km,10_MAS,passenger,,,ICCT,,National,Yearly,2019-12-31,Rev_pass_km,air
passenger_km,air,5650000000.0,passenger_km,12_NZ,passenger,,,ICCT,,National,Yearly,2013-12-31,Rev_pass_km,air
passenger_km,air,7590000000.0,passenger_km,12_NZ,passenger,,,ICCT,,National,Yearly,2018-12-31,Rev_pass_km,air
passenger_km,air,7720000000.0,passenger_km,12_NZ,passenger,,,ICCT,,National,Yearly,2019-12-31,Rev_pass_km,air
passenger_km,air,830000000.0,passenger_km,13_PNG,passenger,,,ICCT,,National,Yearly,2013-12-31,Rev_pass_km,air
passenger_km,air,1000000000.0,passenger_km,13_PNG,passenger,,,ICCT,,National,Yearly,2018-12-31,Rev_pass_km,air
passenger_km,air,670000000.0,passenger_km,13_PNG,passenger,,,ICCT,,National,Yearly,2019-12-31,Rev_pass_km,air
passenger_km,air,12870000000.0,passenger_km,15_RP,passenger,,,ICCT,,National,Yearly,2013-12-31,Rev_pass_km,air
passenger_km,air,16020000000.0,passenger_km,15_RP,passenger,,,ICCT,,National,Yearly,2018-12-31,Rev_pass_km,air
passenger_km,air,17810000000.0,passenger_km,15_RP,passenger,,,ICCT,,National,Yearly,2019-12-31,Rev_pass_km,air
passenger_km,air,67700000000.0,passenger_km,16_RUS,passenger,,,ICCT,,National,Yearly,2013-12-31,Rev_pass_km,air
passenger_km,air,100830000000.0,passenger_km,16_RUS,passenger,,,ICCT,,National,Yearly,2018-12-31,Rev_pass_km,air
passenger_km,air,112990000000.0,passenger_km,16_RUS,passenger,,,ICCT,,National,Yearly,2019-12-31,Rev_pass_km,air
passenger_km,air,0.0,passenger_km,17_SIN,passenger,,,ICCT,,National,Yearly,2013-12-31,Rev_pass_km,air
passenger_km,air,0.0,passenger_km,17_SIN,passenger,,,ICCT,,National,Yearly,2018-12-31,Rev_pass_km,air
passenger_km,air,0.0,passenger_km,17_SIN,passenger,,,ICCT,,National,Yearly,2019-12-31,Rev_pass_km,air
passenger_km,air,13360000000.0,passenger_km,19_THA,passenger,,,ICCT,,National,Yearly,2013-12-31,Rev_pass_km,air
passenger_km,air,22980000000.0,passenger_km,19_THA,passenger,,,ICCT,,National,Yearly,2018-12-31,Rev_pass_km,air
passenger_km,air,23550000000.0,passenger_km,19_THA,passenger,,,ICCT,,National,Yearly,2019-12-31,Rev_pass_km,air
passenger_km,air,10450000000.0,passenger_km,21_VN,passenger,,,ICCT,,National,Yearly,2013-12-31,Rev_pass_km,air
passenger_km,air,25930000000.0,passenger_km,21_VN,passenger,,,ICCT,,National,Yearly,2018-12-31,Rev_pass_km,air
passenger_km,air,31770000000.0,passenger_km,21_VN,passenger,,,ICCT,,National,Yearly,2019-12-31,Rev_pass_km,air
