Vehicle Type,Drive,Measure,Economy,Date,Scope,Frequency,Fuel_Type,Unit,Comments,Medium,Value,Transport Type,Dataset,Source
ht,bev,freight_tonne_km,01_AUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,cng,freight_tonne_km,01_AUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,19723421.615048036,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,d,freight_tonne_km,01_AUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,191251617256.07477,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,fcev,freight_tonne_km,01_AUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,g,freight_tonne_km,01_AUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,8880296843.595585,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ht,lpg,freight_tonne_km,01_AUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,1370782402.460797,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,bev,freight_tonne_km,01_AUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,187378.60512939445,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,cng,freight_tonne_km,01_AUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,21679238.121536262,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,d,freight_tonne_km,01_AUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,5457370317.300442,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,fcev,freight_tonne_km,01_AUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,g,freight_tonne_km,01_AUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,2439843235.935785,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,lpg,freight_tonne_km,01_AUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,357903109.34269905,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
ldv,phevg,freight_tonne_km,01_AUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,596796.9481868517,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
2w,bev,freight_tonne_km,01_AUS,2017-12-31,National,Yearly,,freight_tonne_km,,road,0.0,freight,FreightKm_est,8th/ATOCountryOfficialStatistics
