Transport Type,Medium,Vehicle Type,Economy,Date,Scope,Frequency,Drive,Value,Dataset,Source,Measure,Unit
passenger,road,ldv,01_AUS,2017-12-31,National,Yearly,bev,4666.909667014444,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,01_AUS,2017-12-31,National,Yearly,cng,41782.597226057056,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,01_AUS,2017-12-31,National,Yearly,d,3044184.2121477393,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,01_AUS,2017-12-31,National,Yearly,g,13049879.000004107,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,01_AUS,2017-12-31,National,Yearly,lpg,344104.7928935277,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,01_AUS,2017-12-31,National,Yearly,phevg,1267.2295561289786,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,01_AUS,2017-12-31,National,Yearly,fcev,0.0,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,03_CDA,2017-12-31,National,Yearly,bev,25426.182195321966,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,03_CDA,2017-12-31,National,Yearly,cng,12161.518002618252,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,03_CDA,2017-12-31,National,Yearly,d,257052.3987702009,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,03_CDA,2017-12-31,National,Yearly,g,23213897.979288686,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,03_CDA,2017-12-31,National,Yearly,lpg,122372.59302068382,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,03_CDA,2017-12-31,National,Yearly,phevg,242.4919073304534,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,03_CDA,2017-12-31,National,Yearly,fcev,0.0,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,04_CHL,2017-12-31,National,Yearly,bev,251.23990391155763,LdvEv_est,8th/IeaEv,Stocks,Stocks
passenger,road,ldv,04_CHL,2017-12-31,National,Yearly,cng,16805.657589057137,LdvEv_est,8th/IeaEv,Stocks,Stocks
