Economy,Date,Scope,Frequency,Transport Type,Medium,Vehicle Type,Drive,Drive_proportion,Value,Dataset,Source
05_PRC,2017-12-31,National,Yearly,passenger,road,bus,bev,0.054333352316284826,43824.086644564384,BusEv_est,8th/IeaEv
05_PRC,2017-12-31,National,Yearly,passenger,road,bus,cng,0.2338466750624105,188615.58347848893,BusEv_est,8th/IeaEv
05_PRC,2017-12-31,National,Yearly,passenger,road,bus,d,0.2986999307510771,240924.79274534225,BusEv_est,8th/IeaEv
05_PRC,2017-12-31,National,Yearly,passenger,road,bus,g,0.13362617549256364,107779.933376441,BusEv_est,8th/IeaEv
05_PRC,2017-12-31,National,Yearly,passenger,road,bus,lpg,0.03340683318994895,26945.216700682642,BusEv_est,8th/IeaEv
08_JPN,2017-12-31,National,Yearly,passenger,road,bus,d,0.9374368457707816,209324.96047638668,BusEv_est,8th/IeaEv
08_JPN,2017-12-31,National,Yearly,passenger,road,bus,fcev,1.7910866576946092e-05,3.9994069522991778,BusEv_est,8th/IeaEv
08_JPN,2017-12-31,National,Yearly,passenger,road,bus,g,0.061904432606569935,13822.950278884035,BusEv_est,8th/IeaEv
08_JPN,2017-12-31,National,Yearly,passenger,road,bus,lpg,0.0004925488308660176,109.9836911882274,BusEv_est,8th/IeaEv
09_ROK,2017-12-31,National,Yearly,passenger,road,bus,bev,4.851061850786201e-05,2.7633103620633435,BusEv_est,8th/IeaEv
09_ROK,2017-12-31,National,Yearly,passenger,road,bus,cng,0.6960321007316357,39648.07655397616,BusEv_est,8th/IeaEv
09_ROK,2017-12-31,National,Yearly,passenger,road,bus,d,0.1159994986540895,6607.6794418329,BusEv_est,8th/IeaEv
09_ROK,2017-12-31,National,Yearly,passenger,road,bus,g,0.1159994986540895,6607.6794418329,BusEv_est,8th/IeaEv
09_ROK,2017-12-31,National,Yearly,passenger,road,bus,lpg,0.06960321007316356,3964.8076553976157,BusEv_est,8th/IeaEv
12_NZ,2017-12-31,National,Yearly,passenger,road,bus,bev,0.002130091935396194,22.37022550553083,BusEv_est,8th/IeaEv
12_NZ,2017-12-31,National,Yearly,passenger,road,bus,cng,0.0017103083550907322,17.96165834516287,BusEv_est,8th/IeaEv
12_NZ,2017-12-31,National,Yearly,passenger,road,bus,d,0.9663242206262637,10148.33696501702,BusEv_est,8th/IeaEv
12_NZ,2017-12-31,National,Yearly,passenger,road,bus,g,0.020998785915280656,220.52924968227745,BusEv_est,8th/IeaEv
12_NZ,2017-12-31,National,Yearly,passenger,road,bus,lpg,0.0018053254859291062,18.95952825322747,BusEv_est,8th/IeaEv
03_CDA,2018-12-31,National,Yearly,passenger,road,bus,bev,0.00020293999463319697,19.266108390502556,BusEv_est,8th/IeaEv
03_CDA,2018-12-31,National,Yearly,passenger,road,bus,cng,0.03888187439342512,3691.250745539814,BusEv_est,8th/IeaEv
03_CDA,2018-12-31,National,Yearly,passenger,road,bus,d,0.7831769965171865,74350.9081643591,BusEv_est,8th/IeaEv
03_CDA,2018-12-31,National,Yearly,passenger,road,bus,g,0.024148466409567665,2292.534658592306,BusEv_est,8th/IeaEv
03_CDA,2018-12-31,National,Yearly,passenger,road,bus,lpg,0.0008635735916199513,81.98335892044008,BusEv_est,8th/IeaEv
03_CDA,2018-12-31,National,Yearly,passenger,road,bus,phevd,0.00017903354948218503,16.996550020091235,BusEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,passenger,road,bus,bev,0.0696023513567115,56776.30845810213,BusEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,passenger,road,bus,cng,0.22772877420713092,185763.82661133766,BusEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,passenger,road,bus,d,0.2910130494950459,237386.32878629683,BusEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,passenger,road,bus,fcev,1.4608299070314381e-05,11.916340150833129,BusEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,passenger,road,bus,g,0.13654264769491542,111381.11474828719,BusEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,passenger,road,bus,lpg,0.03247424883330888,26490.02415530205,BusEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,passenger,road,bus,phevd,0.001257437435360138,1025.7218945217132,BusEv_est,8th/IeaEv
08_JPN,2018-12-31,National,Yearly,passenger,road,bus,d,0.9373843965443316,209313.24882636653,BusEv_est,8th/IeaEv
08_JPN,2018-12-31,National,Yearly,passenger,road,bus,fcev,1.7909864470936235e-05,3.9991831870377066,BusEv_est,8th/IeaEv
08_JPN,2018-12-31,National,Yearly,passenger,road,bus,g,0.06190096907767337,13822.176890199074,BusEv_est,8th/IeaEv
08_JPN,2018-12-31,National,Yearly,passenger,road,bus,lpg,0.0004925212729507465,109.97753764353695,BusEv_est,8th/IeaEv
09_ROK,2018-12-31,National,Yearly,passenger,road,bus,bev,9.853797033429101e-05,5.669480661153767,BusEv_est,8th/IeaEv
09_ROK,2018-12-31,National,Yearly,passenger,road,bus,cng,0.6956002488737381,40022.055919199396,BusEv_est,8th/IeaEv
09_ROK,2018-12-31,National,Yearly,passenger,road,bus,d,0.1159681322324103,6672.342456123959,BusEv_est,8th/IeaEv
09_ROK,2018-12-31,National,Yearly,passenger,road,bus,g,0.11600288965253092,6674.342259048019,BusEv_est,8th/IeaEv
09_ROK,2018-12-31,National,Yearly,passenger,road,bus,lpg,0.0697928996021819,4015.6042715111375,BusEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,bus,bev,0.002510836124420166,26.963869140148162,BusEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,bus,cng,0.0016719252211342245,17.954804949760437,BusEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,bus,d,0.9659083541430444,10372.889815142154,BusEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,bus,g,0.020899065264177806,224.43506187200546,BusEv_est,8th/IeaEv
12_NZ,2018-12-31,National,Yearly,passenger,road,bus,lpg,0.0017648099556416815,18.952294113636018,BusEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,bus,bev,0.0007346925139427179,70.64656275570387,BusEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,bus,cng,0.037317349769987226,3588.361719182432,BusEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,bus,d,0.7896604773939819,75932.17218525051,BusEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,bus,g,0.023807866422456345,2289.316819450557,BusEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,bus,lpg,0.0008105690008518528,77.94269398391246,BusEv_est,8th/IeaEv
03_CDA,2019-12-31,National,Yearly,passenger,road,bus,phevd,0.0005403793339012352,51.961795989274975,BusEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,bus,bev,0.08088273603278483,66659.02160500342,BusEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,passenger,road,bus,cng,0.21482977429160943,177050.66950378416,BusEv_est,8th/IeaEv
