Economy,Date,Scope,Frequency,Transport Type,Medium,Vehicle Type,Drive,Drive_proportion,Value,Dataset,Source
05_PRC,2017-12-31,National,Yearly,freight,road,ht,bev,0.000656145140528678,4356.488783442968,HtEv_est,8th/IeaEv
05_PRC,2017-12-31,National,Yearly,freight,road,ht,cng,0.012938826171039412,85907.5951391396,HtEv_est,8th/IeaEv
05_PRC,2017-12-31,National,Yearly,freight,road,ht,d,0.9838071488816275,6532007.241142543,HtEv_est,8th/IeaEv
05_PRC,2017-12-31,National,Yearly,freight,road,ht,lpg,0.002587795337102515,17181.71889659889,HtEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,freight,road,ht,bev,0.0006823686646708918,4727.956426389124,HtEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,freight,road,ht,cng,0.014458797237179466,100181.27568672932,HtEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,freight,road,ht,d,0.976040267496858,6762731.195096715,HtEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,freight,road,ht,fcev,2.4514990578172932e-06,16.98580448485911,HtEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,freight,road,ht,g,0.005406853274929506,37462.69137384161,HtEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,freight,road,ht,lpg,0.002603059381921174,18035.92686801128,HtEv_est,8th/IeaEv
05_PRC,2018-12-31,National,Yearly,freight,road,ht,phevd,9.373378750477885e-06,64.94572303034364,HtEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,freight,road,ht,bev,0.0008686810768980105,6501.108412499791,HtEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,freight,road,ht,cng,0.019374881832473545,144999.36814793944,HtEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,freight,road,ht,d,0.9528895494738401,7131314.85307448,HtEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,freight,road,ht,fcev,1.174558832500463e-05,87.90262053608895,HtEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,freight,road,ht,g,0.021112695014195822,158004.96041361988,HtEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,freight,road,ht,lpg,0.0026563715777754788,19879.97674896866,HtEv_est,8th/IeaEv
05_PRC,2019-12-31,National,Yearly,freight,road,ht,phevd,4.2844702867346436e-05,320.6447862736881,HtEv_est,8th/IeaEv
12_NZ,2019-12-31,National,Yearly,freight,road,ht,bev,0.000474368780851364,65.42067293599246,HtEv_est,8th/IeaEv
12_NZ,2019-12-31,National,Yearly,freight,road,ht,cng,0.0002681617010616158,36.9824483551085,HtEv_est,8th/IeaEv
12_NZ,2019-12-31,National,Yearly,freight,road,ht,d,0.9759708872069797,134597.12102560178,HtEv_est,8th/IeaEv
