Economy,Date,Scope,Frequency,Transport Type,Medium,Vehicle Type,Drive,Drive_proportion,Value,Dataset,Source
01_AUS,2017-12-31,National,Yearly,passenger,road,ldv,bev,0.0002829864413711291,4666.909667014444,LdvEv_est,8th/IeaEv
01_AUS,2017-12-31,National,Yearly,passenger,road,ldv,cng,0.0025335627522032563,41782.597226057056,LdvEv_est,8th/IeaEv
01_AUS,2017-12-31,National,Yearly,passenger,road,ldv,d,0.18458957180222554,3044184.2121477393,LdvEv_est,8th/IeaEv
01_AUS,2017-12-31,National,Yearly,passenger,road,ldv,g,0.7913028282155439,13049879.000004107,LdvEv_est,8th/IeaEv
01_AUS,2017-12-31,National,Yearly,passenger,road,ldv,lpg,0.02086541153516341,344104.7928935277,LdvEv_est,8th/IeaEv
01_AUS,2017-12-31,National,Yearly,passenger,road,ldv,phevg,7.684073789211943e-05,1267.2295561289786,LdvEv_est,8th/IeaEv
03_CDA,2017-12-31,National,Yearly,passenger,road,ldv,bev,0.0010747949908690832,25426.182195321966,LdvEv_est,8th/IeaEv
03_CDA,2017-12-31,National,Yearly,passenger,road,ldv,cng,0.0005140818440679296,12161.518002618252,LdvEv_est,8th/IeaEv
03_CDA,2017-12-31,National,Yearly,passenger,road,ldv,d,0.01086591091288275,257052.3987702009,LdvEv_est,8th/IeaEv
03_CDA,2017-12-31,National,Yearly,passenger,road,ldv,g,0.9812791033675464,23213897.979288686,LdvEv_est,8th/IeaEv
03_CDA,2017-12-31,National,Yearly,passenger,road,ldv,lpg,0.005172835189645208,122372.59302068382,LdvEv_est,8th/IeaEv
03_CDA,2017-12-31,National,Yearly,passenger,road,ldv,phevg,1.0250421605686954e-05,242.4919073304534,LdvEv_est,8th/IeaEv
04_CHL,2017-12-31,National,Yearly,passenger,road,ldv,bev,5.896140305653121e-05,251.23990391155763,LdvEv_est,8th/IeaEv
04_CHL,2017-12-31,National,Yearly,passenger,road,ldv,cng,0.0039439799781457695,16805.657589057137,LdvEv_est,8th/IeaEv
04_CHL,2017-12-31,National,Yearly,passenger,road,ldv,d,0.1972175372792926,840361.8731429582,LdvEv_est,8th/IeaEv
04_CHL,2017-12-31,National,Yearly,passenger,road,ldv,g,0.7888703837801072,3361448.492491961,LdvEv_est,8th/IeaEv
04_CHL,2017-12-31,National,Yearly,passenger,road,ldv,lpg,0.009860771265643088,42017.64369309037,LdvEv_est,8th/IeaEv
04_CHL,2017-12-31,National,Yearly,passenger,road,ldv,phevg,1.3610450332150571e-05,57.99536741627381,LdvEv_est,8th/IeaEv
05_PRC,2017-12-31,National,Yearly,passenger,road,ldv,bev,0.0046834800061228855,823981.273198181,LdvEv_est,8th/IeaEv
05_PRC,2017-12-31,National,Yearly,passenger,road,ldv,cng,0.036648388624674025,6447681.185815296,LdvEv_est,8th/IeaEv
05_PRC,2017-12-31,National,Yearly,passenger,road,ldv,d,0.03296791664284672,5800162.677015939,LdvEv_est,8th/IeaEv
05_PRC,2017-12-31,National,Yearly,passenger,road,ldv,g,0.9167984489941328,161295607.5996286,LdvEv_est,8th/IeaEv
05_PRC,2017-12-31,National,Yearly,passenger,road,ldv,lpg,0.002975162492232583,523430.90503565077,LdvEv_est,8th/IeaEv
05_PRC,2017-12-31,National,Yearly,passenger,road,ldv,phevg,0.0011137467656726888,195945.4245133078,LdvEv_est,8th/IeaEv
08_JPN,2017-12-31,National,Yearly,passenger,road,ldv,bev,0.0015281896164418662,105725.2495932503,LdvEv_est,8th/IeaEv
08_JPN,2017-12-31,National,Yearly,passenger,road,ldv,d,0.07071100992181738,4892023.275476386,LdvEv_est,8th/IeaEv
08_JPN,2017-12-31,National,Yearly,passenger,road,ldv,fcev,1.441041731773148e-06,99.69606855511665,LdvEv_est,8th/IeaEv
08_JPN,2017-12-31,National,Yearly,passenger,road,ldv,g,0.9223026911468573,63807973.28610649,LdvEv_est,8th/IeaEv
08_JPN,2017-12-31,National,Yearly,passenger,road,ldv,lpg,0.003194386027656173,220998.2690874982,LdvEv_est,8th/IeaEv
08_JPN,2017-12-31,National,Yearly,passenger,road,ldv,phevg,1.5318273608748564e-05,1059.76920874089,LdvEv_est,8th/IeaEv
09_ROK,2017-12-31,National,Yearly,passenger,road,ldv,bev,0.0014056101933191938,25499.797202319136,LdvEv_est,8th/IeaEv
09_ROK,2017-12-31,National,Yearly,passenger,road,ldv,cng,0.0009611250503675583,17436.195317115187,LdvEv_est,8th/IeaEv
09_ROK,2017-12-31,National,Yearly,passenger,road,ldv,d,0.1422069330121117,2579838.969444043,LdvEv_est,8th/IeaEv
09_ROK,2017-12-31,National,Yearly,passenger,road,ldv,g,0.7606191295262194,13798728.583009526,LdvEv_est,8th/IeaEv
09_ROK,2017-12-31,National,Yearly,passenger,road,ldv,lpg,0.09464065502118608,1716918.0485495112,LdvEv_est,8th/IeaEv
11_MEX,2017-12-31,National,Yearly,passenger,road,ldv,bev,3.4253192098654724e-05,1245.3855050634554,LdvEv_est,8th/IeaEv
11_MEX,2017-12-31,National,Yearly,passenger,road,ldv,cng,5.3984890012133535e-05,1962.795155555634,LdvEv_est,8th/IeaEv
11_MEX,2017-12-31,National,Yearly,passenger,road,ldv,d,0.0017958845071687946,65295.18555684869,LdvEv_est,8th/IeaEv
11_MEX,2017-12-31,National,Yearly,passenger,road,ldv,g,0.9911718210318619,36037255.02093891,LdvEv_est,8th/IeaEv
11_MEX,2017-12-31,National,Yearly,passenger,road,ldv,lpg,0.006722067598515423,244402.49326650662,LdvEv_est,8th/IeaEv
11_MEX,2017-12-31,National,Yearly,passenger,road,ldv,phevg,6.638793911833437e-05,2413.7480924662764,LdvEv_est,8th/IeaEv
12_NZ,2017-12-31,National,Yearly,passenger,road,ldv,bev,0.0019189035880827214,6868.991715658785,LdvEv_est,8th/IeaEv
12_NZ,2017-12-31,National,Yearly,passenger,road,ldv,cng,6.688073746715222e-06,23.940923058986662,LdvEv_est,8th/IeaEv
12_NZ,2017-12-31,National,Yearly,passenger,road,ldv,d,0.17002588280743106,608632.1312363237,LdvEv_est,8th/IeaEv
12_NZ,2017-12-31,National,Yearly,passenger,road,ldv,g,0.8265129896282855,2958622.264244954,LdvEv_est,8th/IeaEv
12_NZ,2017-12-31,National,Yearly,passenger,road,ldv,lpg,0.0005060642468347851,1811.5298447966575,LdvEv_est,8th/IeaEv
12_NZ,2017-12-31,National,Yearly,passenger,road,ldv,phevg,0.00021513303885267295,770.0996917307376,LdvEv_est,8th/IeaEv
20_USA,2017-12-31,National,Yearly,passenger,road,ldv,bev,0.0017754821716715892,389584.44757134805,LdvEv_est,8th/IeaEv
20_USA,2017-12-31,National,Yearly,passenger,road,ldv,cng,0.001018538488049633,223492.39013951065,LdvEv_est,8th/IeaEv
20_USA,2017-12-31,National,Yearly,passenger,road,ldv,d,0.006242826820409487,1369829.7155093553,LdvEv_est,8th/IeaEv
20_USA,2017-12-31,National,Yearly,passenger,road,ldv,fcev,3.476006496844494e-05,7627.213004074395,LdvEv_est,8th/IeaEv
20_USA,2017-12-31,National,Yearly,passenger,road,ldv,g,0.9852027500135531,216177709.48859638,LdvEv_est,8th/IeaEv
20_USA,2017-12-31,National,Yearly,passenger,road,ldv,lpg,0.0006747122554550539,148048.46002120044,LdvEv_est,8th/IeaEv
20_USA,2017-12-31,National,Yearly,passenger,road,ldv,phevg,0.001709129638987463,375025.0702916721,LdvEv_est,8th/IeaEv
