Medium,Date,Economy,Frequency,Dataset,Source,Drive,Vehicle Type,Transport Type,Value,Measure,Unit,Fuel,Scope
air,1980-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,36.99955065011011,Energy,PJ,all,national
air,1981-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,38.63831027536104,Energy,PJ,all,national
air,1982-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,39.80365045331727,Energy,PJ,all,national
air,1983-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,38.456225872555386,Energy,PJ,all,national
air,1984-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,38.529059633677655,Energy,PJ,all,national
air,1985-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,39.36664788658368,Energy,PJ,all,national
air,1986-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,42.24358145091311,Energy,PJ,all,national
air,1987-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,44.06442547896971,Energy,PJ,all,national
air,1988-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,47.05060968498254,Energy,PJ,all,national
air,1989-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,46.50435647656555,Energy,PJ,all,national
air,1990-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,38.09316414011313,Energy,PJ,all,national
air,1991-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,47.07161130000215,Energy,PJ,all,national
air,1992-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,50.94179707319617,Energy,PJ,all,national
air,1993-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,53.186755733955756,Energy,PJ,all,national
air,1994-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,55.62533202359473,Energy,PJ,all,national
air,1995-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,64.29569237393657,Energy,PJ,all,national
air,1996-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,69.83042092381882,Energy,PJ,all,national
air,1997-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,72.69641849891573,Energy,PJ,all,national
air,1998-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,64.83914876592645,Energy,PJ,all,national
air,1999-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,63.87157774123357,Energy,PJ,all,national
air,2000-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,67.58728674877533,Energy,PJ,all,national
air,2001-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,74.32260337530892,Energy,PJ,all,national
air,2002-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,66.88814090901049,Energy,PJ,all,national
air,2003-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,61.50997945372473,Energy,PJ,all,national
air,2004-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types_using_8th,EGEDA_9th_cleansed,,,passenger,49.58846931609532,Energy,PJ,all,national
