Medium,Date,Economy,Frequency,Dataset,Source,Drive,Vehicle Type,Transport Type,Value,Measure,Unit,Fuel,Scope
air,2017-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,147.9982026004404,Energy,PJ,all,national
air,2017-12-31,03_CDA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,577.7049260672821,Energy,PJ,all,national
air,2017-12-31,04_CHL,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
air,2017-12-31,05_PRC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
air,2017-12-31,06_HKC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
air,2017-12-31,07_INA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,38.42923737171099,Energy,PJ,all,national
air,2017-12-31,08_JPN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,376.4260325499663,Energy,PJ,all,national
air,2017-12-31,09_ROK,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,17.008086233879514,Energy,PJ,all,national
air,2017-12-31,10_MAS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,18.087471371304886,Energy,PJ,all,national
air,2017-12-31,11_MEX,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
air,2017-12-31,12_NZ,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,23.613552,Energy,PJ,all,national
air,2017-12-31,13_PNG,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,6.573703820905749,Energy,PJ,all,national
air,2017-12-31,14_PE,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,19.140504855560494,Energy,PJ,all,national
air,2017-12-31,15_RP,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,,Energy,PJ,all,national
air,2017-12-31,16_RUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
air,2017-12-31,18_CT,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,15.6430939394664,Energy,PJ,all,national
air,2017-12-31,19_THA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,64.34869712788138,Energy,PJ,all,national
air,2017-12-31,20_USA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,7241.206280659322,Energy,PJ,all,national
air,2017-12-31,21_VN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
rail,2017-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,22.047023308806548,Energy,PJ,all,national
rail,2017-12-31,03_CDA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,3.697300522638118,Energy,PJ,all,national
rail,2017-12-31,04_CHL,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,2.594667189252235,Energy,PJ,all,national
rail,2017-12-31,05_PRC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,255.12637981666919,Energy,PJ,all,national
rail,2017-12-31,06_HKC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
rail,2017-12-31,07_INA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.8310450713175759,Energy,PJ,all,national
rail,2017-12-31,08_JPN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,422.28138670544706,Energy,PJ,all,national
rail,2017-12-31,09_ROK,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,5.3149374741708755,Energy,PJ,all,national
rail,2017-12-31,10_MAS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
rail,2017-12-31,11_MEX,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.6972088425260022,Energy,PJ,all,national
rail,2017-12-31,12_NZ,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.14796195373329885,Energy,PJ,all,national
rail,2017-12-31,14_PE,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
rail,2017-12-31,15_RP,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,,Energy,PJ,all,national
rail,2017-12-31,16_RUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
rail,2017-12-31,17_SIN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,,Energy,PJ,all,national
rail,2017-12-31,18_CT,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,10.006570937566162,Energy,PJ,all,national
rail,2017-12-31,19_THA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
rail,2017-12-31,20_USA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,159.45933696874584,Energy,PJ,all,national
rail,2017-12-31,21_VN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
road,2017-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,1642.4259934503323,Energy,PJ,all,national
road,2017-12-31,02_BD,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,19.7900767130903,Energy,PJ,all,national
road,2017-12-31,03_CDA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,2822.537029595585,Energy,PJ,all,national
road,2017-12-31,04_CHL,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,198.491261683299,Energy,PJ,all,national
road,2017-12-31,05_PRC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,154.03381210301552,Energy,PJ,all,national
road,2017-12-31,06_HKC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,0.0,Energy,PJ,all,national
road,2017-12-31,07_INA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,681.9699431759026,Energy,PJ,all,national
road,2017-12-31,08_JPN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,4639.49510814574,Energy,PJ,all,national
road,2017-12-31,09_ROK,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,77.08618416081244,Energy,PJ,all,national
road,2017-12-31,10_MAS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,218.40009640118396,Energy,PJ,all,national
road,2017-12-31,11_MEX,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,1640.2167210927353,Energy,PJ,all,national
road,2017-12-31,12_NZ,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,237.00796575828997,Energy,PJ,all,national
road,2017-12-31,13_PNG,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,15.822598174613859,Energy,PJ,all,national
road,2017-12-31,14_PE,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,112.46597368466765,Energy,PJ,all,national
road,2017-12-31,15_RP,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,,Energy,PJ,all,national
road,2017-12-31,16_RUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,0.0,Energy,PJ,all,national
road,2017-12-31,17_SIN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,,Energy,PJ,all,national
road,2017-12-31,18_CT,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,324.80721398078964,Energy,PJ,all,national
road,2017-12-31,19_THA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,163.33690765891436,Energy,PJ,all,national
road,2017-12-31,20_USA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,36012.87595172399,Energy,PJ,all,national
road,2017-12-31,21_VN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,passenger,0.0,Energy,PJ,all,national
ship,2017-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,27.943642455323914,Energy,PJ,all,national
ship,2017-12-31,03_CDA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
ship,2017-12-31,04_CHL,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
ship,2017-12-31,05_PRC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
ship,2017-12-31,06_HKC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
ship,2017-12-31,07_INA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
ship,2017-12-31,08_JPN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,29.619180831858905,Energy,PJ,all,national
ship,2017-12-31,09_ROK,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,1.6117484664833557,Energy,PJ,all,national
ship,2017-12-31,10_MAS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
ship,2017-12-31,11_MEX,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
ship,2017-12-31,12_NZ,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.7482407922015832,Energy,PJ,all,national
ship,2017-12-31,13_PNG,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,2.933285636006361,Energy,PJ,all,national
ship,2017-12-31,14_PE,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
ship,2017-12-31,15_RP,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,,Energy,PJ,all,national
ship,2017-12-31,16_RUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
ship,2017-12-31,17_SIN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,,Energy,PJ,all,national
ship,2017-12-31,18_CT,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
ship,2017-12-31,19_THA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,1.373221695123072,Energy,PJ,all,national
ship,2017-12-31,20_USA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,72.13678912529703,Energy,PJ,all,national
ship,2017-12-31,21_VN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,passenger,0.0,Energy,PJ,all,national
air,2017-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,22.153349399559573,Energy,PJ,all,national
air,2017-12-31,03_CDA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,12.382665932717941,Energy,PJ,all,national
air,2017-12-31,04_CHL,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
air,2017-12-31,05_PRC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
air,2017-12-31,06_HKC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
air,2017-12-31,07_INA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,1.0104186282890097,Energy,PJ,all,national
air,2017-12-31,08_JPN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,42.58891145003372,Energy,PJ,all,national
air,2017-12-31,09_ROK,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,1.4975697661204848,Energy,PJ,all,national
air,2017-12-31,10_MAS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,3.265208628695113,Energy,PJ,all,national
air,2017-12-31,11_MEX,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
air,2017-12-31,12_NZ,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
air,2017-12-31,13_PNG,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.4601201790942522,Energy,PJ,all,national
air,2017-12-31,14_PE,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,6.733506342706708,Energy,PJ,all,national
air,2017-12-31,15_RP,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,,Energy,PJ,all,national
air,2017-12-31,16_RUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
air,2017-12-31,18_CT,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.015538060533600628,Energy,PJ,all,national
air,2017-12-31,19_THA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.29549487211862413,Energy,PJ,all,national
air,2017-12-31,20_USA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,1009.3017993406775,Energy,PJ,all,national
air,2017-12-31,21_VN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
rail,2017-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,97.1742287992221,Energy,PJ,all,national
rail,2017-12-31,03_CDA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,174.8278514773619,Energy,PJ,all,national
rail,2017-12-31,04_CHL,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,11.00960740661195,Energy,PJ,all,national
rail,2017-12-31,05_PRC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,591.612052183331,Energy,PJ,all,national
rail,2017-12-31,06_HKC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
rail,2017-12-31,07_INA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.34125892868242413,Energy,PJ,all,national
rail,2017-12-31,08_JPN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,27.039554622795436,Energy,PJ,all,national
rail,2017-12-31,09_ROK,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.8657367841067369,Energy,PJ,all,national
rail,2017-12-31,10_MAS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
rail,2017-12-31,11_MEX,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,3.2246489128576483,Energy,PJ,all,national
rail,2017-12-31,12_NZ,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.8327342448859258,Energy,PJ,all,national
rail,2017-12-31,14_PE,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
rail,2017-12-31,15_RP,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,,Energy,PJ,all,national
rail,2017-12-31,16_RUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
rail,2017-12-31,17_SIN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,,Energy,PJ,all,national
rail,2017-12-31,18_CT,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.31216891565846083,Energy,PJ,all,national
rail,2017-12-31,19_THA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
rail,2017-12-31,20_USA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,2224.436509497975,Energy,PJ,all,national
rail,2017-12-31,21_VN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
road,2017-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,696.6554305496677,Energy,PJ,all,national
road,2017-12-31,02_BD,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,4.325891286909698,Energy,PJ,all,national
road,2017-12-31,03_CDA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,3031.446730404415,Energy,PJ,all,national
road,2017-12-31,04_CHL,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,119.286858316701,Energy,PJ,all,national
road,2017-12-31,05_PRC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,115.93105189698451,Energy,PJ,all,national
road,2017-12-31,06_HKC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,0.0,Energy,PJ,all,national
road,2017-12-31,07_INA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,280.99405682409747,Energy,PJ,all,national
road,2017-12-31,08_JPN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,2598.3097878542594,Energy,PJ,all,national
road,2017-12-31,09_ROK,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,93.65151983918757,Energy,PJ,all,national
road,2017-12-31,10_MAS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,140.49239959881604,Energy,PJ,all,national
road,2017-12-31,11_MEX,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,868.6813109072648,Energy,PJ,all,national
road,2017-12-31,12_NZ,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,98.35471424171004,Energy,PJ,all,national
road,2017-12-31,13_PNG,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,7.95842582538614,Energy,PJ,all,national
road,2017-12-31,14_PE,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,214.1181676608876,Energy,PJ,all,national
road,2017-12-31,15_RP,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,,Energy,PJ,all,national
road,2017-12-31,16_RUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,0.0,Energy,PJ,all,national
road,2017-12-31,17_SIN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,,Energy,PJ,all,national
road,2017-12-31,18_CT,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,133.73112201921037,Energy,PJ,all,national
road,2017-12-31,19_THA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,106.12554034108564,Energy,PJ,all,national
road,2017-12-31,20_USA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,21906.477888276015,Energy,PJ,all,national
road,2017-12-31,21_VN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,All,All,freight,0.0,Energy,PJ,all,national
ship,2017-12-31,01_AUS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,162.30454954467606,Energy,PJ,all,national
ship,2017-12-31,03_CDA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,310.493088,Energy,PJ,all,national
ship,2017-12-31,04_CHL,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,18.589392,Energy,PJ,all,national
ship,2017-12-31,05_PRC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
ship,2017-12-31,06_HKC,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
ship,2017-12-31,07_INA,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
ship,2017-12-31,08_JPN,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,909.0613791681411,Energy,PJ,all,national
ship,2017-12-31,09_ROK,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,49.46721153351665,Energy,PJ,all,national
ship,2017-12-31,10_MAS,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
ship,2017-12-31,11_MEX,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
ship,2017-12-31,12_NZ,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,13.319407207798417,Energy,PJ,all,national
ship,2017-12-31,13_PNG,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,1.4209863639936389,Energy,PJ,all,national
ship,2017-12-31,14_PE,Yearly,EGEDA_split_into_transport_types,8th_transport_splits_9th_outlook_esto,,,freight,0.0,Energy,PJ,all,national
