transport_type,vehicle_type,drive,unit,medium,scope,date,measure,economy,frequency,value,dataset,Fuel
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,01_AUS,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,02_BD,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,03_CDA,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,04_CHL,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,05_PRC,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,06_HKC,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,07_INA,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,08_JPN,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,09_ROK,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,10_MAS,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,11_MEX,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,12_NZ,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,13_PNG,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,14_PE,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,15_RP,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,16_RUS,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,17_SIN,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,18_CT,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,19_THA,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,20_USA,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ht,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,21_VN,Yearly,70571735.63869993,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,01_AUS,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,02_BD,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,03_CDA,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,04_CHL,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,05_PRC,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,06_HKC,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,07_INA,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,08_JPN,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,09_ROK,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,10_MAS,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,11_MEX,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,12_NZ,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,13_PNG,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,14_PE,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,15_RP,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,16_RUS,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,17_SIN,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,18_CT,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,19_THA,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,20_USA,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
freight,ldv,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,21_VN,Yearly,251552284.44171143,USA_alternative_fuels_data_center,all
passenger,2w,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,01_AUS,Yearly,632474315.1677316,USA_alternative_fuels_data_center,all
passenger,2w,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,02_BD,Yearly,632474315.1677316,USA_alternative_fuels_data_center,all
passenger,2w,ice,Km_per_PJ,road,national,2010-12-31,Efficiency,03_CDA,Yearly,632474315.1677316,USA_alternative_fuels_data_center,all
