Date,Vehicle Type,Transport Type,Drive,Fuel,Economy,Medium,Country,measure,Value,Comment,Scope,Dataset,Frequency,Unit
2000,2w,passenger,all,all,01_AUS,road,Australia,Energy,2.74,no_comment,all,EEI,annual,PJ
2000,2w,passenger,all,all,03_CDA,road,Canada,Energy,2.35,no_comment,all,EEI,annual,PJ
2000,2w,passenger,all,all,08_JPN,road,Japan,Energy,11.14,no_comment,all,EEI,annual,PJ
2000,2w,passenger,all,all,09_ROK,road,Korea,Energy,18.28,no_comment,all,EEI,annual,PJ
2000,2w,passenger,all,all,12_NZ,road,New Zealand,Energy,1.26,no_comment,all,EEI,annual,PJ
2000,2w,passenger,all,all,20_USA,road,United States,Energy,51.43,no_comment,all,EEI,annual,PJ
2000,2w,passenger,ice_g,Motor gasoline,01_AUS,road,Australia,Energy,2.74,no_comment,all,EEI,annual,PJ
2000,2w,passenger,ice_g,Motor gasoline,03_CDA,road,Canada,Energy,2.35,no_comment,all,EEI,annual,PJ
2000,2w,passenger,ice_g,Motor gasoline,08_JPN,road,Japan,Energy,11.14,no_comment,all,EEI,annual,PJ
2000,2w,passenger,ice_g,Motor gasoline,09_ROK,road,Korea,Energy,18.28,no_comment,all,EEI,annual,PJ
2000,2w,passenger,ice_g,Motor gasoline,12_NZ,road,New Zealand,Energy,1.26,no_comment,all,EEI,annual,PJ
2000,2w,passenger,ice_g,Motor gasoline,20_USA,road,United States,Energy,51.43,no_comment,all,EEI,annual,PJ
2000,all,combined,,Other sources,01_AUS,all,Australia,Energy,0.02,no_comment,all,EEI,annual,PJ
2000,all,combined,,Other sources,01_AUS,rail,Australia,Energy,0.02,no_comment,all,EEI,annual,PJ
2000,all,combined,,Other sources,09_ROK,air,Korea,Energy,0.03,no_comment,all,EEI,annual,PJ
2000,all,combined,,Other sources,09_ROK,all,Korea,Energy,0.07,no_comment,all,EEI,annual,PJ
2000,all,combined,,Other sources,09_ROK,rail,Korea,Energy,0.04,no_comment,all,EEI,annual,PJ
2000,all,combined,air_jet_fuel,Jet fuel and aviation gasoline,01_AUS,air,Australia,Energy,73.19,no_comment,all,EEI,annual,PJ
2000,all,combined,air_jet_fuel,Jet fuel and aviation gasoline,03_CDA,air,Canada,Energy,228.07,no_comment,all,EEI,annual,PJ
2000,all,combined,air_jet_fuel,Jet fuel and aviation gasoline,08_JPN,air,Japan,Energy,149.09,no_comment,all,EEI,annual,PJ
2000,all,combined,air_jet_fuel,Jet fuel and aviation gasoline,09_ROK,air,Korea,Energy,7.24,no_comment,all,EEI,annual,PJ
2000,all,combined,air_jet_fuel,Jet fuel and aviation gasoline,11_MEX,air,Mexico,Energy,0.81,no_comment,all,EEI,annual,PJ
2000,all,combined,air_jet_fuel,Jet fuel and aviation gasoline,12_NZ,air,New Zealand,Energy,8.24,no_comment,all,EEI,annual,PJ
2000,all,combined,air_jet_fuel,Jet fuel and aviation gasoline,18_CT,air,Chinese Taipei,Energy,14.01,no_comment,all,EEI,annual,PJ
2000,all,combined,air_jet_fuel,Jet fuel and aviation gasoline,20_USA,air,United States,Energy,2927.3,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Coal and coal products,01_AUS,all,Australia,Energy,4.22,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Coal and coal products,08_JPN,all,Japan,Energy,0.04,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Diesel and light fuel oil,01_AUS,all,Australia,Energy,290.49,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Diesel and light fuel oil,03_CDA,all,Canada,Energy,627.33,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Diesel and light fuel oil,08_JPN,all,Japan,Energy,1398.23,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Diesel and light fuel oil,09_ROK,all,Korea,Energy,548.88,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Diesel and light fuel oil,11_MEX,all,Mexico,Energy,443.59,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Diesel and light fuel oil,12_NZ,all,New Zealand,Energy,57.95,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Diesel and light fuel oil,18_CT,all,Chinese Taipei,Energy,154.02,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Diesel and light fuel oil,20_USA,all,United States,Energy,5178.44,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Electricity,01_AUS,all,Australia,Energy,6.37,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Electricity,03_CDA,all,Canada,Energy,3.12,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Electricity,08_JPN,all,Japan,Energy,66.86,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Electricity,09_ROK,all,Korea,Energy,7.33,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Electricity,11_MEX,all,Mexico,Energy,3.96,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Electricity,12_NZ,all,New Zealand,Energy,0.44,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Electricity,18_CT,all,Chinese Taipei,Energy,1.64,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Electricity,20_USA,all,United States,Energy,21.43,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Gas,01_AUS,all,Australia,Energy,0.94,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Gas,03_CDA,all,Canada,Energy,2.14,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Gas,08_JPN,all,Japan,Energy,1.04,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Gas,11_MEX,all,Mexico,Energy,0.2,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Gas,20_USA,all,United States,Energy,22.54,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Heavy fuel oil,01_AUS,all,Australia,Energy,8.27,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Heavy fuel oil,03_CDA,all,Canada,Energy,58.33,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Heavy fuel oil,08_JPN,all,Japan,Energy,122.87,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Heavy fuel oil,09_ROK,all,Korea,Energy,6.82,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Heavy fuel oil,11_MEX,all,Mexico,Energy,8.04,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Heavy fuel oil,18_CT,all,Chinese Taipei,Energy,9.88,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Heavy fuel oil,20_USA,all,United States,Energy,4.06,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Jet fuel and aviation gasoline,01_AUS,all,Australia,Energy,73.19,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Jet fuel and aviation gasoline,03_CDA,all,Canada,Energy,228.07,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Jet fuel and aviation gasoline,08_JPN,all,Japan,Energy,149.09,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Jet fuel and aviation gasoline,09_ROK,all,Korea,Energy,7.24,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Jet fuel and aviation gasoline,11_MEX,all,Mexico,Energy,0.81,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Jet fuel and aviation gasoline,12_NZ,all,New Zealand,Energy,8.24,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Jet fuel and aviation gasoline,18_CT,all,Chinese Taipei,Energy,14.01,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Jet fuel and aviation gasoline,20_USA,all,United States,Energy,2927.3,no_comment,all,EEI,annual,PJ
2000,all,combined,all,LPG,01_AUS,all,Australia,Energy,72.42,no_comment,all,EEI,annual,PJ
2000,all,combined,all,LPG,03_CDA,all,Canada,Energy,14.78,no_comment,all,EEI,annual,PJ
2000,all,combined,all,LPG,08_JPN,all,Japan,Energy,73.1,no_comment,all,EEI,annual,PJ
2000,all,combined,all,LPG,09_ROK,all,Korea,Energy,130.89,no_comment,all,EEI,annual,PJ
2000,all,combined,all,LPG,11_MEX,all,Mexico,Energy,49.19,no_comment,all,EEI,annual,PJ
2000,all,combined,all,LPG,12_NZ,all,New Zealand,Energy,0.13,no_comment,all,EEI,annual,PJ
2000,all,combined,all,LPG,18_CT,all,Chinese Taipei,Energy,0.66,no_comment,all,EEI,annual,PJ
2000,all,combined,all,LPG,20_USA,all,United States,Energy,44.93,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Motor gasoline,01_AUS,all,Australia,Energy,589.13,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Motor gasoline,03_CDA,all,Canada,Energy,1140.93,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Motor gasoline,08_JPN,all,Japan,Energy,1758.74,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Motor gasoline,09_ROK,all,Korea,Energy,309.4,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Motor gasoline,11_MEX,all,Mexico,Energy,994.92,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Motor gasoline,12_NZ,all,New Zealand,Energy,337.62,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Motor gasoline,18_CT,all,Chinese Taipei,Energy,341.66,no_comment,all,EEI,annual,PJ
2000,all,combined,all,Motor gasoline,20_USA,all,United States,Energy,16108.79,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,01_AUS,air,Australia,Energy,73.19,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,01_AUS,all,Australia,Energy,1045.05,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,01_AUS,rail,Australia,Energy,31.67,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,01_AUS,ship,Australia,Energy,26.05,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,03_CDA,air,Canada,Energy,228.07,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,03_CDA,all,Canada,Energy,2074.7,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,03_CDA,rail,Canada,Energy,80.26,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,03_CDA,ship,Canada,Energy,102.82,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,08_JPN,air,Japan,Energy,149.09,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,08_JPN,all,Japan,Energy,3569.97,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,08_JPN,rail,Japan,Energy,76.59,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,08_JPN,ship,Japan,Energy,194.14,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,09_ROK,air,Korea,Energy,7.26,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,09_ROK,all,Korea,Energy,1010.62,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,09_ROK,rail,Korea,Energy,21.44,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,09_ROK,ship,Korea,Energy,25.65,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,11_MEX,air,Mexico,Energy,0.81,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,11_MEX,all,Mexico,Energy,1500.71,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,11_MEX,rail,Mexico,Energy,27.26,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,11_MEX,ship,Mexico,Energy,52.81,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,12_NZ,air,New Zealand,Energy,8.24,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,12_NZ,all,New Zealand,Energy,404.38,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,12_NZ,ship,New Zealand,Energy,5.09,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,18_CT,air,Chinese Taipei,Energy,14.01,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,18_CT,all,Chinese Taipei,Energy,521.87,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,18_CT,rail,Chinese Taipei,Energy,3.49,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,18_CT,ship,Chinese Taipei,Energy,17.96,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,20_USA,air,United States,Energy,2927.3,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,20_USA,all,United States,Energy,24307.48,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,20_USA,rail,United States,Energy,561.64,no_comment,all,EEI,annual,PJ
2000,all,combined,all,all,20_USA,ship,United States,Energy,328.57,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_coal,Coal and coal products,01_AUS,rail,Australia,Energy,0.01,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_coal,Coal and coal products,08_JPN,rail,Japan,Energy,0.04,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_diesel,Diesel and light fuel oil,01_AUS,rail,Australia,Energy,25.27,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_diesel,Diesel and light fuel oil,03_CDA,rail,Canada,Energy,80.26,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_diesel,Diesel and light fuel oil,08_JPN,rail,Japan,Energy,9.68,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_diesel,Diesel and light fuel oil,09_ROK,rail,Korea,Energy,14.07,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_diesel,Diesel and light fuel oil,11_MEX,rail,Mexico,Energy,23.3,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_diesel,Diesel and light fuel oil,18_CT,rail,Chinese Taipei,Energy,1.85,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_diesel,Diesel and light fuel oil,20_USA,rail,United States,Energy,540.21,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_electricity,Electricity,01_AUS,rail,Australia,Energy,6.36,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_electricity,Electricity,08_JPN,rail,Japan,Energy,66.86,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_electricity,Electricity,09_ROK,rail,Korea,Energy,7.33,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_electricity,Electricity,11_MEX,rail,Mexico,Energy,3.96,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_electricity,Electricity,18_CT,rail,Chinese Taipei,Energy,1.64,no_comment,all,EEI,annual,PJ
2000,all,combined,rail_electricity,Electricity,20_USA,rail,United States,Energy,21.43,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_coal,Coal and coal products,01_AUS,ship,Australia,Energy,4.21,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_diesel,Diesel and light fuel oil,01_AUS,ship,Australia,Energy,4.43,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_diesel,Diesel and light fuel oil,03_CDA,ship,Canada,Energy,44.49,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_diesel,Diesel and light fuel oil,08_JPN,ship,Japan,Energy,71.27,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_diesel,Diesel and light fuel oil,09_ROK,ship,Korea,Energy,18.83,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_diesel,Diesel and light fuel oil,11_MEX,ship,Mexico,Energy,44.77,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_diesel,Diesel and light fuel oil,12_NZ,ship,New Zealand,Energy,5.09,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_diesel,Diesel and light fuel oil,18_CT,ship,Chinese Taipei,Energy,8.07,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_diesel,Diesel and light fuel oil,20_USA,ship,United States,Energy,146.64,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_fuel_oil,Heavy fuel oil,01_AUS,ship,Australia,Energy,8.27,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_fuel_oil,Heavy fuel oil,03_CDA,ship,Canada,Energy,58.33,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_fuel_oil,Heavy fuel oil,08_JPN,ship,Japan,Energy,122.87,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_fuel_oil,Heavy fuel oil,09_ROK,ship,Korea,Energy,6.82,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_fuel_oil,Heavy fuel oil,11_MEX,ship,Mexico,Energy,8.04,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_fuel_oil,Heavy fuel oil,18_CT,ship,Chinese Taipei,Energy,9.88,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_fuel_oil,Heavy fuel oil,20_USA,ship,United States,Energy,4.06,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_gasoline,Motor gasoline,01_AUS,ship,Australia,Energy,9.08,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_gasoline,Motor gasoline,20_USA,ship,United States,Energy,177.87,no_comment,all,EEI,annual,PJ
2000,all,combined,ship_lpg,Gas,01_AUS,ship,Australia,Energy,0.05,no_comment,all,EEI,annual,PJ
2000,all,freight,,Other sources,01_AUS,all,Australia,Energy,0.02,no_comment,all,EEI,annual,PJ
2000,all,freight,,Other sources,01_AUS,rail,Australia,Energy,0.02,no_comment,all,EEI,annual,PJ
2000,all,freight,,Other sources,09_ROK,all,Korea,Energy,0.01,no_comment,all,EEI,annual,PJ
2000,all,freight,,Other sources,09_ROK,rail,Korea,Energy,0.01,no_comment,all,EEI,annual,PJ
2000,all,freight,air_jet_fuel,Jet fuel and aviation gasoline,01_AUS,air,Australia,Energy,0.82,no_comment,all,EEI,annual,PJ
2000,all,freight,air_jet_fuel,Jet fuel and aviation gasoline,03_CDA,air,Canada,Energy,7.7,no_comment,all,EEI,annual,PJ
2000,all,freight,air_jet_fuel,Jet fuel and aviation gasoline,08_JPN,air,Japan,Energy,22.73,no_comment,all,EEI,annual,PJ
