Date,Economy,Measure,Vehicle Type,Medium,Transport Type,Drive,Unit,Frequency,Value,Dataset,Source,Fuel,Scope
2017-12-31,04_CHL,Energy,ht,road,freight,phevd,PJ,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,04_CHL,freight_tonne_km,ht,road,freight,phevd,freight_tonne_km,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,07_INA,Energy,bus,road,passenger,fcev,PJ,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,07_INA,Energy,ht,road,freight,fcev,PJ,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,07_INA,Energy,ldv,road,freight,fcev,PJ,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,07_INA,Energy,ldv,road,passenger,fcev,PJ,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,07_INA,freight_tonne_km,ht,road,freight,fcev,freight_tonne_km,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,07_INA,freight_tonne_km,ldv,road,freight,fcev,freight_tonne_km,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,07_INA,passenger_km,bus,road,passenger,fcev,passenger_km,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,07_INA,passenger_km,ldv,road,passenger,fcev,passenger_km,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,13_PNG,Energy,ht,road,freight,fcev,PJ,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,13_PNG,Energy,ldv,road,passenger,fcev,PJ,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,13_PNG,freight_tonne_km,ht,road,freight,fcev,freight_tonne_km,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,13_PNG,passenger_km,ldv,road,passenger,fcev,passenger_km,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,16_RUS,Energy,bus,road,passenger,fcev,PJ,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,16_RUS,Energy,ht,road,freight,fcev,PJ,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,16_RUS,Energy,ldv,road,freight,fcev,PJ,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,16_RUS,Energy,ldv,road,passenger,fcev,PJ,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,16_RUS,freight_tonne_km,ht,road,freight,fcev,freight_tonne_km,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,16_RUS,freight_tonne_km,ldv,road,freight,fcev,freight_tonne_km,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,16_RUS,passenger_km,bus,road,passenger,fcev,passenger_km,Yearly,0,missing_drive_values,9th_transport_model,all,National
2017-12-31,16_RUS,passenger_km,ldv,road,passenger,fcev,passenger_km,Yearly,0,missing_drive_values,9th_transport_model,all,National
