date,economy,vehicle_type,drive,measure,value,unit,medium,transport_type,fuel_type,frequency,scope
2010,01_AUS,2w,bev,mileage,2171981988609.8894,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,2w,g,mileage,2171981988609.8894,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,bus,bev,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,bus,cng,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,bus,d,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,bus,fcev,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,bus,g,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,bus,lpg,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,bus,phevd,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,ldv,bev,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,ldv,cng,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,ldv,d,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,ldv,fcev,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,ldv,g,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,ldv,lpg,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,01_AUS,ldv,phevg,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,02_BD,2w,bev,mileage,2171981988609.8894,km_per_year,road,passenger,all,yearly,national
2010,02_BD,2w,g,mileage,2171981988609.8894,km_per_year,road,passenger,all,yearly,national
2010,02_BD,bus,bev,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,02_BD,bus,cng,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,02_BD,bus,d,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,02_BD,bus,fcev,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,02_BD,bus,g,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,02_BD,bus,lpg,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,02_BD,bus,phevd,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,02_BD,ldv,bev,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,02_BD,ldv,cng,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,02_BD,ldv,d,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,02_BD,ldv,fcev,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,02_BD,ldv,g,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,02_BD,ldv,lpg,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,02_BD,ldv,phevg,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,2w,bev,mileage,2171981988609.8894,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,2w,g,mileage,2171981988609.8894,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,bus,bev,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,bus,cng,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,bus,d,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,bus,fcev,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,bus,g,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,bus,lpg,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,bus,phevd,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,ldv,bev,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,ldv,cng,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,ldv,d,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,ldv,fcev,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,ldv,g,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,ldv,lpg,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,03_CDA,ldv,phevg,mileage,10038804075302.424,km_per_year,road,passenger,all,yearly,national
2010,04_CHL,2w,bev,mileage,2171981988609.8894,km_per_year,road,passenger,all,yearly,national
2010,04_CHL,2w,g,mileage,2171981988609.8894,km_per_year,road,passenger,all,yearly,national
2010,04_CHL,bus,bev,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,04_CHL,bus,cng,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
2010,04_CHL,bus,d,mileage,23285718200081.81,km_per_year,road,passenger,all,yearly,national
