date,economy,vehicle_type,drive,measure,value,unit,medium,transport_type,fuel_type,frequency,scope,dataset,source
2010,01_AUS,2w,bev,mileage,2171.9819886098894,km_per_stock,road,passenger,all,yearly,national,estimated_mileage_occupancy_efficiency,transport_data_system
2010,01_AUS,2w,g,mileage,2171.9819886098894,km_per_stock,road,passenger,all,yearly,national,estimated_mileage_occupancy_efficiency,transport_data_system
2010,01_AUS,bus,bev,mileage,23285.71820008181,km_per_stock,road,passenger,all,yearly,national,estimated_mileage_occupancy_efficiency,transport_data_system
2010,01_AUS,bus,cng,mileage,23285.71820008181,km_per_stock,road,passenger,all,yearly,national,estimated_mileage_occupancy_efficiency,transport_data_system
2010,01_AUS,bus,d,mileage,23285.71820008181,km_per_stock,road,passenger,all,yearly,national,estimated_mileage_occupancy_efficiency,transport_data_system
2010,01_AUS,bus,fcev,mileage,23285.71820008181,km_per_stock,road,passenger,all,yearly,national,estimated_mileage_occupancy_efficiency,transport_data_system
2010,01_AUS,bus,g,mileage,23285.71820008181,km_per_stock,road,passenger,all,yearly,national,estimated_mileage_occupancy_efficiency,transport_data_system
2010,01_AUS,bus,lpg,mileage,23285.71820008181,km_per_stock,road,passenger,all,yearly,national,estimated_mileage_occupancy_efficiency,transport_data_system
2010,01_AUS,bus,phevd,mileage,23285.71820008181,km_per_stock,road,passenger,all,yearly,national,estimated_mileage_occupancy_efficiency,transport_data_system
2010,01_AUS,ldv,bev,mileage,10038.804075302423,km_per_stock,road,passenger,all,yearly,national,estimated_mileage_occupancy_efficiency,transport_data_system
2010,01_AUS,ldv,cng,mileage,10038.804075302423,km_per_stock,road,passenger,all,yearly,national,estimated_mileage_occupancy_efficiency,transport_data_system
2010,01_AUS,ldv,d,mileage,10038.804075302423,km_per_stock,road,passenger,all,yearly,national,estimated_mileage_occupancy_efficiency,transport_data_system
2010,01_AUS,ldv,fcev,mileage,10038.804075302423,km_per_stock,road,passenger,all,yearly,national,estimated_mileage_occupancy_efficiency,transport_data_system
2010,01_AUS,ldv,g,mileage,10038.804075302423,km_per_stock,road,passenger,all,yearly,national,estimated_mileage_occupancy_efficiency,transport_data_system
