Medium,Transport Type,Vehicle Type,Drive,Economy,Frequency,Measure,Unit,Scope,Fuel_Type,Date,Value,Comments,Dataset,Fuel,Source
nonspecified,,,,12_NZ,Yearly,Energy,PJ,National,,2017-12-31,0.00041868,,Nearest_year_2016,1.3 Sub-bituminous coal,EGEDA $ EGEDA
nonspecified,,,,12_NZ,Yearly,Energy,PJ,National,,2017-12-31,0.00041868,,Nearest_year_2016,19 Total,EGEDA $ EGEDA
air,combined,,,01_AUS,Yearly,Energy,PJ,National,Oil Products,2017-12-31,122.611,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
air,combined,,,05_PRC,Yearly,Energy,PJ,National,Oil Products,2017-12-31,1244.144,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
air,combined,,,06_HKC,Yearly,Energy,PJ,National,Oil Products,2017-12-31,0.251,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
air,combined,,,07_INA,Yearly,Energy,PJ,National,Oil Products,2017-12-31,121.902,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
air,combined,,,08_JPN,Yearly,Energy,PJ,National,Oil Products,2017-12-31,146.273,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
air,combined,,,09_ROK,Yearly,Energy,PJ,National,Oil Products,2017-12-31,45.83,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
air,combined,,,10_MAS,Yearly,Energy,PJ,National,Oil Products,2017-12-31,23.648,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
air,combined,,,12_NZ,Yearly,Energy,PJ,National,Oil Products,2017-12-31,14.141,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
air,combined,,,13_PNG,Yearly,Energy,PJ,National,Oil Products,2017-12-31,3.293,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
air,combined,,,15_RP,Yearly,Energy,PJ,National,Oil Products,2017-12-31,27.978,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
air,combined,,,16_RUS,Yearly,Energy,PJ,National,Oil Products,2017-12-31,251.414,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
air,combined,,,19_THA,Yearly,Energy,PJ,National,Oil Products,2017-12-31,33.066,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
air,combined,,,21_VN,Yearly,Energy,PJ,National,Oil Products,2017-12-31,37.088,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
all,combined,,,01_AUS,Yearly,Energy,PJ,National,,2017-12-31,1391.772,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
all,combined,,,05_PRC,Yearly,Energy,PJ,National,,2017-12-31,10405.05,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
all,combined,,,07_INA,Yearly,Energy,PJ,National,,2017-12-31,1263.085,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
all,combined,,,09_ROK,Yearly,Energy,PJ,National,,2017-12-31,1561.634,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
all,combined,,,12_NZ,Yearly,Energy,PJ,National,,2017-12-31,226.736,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
all,combined,,,15_RP,Yearly,Energy,PJ,National,,2017-12-31,585.992,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
all,combined,,,17_SIN,Yearly,Energy,PJ,National,,2017-12-31,103.934,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
all,combined,,,21_VN,Yearly,Energy,PJ,National,,2017-12-31,534.293,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
nonspecified,,,,09_ROK,Yearly,Energy,PJ,National,,2017-12-31,0.04270536,,Nearest_year_2015,7.06 Kerosene,EGEDA $ EGEDA
nonspecified,,,,09_ROK,Yearly,Energy,PJ,National,,2017-12-31,0.04270536,,Nearest_year_2015,19 Total,EGEDA $ EGEDA
rail,combined,,,01_AUS,Yearly,Energy,PJ,National,Electricity,2017-12-31,11.664,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,01_AUS,Yearly,Energy,PJ,National,Primary Coal and Peat,2017-12-31,0.027,,Nearest_year_2015,,ATO $ UN Energy Statistics Database
rail,combined,,,05_PRC,Yearly,Energy,PJ,National,Electricity,2017-12-31,351.083,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,05_PRC,Yearly,Energy,PJ,National,Primary Coal and Peat,2017-12-31,45.143,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,05_PRC,Yearly,Energy,PJ,National,,2017-12-31,519.069,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,07_INA,Yearly,Energy,PJ,National,Oil Products,2017-12-31,8.945,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,07_INA,Yearly,Energy,PJ,National,,2017-12-31,9.946,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,08_JPN,Yearly,Energy,PJ,National,Oil Products,2017-12-31,6.848,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,08_JPN,Yearly,Energy,PJ,National,,2017-12-31,70.043,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,09_ROK,Yearly,Energy,PJ,National,Oil Products,2017-12-31,3.83,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,10_MAS,Yearly,Energy,PJ,National,Electricity,2017-12-31,1.81,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,10_MAS,Yearly,Energy,PJ,National,,2017-12-31,1.811,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,12_NZ,Yearly,Energy,PJ,National,Oil Products,2017-12-31,1.635,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,12_NZ,Yearly,Energy,PJ,National,,2017-12-31,1.901,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,15_RP,Yearly,Energy,PJ,National,Electricity,2017-12-31,0.382,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,15_RP,Yearly,Energy,PJ,National,,2017-12-31,0.451,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,16_RUS,Yearly,Energy,PJ,National,Oil Products,2017-12-31,167.441,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,16_RUS,Yearly,Energy,PJ,National,,2017-12-31,357.812,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,17_SIN,Yearly,Energy,PJ,National,,2017-12-31,10.875,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,19_THA,Yearly,Energy,PJ,National,Oil Products,2017-12-31,3.071,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,21_VN,Yearly,Energy,PJ,National,Oil Products,2017-12-31,2.193,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
rail,combined,,,21_VN,Yearly,Energy,PJ,National,,2017-12-31,2.193,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
road,combined,hdv,bev,03_CDA,Yearly,Sales,sales,National,,2017-12-31,1.0,,Nearest_year_2015,,IEA EVs $ Historical
road,combined,hdv,bev,12_NZ,Yearly,Sales,sales,National,,2017-12-31,70.0,,Nearest_year_2019,,IEA EVs $ Historical
road,combined,hdv,bev and phev,03_CDA,Yearly,Sales share,percent,National,,2017-12-31,0.0021282725501805,,Nearest_year_2015,,IEA EVs $ Historical
road,combined,hdv,bev and phev,12_NZ,Yearly,Stock share,percent,National,,2017-12-31,0.1234595105051994,,Nearest_year_2019,,IEA EVs $ Historical
road,combined,hdv,phev,03_CDA,Yearly,Sales,sales,National,,2017-12-31,5.0,,Nearest_year_2015,,IEA EVs $ Historical
road,combined,,,01_AUS,Yearly,Energy,PJ,National,Biofuels and Waste,2017-12-31,5.37,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
road,combined,,,01_AUS,Yearly,Energy,PJ,National,Natural Gas,2017-12-31,3.124,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
road,combined,,,01_AUS,Yearly,Energy,PJ,National,Renewables (of which),2017-12-31,5.37,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
road,combined,,,02_BD,Yearly,Energy,PJ,National,Oil Products,2017-12-31,18.49,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
road,combined,,,05_PRC,Yearly,Energy,PJ,National,Biofuels and Waste,2017-12-31,377.44,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
road,combined,,,05_PRC,Yearly,Energy,PJ,National,Natural Gas,2017-12-31,1158.573,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
road,combined,,,05_PRC,Yearly,Energy,PJ,National,Renewables (of which),2017-12-31,377.44,,Nearest_year_2019,,ATO $ UN Energy Statistics Database
