Medium,Transport Type,Vehicle Type,Drive,Date,Economy,Frequency,Measure,Unit,Value,Dataset,Scope,Comments,Fuel,Source
road,passenger,2w,bev,2017-12-31,01_AUS,Yearly,Occupancy,Passengers,1.1,Occupancy,National,,,guess
road,passenger,2w,g,2017-12-31,01_AUS,Yearly,Occupancy,Passengers,1.1,Occupancy,National,,,guess
road,passenger,bus,cng,2017-12-31,01_AUS,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,d,2017-12-31,01_AUS,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,g,2017-12-31,01_AUS,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,lpg,2017-12-31,01_AUS,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,2w,bev,2017-12-31,02_BD,Yearly,Occupancy,Passengers,1.1,Occupancy,National,,,guess
road,passenger,2w,g,2017-12-31,02_BD,Yearly,Occupancy,Passengers,1.1,Occupancy,National,,,guess
road,passenger,bus,d,2017-12-31,02_BD,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,g,2017-12-31,02_BD,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,2w,g,2017-12-31,03_CDA,Yearly,Occupancy,Passengers,1.1,Occupancy,National,,,guess
road,passenger,bus,bev,2017-12-31,03_CDA,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,cng,2017-12-31,03_CDA,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,d,2017-12-31,03_CDA,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,g,2017-12-31,03_CDA,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,lpg,2017-12-31,03_CDA,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,2w,g,2017-12-31,04_CHL,Yearly,Occupancy,Passengers,1.1,Occupancy,National,,,guess
road,passenger,bus,d,2017-12-31,04_CHL,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,g,2017-12-31,04_CHL,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,2w,bev,2017-12-31,05_PRC,Yearly,Occupancy,Passengers,1.1,Occupancy,National,,,guess
road,passenger,2w,g,2017-12-31,05_PRC,Yearly,Occupancy,Passengers,1.1,Occupancy,National,,,guess
road,passenger,bus,bev,2017-12-31,05_PRC,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,cng,2017-12-31,05_PRC,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,d,2017-12-31,05_PRC,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,g,2017-12-31,05_PRC,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
road,passenger,bus,lpg,2017-12-31,05_PRC,Yearly,Occupancy,Passengers,15.0,Occupancy,National,,,guess
