,date,economy,measure,vehicle_type,unit,medium,transport_type,drive,frequency
0,2010,01_AUS,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
1,2010,01_AUS,activity,2w,passenger_km_or_freight_tonne_km,road,passenger,ice,yearly
2,2010,01_AUS,activity,all,passenger_km_or_freight_tonne_km,ship,passenger,all,yearly
3,2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
4,2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,fcev,yearly
5,2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,ice,yearly
6,2010,01_AUS,activity,bus,passenger_km_or_freight_tonne_km,road,passenger,phev,yearly
7,2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,bev,yearly
8,2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,fcev,yearly
9,2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,ice,yearly
10,2010,01_AUS,activity,ht,passenger_km_or_freight_tonne_km,road,freight,phev,yearly
11,2010,01_AUS,activity,ldv,passenger_km_or_freight_tonne_km,road,passenger,bev,yearly
12,2010,01_AUS,activity,ldv,passenger_km_or_freight_tonne_km,road,passenger,fcev,yearly
13,2010,01_AUS,activity,ldv,passenger_km_or_freight_tonne_km,road,passenger,ice,yearly
14,2010,01_AUS,activity,ldv,passenger_km_or_freight_tonne_km,road,passenger,phev,yearly
15,2010,01_AUS,efficiency,bus,km_per_pj,road,passenger,fcev,yearly
16,2010,01_AUS,efficiency,ht,km_per_pj,road,freight,fcev,yearly
17,2010,01_AUS,efficiency,ht,km_per_pj,road,freight,phev,yearly
18,2010,01_AUS,energy,2w,pj,road,passenger,bev,yearly
19,2010,01_AUS,energy,2w,pj,road,passenger,ice,yearly
20,2010,01_AUS,energy,all,pj,air,freight,all,yearly
21,2010,01_AUS,energy,all,pj,air,passenger,all,yearly
22,2010,01_AUS,energy,all,pj,rail,freight,all,yearly
23,2010,01_AUS,energy,all,pj,rail,passenger,all,yearly
24,2010,01_AUS,energy,all,pj,ship,freight,all,yearly
25,2010,01_AUS,energy,all,pj,ship,passenger,all,yearly
26,2010,01_AUS,energy,bus,pj,road,passenger,bev,yearly
27,2010,01_AUS,energy,bus,pj,road,passenger,fcev,yearly
28,2010,01_AUS,energy,bus,pj,road,passenger,ice,yearly
